y,0.005,0.015,ss
0.00000000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.02500000,8.792818468155e-01,9.306771408383e-01,9.427379399940e-01
0.05000000,8.160922448694e-01,8.962798649355e-01,9.169670038981e-01
0.07500000,7.548502284088e-01,8.616481163114e-01,8.914935613439e-01
0.10000000,7.027984922212e-01,8.288895089753e-01,8.682795427735e-01
0.12500000,6.602122516602e-01,7.983797553432e-01,8.471513927656e-01
0.15000000,6.270266793622e-01,7.703046152385e-01,8.279785806057e-01
0.17500000,6.028550149883e-01,7.448069389272e-01,8.106113654762e-01
0.20000000,5.859602389682e-01,7.220131709944e-01,7.947936539134e-01
0.22500000,5.731346051198e-01,7.012293371021e-01,7.799605319577e-01
0.25000000,5.634745315149e-01,6.823700120767e-01,7.659897574820e-01
0.27500000,5.561651801108e-01,6.653466398779e-01,7.527730010890e-01
0.30000000,5.508337007254e-01,6.506048231330e-01,7.404194198411e-01
0.32500000,5.464132416590e-01,6.374151300296e-01,7.286389691787e-01
0.35000000,5.426518083694e-01,6.255851804341e-01,7.173692384464e-01
0.37500000,5.393861065814e-01,6.149998340694e-01,7.065786166918e-01
0.40000000,5.365377811496e-01,6.057095031977e-01,6.963132814605e-01
0.42500000,5.339989895685e-01,5.975440782109e-01,6.865464846578e-01
0.45000000,5.316655522410e-01,5.901649414336e-01,6.771565513835e-01
0.47500000,5.295125613850e-01,5.834874033798e-01,6.681224432173e-01
0.50000000,5.275190800972e-01,5.774309600521e-01,6.594231932708e-01
0.52500000,5.257158868117e-01,5.720903421266e-01,6.511452312581e-01
0.55000000,5.240292769251e-01,5.671657522721e-01,6.431295826094e-01
0.57500000,5.224506253536e-01,5.626133323082e-01,6.353539549824e-01
0.60000000,5.209718229749e-01,5.583917061872e-01,6.277957260257e-01
0.62500000,5.196037556906e-01,5.545152342339e-01,6.204646005845e-01
0.65000000,5.183309025411e-01,5.509108500295e-01,6.133035226231e-01
0.67500000,5.171321161059e-01,5.475011261453e-01,6.062518916472e-01
0.70000000,5.160024708714e-01,5.442598894611e-01,5.992852400622e-01
0.72500000,5.149395953410e-01,5.411660526492e-01,5.923811978576e-01
0.75000000,5.139506944381e-01,5.382011898377e-01,5.854811160748e-01
0.77500000,5.130040899949e-01,5.352962583143e-01,5.785158291180e-01
0.80000000,5.120915367532e-01,5.324110186209e-01,5.714485080919e-01
0.82500000,5.112027877428e-01,5.295032500800e-01,5.642398703670e-01
0.85000000,5.103133001497e-01,5.264856963418e-01,5.567603333766e-01
0.87500000,5.093641937825e-01,5.232783297567e-01,5.489306775834e-01
0.90000000,5.083107282821e-01,5.198241433189e-01,5.407111289284e-01
0.92500000,5.071041292196e-01,5.161045195782e-01,5.321686663214e-01
0.95000000,5.056619492467e-01,5.121217475570e-01,5.235022055729e-01
0.97500000,5.041262832239e-01,5.080497260359e-01,5.148283822690e-01
1.00000000,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01
