y,0.005,0.015,ss
0.00000000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.02500000,8.267045040255e-01,8.596139640813e-01,8.662349123494e-01
0.05000000,7.598469604780e-01,8.109233476573e-01,8.219644795825e-01
0.07500000,6.954664002662e-01,7.634346389504e-01,7.794991324887e-01
0.10000000,6.439089161896e-01,7.235204612012e-01,7.447209949231e-01
0.12500000,6.035031604681e-01,6.895391420535e-01,7.157117498291e-01
0.15000000,5.732341592990e-01,6.606654500788e-01,6.914677234771e-01
0.17500000,5.522609043994e-01,6.365241139671e-01,6.714041543604e-01
0.20000000,5.385136941991e-01,6.166041676448e-01,6.547546484947e-01
0.22500000,5.287107975117e-01,5.994741315221e-01,6.401987410964e-01
0.25000000,5.219260957740e-01,5.848328232098e-01,6.274274037211e-01
0.27500000,5.173340111548e-01,5.724004161600e-01,6.161660787400e-01
0.30000000,5.145105474662e-01,5.624578021919e-01,6.065257045631e-01
0.32500000,5.124473696910e-01,5.540627243468e-01,5.978744184752e-01
0.35000000,5.109043857916e-01,5.469582587227e-01,5.900554948066e-01
0.37500000,5.097231243196e-01,5.409785466347e-01,5.829732554543e-01
0.40000000,5.088079623569e-01,5.360970708814e-01,5.766383081681e-01
0.42500000,5.080554096125e-01,5.320987741589e-01,5.709506677049e-01
0.45000000,5.073961212239e-01,5.286817073660e-01,5.657220562538e-01
0.47500000,5.068110222337e-01,5.257607388633e-01,5.609093825970e-01
0.50000000,5.062851529276e-01,5.232573245936e-01,5.564723614029e-01
0.52500000,5.058227235404e-01,5.211985964155e-01,5.524848204609e-01
0.55000000,5.053965733112e-01,5.193787748840e-01,5.487683617848e-01
0.57500000,5.050032100094e-01,5.177642585832e-01,5.452986379569e-01
0.60000000,5.046394359950e-01,5.163241536627e-01,5.420522209322e-01
0.62500000,5.043076687010e-01,5.150559533109e-01,5.390435661189e-01
0.65000000,5.040028550228e-01,5.139162660760e-01,5.362253920810e-01
0.67500000,5.037188092407e-01,5.128667029802e-01,5.335451098771e-01
0.70000000,5.034540815090e-01,5.118945547925e-01,5.309852951152e-01
0.72500000,5.032079945563e-01,5.109901064863e-01,5.285320741403e-01
0.75000000,5.029829105913e-01,5.101504650637e-01,5.261796702325e-01
0.77500000,5.027705048050e-01,5.093417599722e-01,5.238739171562e-01
0.80000000,5.025686405258e-01,5.085563725327e-01,5.216008086188e-01
0.82500000,5.023750458926e-01,5.077846717449e-01,5.193432442725e-01
0.85000000,5.021871447604e-01,5.069986284519e-01,5.170529804827e-01
0.87500000,5.019912148912e-01,5.061729525192e-01,5.146978142418e-01
0.90000000,5.017770166757e-01,5.052883181170e-01,5.122516635671e-01
0.92500000,5.015329125985e-01,5.043341895508e-01,5.097230132203e-01
0.95000000,5.012388002259e-01,5.033007308941e-01,5.071538892150e-01
0.97500000,5.009248163749e-01,5.022407502956e-01,5.045835448325e-01
1.00000000,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01
