y,0.005,0.015,0.05,ss
0.00000000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.02500000,8.622945035698e-01,9.260564032684e-01,9.547899382837e-01,9.602104019211e-01
0.05000000,7.834675336368e-01,8.762416376757e-01,9.239408462437e-01,9.332207012486e-01
0.07500000,7.095395819607e-01,8.259925470238e-01,8.918866138659e-01,9.051165028945e-01
0.10000000,6.489778830062e-01,7.771988271589e-01,8.597201931619e-01,8.768859581214e-01
0.12500000,6.013899064248e-01,7.316677231758e-01,8.281925716422e-01,8.491619392462e-01
0.15000000,5.662179565396e-01,6.904382793061e-01,7.977787214829e-01,8.223401925974e-01
0.17500000,5.424450867948e-01,6.545184959722e-01,7.690210485284e-01,7.968629049499e-01
0.20000000,5.274373772459e-01,6.244848563518e-01,7.422673774573e-01,7.729913364317e-01
0.22500000,5.171484312155e-01,5.987956506951e-01,7.171466410667e-01,7.504150427379e-01
0.25000000,5.104298140744e-01,5.771752272166e-01,6.936775342255e-01,7.291413379243e-01
0.27500000,5.062622476412e-01,5.593186763481e-01,6.718705166997e-01,7.091714851739e-01
0.30000000,5.040853373784e-01,5.458142073881e-01,6.523037520745e-01,6.909469642363e-01
0.32500000,5.027197223306e-01,5.350058279352e-01,6.343979510977e-01,6.740101065845e-01
0.35000000,5.018862063848e-01,5.264131619311e-01,6.180295109019e-01,6.582633847721e-01
0.37500000,5.013993451673e-01,5.197159057428e-01,6.031462666823e-01,6.436655970471e-01
0.40000000,5.011370887908e-01,5.148054821961e-01,5.899266364222e-01,6.303554693304e-01
0.42500000,5.009834763736e-01,5.112493718099e-01,5.782954200967e-01,6.182797999088e-01
0.45000000,5.008788142565e-01,5.085342183381e-01,5.678596317550e-01,6.071390205575e-01
0.47500000,5.008053045111e-01,5.065025994831e-01,5.585468473325e-01,5.968818603428e-01
0.50000000,5.007499419144e-01,5.050114052016e-01,5.502841791778e-01,5.874570400856e-01
0.52500000,5.007065820337e-01,5.040332163728e-01,5.433294348544e-01,5.790858244040e-01
0.55000000,5.006676398032e-01,5.032947451178e-01,5.371854948259e-01,5.713813955070e-01
0.57500000,5.006320888514e-01,5.027456655974e-01,5.317869809481e-01,5.642986717069e-01
0.60000000,5.005990806721e-01,5.023408033536e-01,5.270700198883e-01,5.577935108063e-01
0.62500000,5.005684313582e-01,5.020558659816e-01,5.230867235525e-01,5.519257583080e-01
0.65000000,5.005396257107e-01,5.018425689944e-01,5.196997510648e-01,5.465940097250e-01
0.67500000,5.005122174240e-01,5.016714699725e-01,5.167526751947e-01,5.416690058849e-01
0.70000000,5.004860939951e-01,5.015316326984e-01,5.141994390217e-01,5.371167030544e-01
0.72500000,5.004611955271e-01,5.014143821279e-01,5.120084882770e-01,5.329169391888e-01
0.75000000,5.004376038740e-01,5.013131234022e-01,5.102011231073e-01,5.291076868494e-01
0.77500000,5.004147016340e-01,5.012179732608e-01,5.086204985372e-01,5.255393875718e-01
0.80000000,5.003922224058e-01,5.011254936239e-01,5.072373623529e-01,5.221873561550e-01
0.82500000,5.003697953457e-01,5.010324747885e-01,5.060235287751e-01,5.190269603467e-01
0.85000000,5.003461489002e-01,5.009341944712e-01,5.049770185114e-01,5.160631993159e-01
0.87500000,5.003195258489e-01,5.008270903197e-01,5.040431707753e-01,5.132505489977e-01
0.90000000,5.002882426331e-01,5.007090568872e-01,5.031819504126e-01,5.105378761616e-01
0.92500000,5.002503056200e-01,5.005792920650e-01,5.023870955224e-01,5.079415627959e-01
0.95000000,5.002022384496e-01,5.004376282101e-01,5.016732453585e-01,5.055394111153e-01
0.97500000,5.001499566160e-01,5.002916992178e-01,5.009976519759e-01,5.032486473244e-01
1.00000000,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01
