y,0.005,ss
0.00000000,1.000000000000e+00,1.000000000000e+00
0.02500000,9.269432982495e-01,9.285280637380e-01
0.05000000,9.097216053119e-01,9.117384156919e-01
0.07500000,8.928023877393e-01,8.954078283022e-01
0.10000000,8.767222685361e-01,8.799252704964e-01
0.12500000,8.611785604831e-01,8.650139019314e-01
0.15000000,8.460190447678e-01,8.505374041808e-01
0.17500000,8.311640010110e-01,8.364335469173e-01
0.20000000,8.165422385959e-01,8.226504184506e-01
0.22500000,8.020700243002e-01,8.090916645186e-01
0.25000000,7.877383818110e-01,7.957515795667e-01
0.27500000,7.735434240121e-01,7.826291467436e-01
0.30000000,7.595489088774e-01,7.698205591766e-01
0.32500000,7.457293675054e-01,7.572723867214e-01
0.35000000,7.320927954441e-01,7.449849386732e-01
0.37500000,7.186541443246e-01,7.329681459569e-01
0.40000000,7.054736518000e-01,7.212844153222e-01
0.42500000,6.925963433641e-01,7.099585454962e-01
0.45000000,6.799917863155e-01,6.989287506900e-01
0.47500000,6.676799084746e-01,6.881968583101e-01
0.50000000,6.556812410756e-01,6.777640684003e-01
0.52500000,6.441768523875e-01,6.677518506063e-01
0.55000000,6.330619216146e-01,6.580353228987e-01
0.57500000,6.223583492904e-01,6.486116864447e-01
0.60000000,6.120871539115e-01,6.394777697328e-01
0.62500000,6.023789473082e-01,6.306926038972e-01
0.65000000,5.932415419038e-01,6.222324272515e-01
0.67500000,5.845978254231e-01,6.140378251907e-01
0.70000000,5.764516339464e-01,6.061001213763e-01
0.72500000,5.688268410705e-01,5.984201861545e-01
0.75000000,5.618671828269e-01,5.910463218031e-01
0.77500000,5.553716058320e-01,5.838677570916e-01
0.80000000,5.493166691298e-01,5.768604132987e-01
0.82500000,5.436754348286e-01,5.699976676911e-01
0.85000000,5.384934763117e-01,5.632567768594e-01
0.87500000,5.336296478857e-01,5.564915541580e-01
0.90000000,5.289506930609e-01,5.495503901073e-01
0.92500000,5.243393724393e-01,5.422614693699e-01
0.95000000,5.196111185798e-01,5.343269954585e-01
0.97500000,5.148824143928e-01,5.260368666170e-01
1.00000000,5.000000000000e-01,5.000000000000e-01
