x,t=0.0025,t=0.005,t=0.015,t=0.04,Steady
0.00000000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000
0.01000000,9.475062364384e-001,9.655368858249e-001,9.819745304776e-001,9.883798270911e-001,9.894707150544e-001
0.02000000,8.989247785217e-001,9.346127152102e-001,9.674971140595e-001,9.798338965576e-001,9.818567266116e-001
0.03000000,8.514070788898e-001,9.039620702481e-001,9.533642737047e-001,9.716734858335e-001,9.746186023139e-001
0.04000000,8.065259908446e-001,8.742478310798e-001,9.399239065461e-001,9.641298572841e-001,9.679680473091e-001
0.05000000,7.655059328098e-001,8.459397490909e-001,9.272359611394e-001,9.572099381937e-001,9.619059053114e-001
0.06000000,7.286931346329e-001,8.191033339137e-001,9.151994241850e-001,9.508333760946e-001,9.563570360643e-001
0.07000000,6.962389764808e-001,7.938195489952e-001,9.037380656010e-001,9.449317313250e-001,9.512569672456e-001
0.08000000,6.681152361787e-001,7.701632270003e-001,8.927888202828e-001,9.394457454184e-001,9.465498389799e-001
0.09000000,6.441393734938e-001,7.481932175207e-001,8.822998322487e-001,9.343239597808e-001,9.421870913329e-001
0.10000000,6.240117155418e-001,7.279457035154e-001,8.722286903361e-001,9.295216054972e-001,9.381264630638e-001
0.11000000,6.073547160595e-001,7.094304911496e-001,8.625408398007e-001,9.249996703552e-001,9.343311063234e-001
0.12000000,5.937494345310e-001,6.926299526111e-001,8.532083259203e-001,9.207240985194e-001,9.307688356119e-001
0.13000000,5.827664349841e-001,6.775000851556e-001,8.442086673321e-001,9.166651116210e-001,9.274114893977e-001
0.14000000,5.739897212895e-001,6.639732153989e-001,8.355238763625e-001,9.127966308455e-001,9.242343858381e-001
0.15000000,5.670335547972e-001,6.519618121318e-001,8.271396053411e-001,9.090957834446e-001,9.212158572560e-001
0.16000000,5.615527957910e-001,6.413629839481e-001,8.190444031688e-001,9.055424801692e-001,9.183368513004e-001
0.17000000,5.572478428792e-001,6.320631867034e-001,8.112290703715e-001,9.021190527313e-001,9.155805864652e-001
0.18000000,5.538654084721e-001,6.239427855079e-001,8.036860996275e-001,8.988099407246e-001,9.129322598307e-001
0.19000000,5.511963471669e-001,6.168802234706e-001,7.964092010560e-001,8.956014242345e-001,9.103787926416e-001
0.20000000,5.490716142530e-001,6.107556114122e-001,7.893929023797e-001,8.924813924322e-001,9.079086062093e-001
0.21000000,5.473572347485e-001,6.054536498177e-001,7.826322059960e-001,8.894391393949e-001,9.055114318291e-001
0.22000000,5.459489474924e-001,6.008658546342e-001,7.761223101772e-001,8.864651888369e-001,9.031781450224e-001
0.23000000,5.447669868032e-001,5.968921125569e-001,7.698583909023e-001,8.835511424981e-001,9.009006211582e-001
0.24000000,5.437512945895e-001,5.934416276036e-001,7.638354320650e-001,8.806895474686e-001,8.986716096209e-001
0.25000000,5.428573226582e-001,5.904333437216e-001,7.580481019219e-001,8.778737802556e-001,8.964846238538e-001
0.26000000,5.420524857857e-001,5.877959388893e-001,7.524906720352e-001,8.750979452562e-001,8.943338451216e-001
0.27000000,5.413132559696e-001,5.854674879098e-001,7.471569688738e-001,8.723567856663e-001,8.922140380525e-001
0.28000000,5.406228436196e-001,5.833948855965e-001,7.420403555854e-001,8.696456051404e-001,8.901204766737e-001
0.29000000,5.399693888267e-001,5.815331120020e-001,7.371337417121e-001,8.669601987224e-001,8.880488780504e-001
0.30000000,5.393445797272e-001,5.798444090314e-001,7.324296141460e-001,8.642967917884e-001,8.859953452006e-001
0.31000000,5.387426186667e-001,5.782974244404e-001,7.279200838271e-001,8.616519858938e-001,8.839563167765e-001
0.32000000,5.381594647115e-001,5.768663661839e-001,7.235969438223e-001,8.590227105876e-001,8.819285264006e-001
0.33000000,5.375922899381e-001,5.755301981533e-001,7.194517372864e-001,8.564061805240e-001,8.799089722601e-001
0.34000000,5.370390961338e-001,5.742718979392e-001,7.154758301369e-001,8.537998572787e-001,8.778949915835e-001
0.35000000,5.364984481929e-001,5.730777886417e-001,7.116604852250e-001,8.512014177005e-001,8.758839971999e-001
0.36000000,5.359692903280e-001,5.719369499550e-001,7.079969361266e-001,8.486087330980e-001,8.738734442665e-001
0.37000000,5.354508203148e-001,5.708407086616e-001,7.044764578476e-001,8.460199069030e-001,8.718608678391e-001
0.38000000,5.349424044059e-001,5.697822050691e-001,7.010904328691e-001,8.434331285662e-001,8.698440106760e-001
0.39000000,5.344435208761e-001,5.687560295378e-001,6.978304112132e-001,8.408466016991e-001,8.678208576834e-001
0.40000000,5.339537236431e-001,5.677579218828e-001,6.946881632996e-001,8.382585767235e-001,8.657893202002e-001
0.41000000,5.334726196456e-001,5.667845258736e-001,6.916557252620e-001,8.356674372995e-001,8.637473064780e-001
0.42000000,5.329998552040e-001,5.658331910596e-001,6.887254361767e-001,8.330717136175e-001,8.616927315344e-001
0.43000000,5.325351078379e-001,5.649018145296e-001,6.858899671663e-001,8.304699016580e-001,8.596235065265e-001
0.44000000,5.320780811030e-001,5.639887158262e-001,6.831423426052e-001,8.278604661607e-001,8.575375213032e-001
0.45000000,5.316285009549e-001,5.630925389896e-001,6.804759537191e-001,8.252418575459e-001,8.554326267087e-001
0.46000000,5.311861128477e-001,5.622121765077e-001,6.778845650285e-001,8.226124979244e-001,8.533066164810e-001
0.47000000,5.307506792338e-001,5.613467107356e-001,6.753623141736e-001,8.199707657844e-001,8.511572091478e-001
