x,t=0.0025,t=0.005,t=0.015,t=0.04,Steady
0.00000000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000
0.01000000,9.459563245423e-001,9.641271804005e-001,9.812277043126e-001,9.899211123636e-001,9.944791982541e-001
0.02000000,8.918589110275e-001,9.275668126185e-001,9.623099084158e-001,9.801483216692e-001,9.894421701616e-001
0.03000000,8.390414525811e-001,8.910576946383e-001,9.432451241130e-001,9.703333506907e-001,9.844392566361e-001
0.04000000,7.891553980020e-001,8.552255863702e-001,9.242328182510e-001,9.605782449618e-001,9.795466407786e-001
0.05000000,7.436882190303e-001,8.208014990163e-001,9.055144358784e-001,9.509935835140e-001,9.748220474047e-001
0.06000000,7.031375069215e-001,7.881263111097e-001,8.871567348767e-001,9.415857793880e-001,9.702558189490e-001
0.07000000,6.676614224213e-001,7.574149494984e-001,8.691881149390e-001,9.323464415032e-001,9.658370809981e-001
0.08000000,6.371908574282e-001,7.288354158311e-001,8.516395863735e-001,9.232685864817e-001,9.615556374816e-001
0.09000000,6.114735744982e-001,7.025015891583e-001,8.345419841729e-001,9.143463355796e-001,9.574019046088e-001
0.10000000,5.901268428153e-001,6.784732625549e-001,8.179252536230e-001,9.055748115904e-001,9.533668638968e-001
0.11000000,5.726873130147e-001,6.567588489707e-001,8.018177935114e-001,8.969500403533e-001,9.494420184298e-001
0.12000000,5.586543335142e-001,6.373202309157e-001,7.862458705992e-001,8.884688578759e-001,9.456193525411e-001
0.13000000,5.475247427676e-001,6.200791589875e-001,7.712331123518e-001,8.801288216468e-001,9.418912947450e-001
0.14000000,5.388186322478e-001,6.049245872810e-001,7.568000817532e-001,8.719281262575e-001,9.382506836003e-001
0.15000000,5.320966024078e-001,5.917203821469e-001,7.429639394286e-001,8.638655238010e-001,9.346907362211e-001
0.16000000,5.269696626087e-001,5.803129185643e-001,7.297381945727e-001,8.559402481080e-001,9.312050191840e-001
0.17000000,5.231032268810e-001,5.705381793604e-001,7.171325429318e-001,8.481519428760e-001,9.277874216063e-001
0.18000000,5.202167109885e-001,5.622280804456e-001,7.051527893284e-001,8.405005935965e-001,9.244321301964e-001
0.19000000,5.180801249010e-001,5.552158472736e-001,6.938008500600e-001,8.329864632194e-001,9.211336060947e-001
0.20000000,5.165088477530e-001,5.493403619216e-001,6.830748291237e-001,8.256100315213e-001,9.178865633459e-001
0.21000000,5.153575260843e-001,5.444494771773e-001,6.729691609844e-001,8.183719381635e-001,9.146859488561e-001
0.22000000,5.145137898179e-001,5.404023542643e-001,6.634748109310e-001,8.112729294370e-001,9.115269237088e-001
0.23000000,5.138922581012e-001,5.370709230451e-001,6.545795242474e-001,8.043138086995e-001,9.084048457207e-001
0.24000000,5.134291224702e-001,5.343405889048e-001,6.462681150988e-001,7.974953905064e-001,9.053152531443e-001
0.25000000,5.130774514718e-001,5.321103224248e-001,6.385227852764e-001,7.908184584422e-001,9.022538494155e-001
0.26000000,5.128032569815e-001,5.302922682499e-001,6.313234635752e-001,7.842837265995e-001,8.992164890511e-001
0.27000000,5.125822931544e-001,5.288110015109e-001,6.246481569899e-001,7.778918048067e-001,8.961991646903e-001
0.28000000,5.123975174323e-001,5.276025466297e-001,6.184733054819e-001,7.716431675156e-001,8.931979987561e-001
0.29000000,5.122371226466e-001,5.266132565037e-001,6.127741326986e-001,7.655381261275e-001,8.902092440945e-001
0.30000000,5.120930439736e-001,5.257986319657e-001,6.075249861573e-001,7.595768048933e-001,8.872293628639e-001
0.31000000,5.119598485920e-001,5.251221436818e-001,6.026996613088e-001,7.537591203161e-001,8.842549563626e-001
0.32000000,5.118339255205e-001,5.245541021881e-001,5.982717047531e-001,7.480847638695e-001,8.812824943911e-001
0.33000000,5.117129052647e-001,5.240706073301e-001,5.942146929778e-001,7.425531879415e-001,8.783083874355e-001
0.34000000,5.115952513733e-001,5.236525962102e-001,5.905024839755e-001,7.371635948701e-001,8.753292339160e-001
0.35000000,5.114799778503e-001,5.232849990061e-001,5.871094399617e-001,7.319149289215e-001,8.723418865199e-001
0.36000000,5.113664569203e-001,5.229560045767e-001,5.840106202650e-001,7.268058710454e-001,8.693432388776e-001
0.37000000,5.112542903759e-001,5.226564323333e-001,5.811819442917e-001,7.218348362301e-001,8.663300952670e-001
0.38000000,5.111432249016e-001,5.223792032064e-001,5.786003250817e-001,7.169999732667e-001,8.632992741189e-001
0.39000000,5.110330972795e-001,5.221189003444e-001,5.762437745386e-001,7.122991667242e-001,8.602476146488e-001
0.40000000,5.109237995134e-001,5.218714089785e-001,5.740914818855e-001,7.077300409747e-001,8.571719756406e-001
0.41000000,5.108152571694e-001,5.216336250238e-001,5.721238672832e-001,7.032899659768e-001,8.540692298749e-001
0.42000000,5.107074160736e-001,5.214032218684e-001,5.703226127181e-001,6.989760646257e-001,8.509362585295e-001
0.43000000,5.106002342491e-001,5.211784657103e-001,5.686706725118e-001,6.947852215262e-001,8.477699456466e-001
0.44000000,5.104936771685e-001,5.209580710114e-001,5.671522661114e-001,6.907140929196e-001,8.445671729584e-001
0.45000000,5.103877149410e-001,5.207410883811e-001,5.657528553422e-001,6.867591175690e-001,8.413248149473e-001
0.46000000,5.102823206700e-001,5.205268185100e-001,5.644591085702e-001,6.829165284187e-001,8.380397342368e-001
0.47000000,5.101774694747e-001,5.203147466786e-001,5.632588542244e-001,6.791823646559e-001,8.347087772359e-001
0.48000000,5.100731378987e-001,5.201044933840e-001,5.621410257416e-001,6.755524844121e-001,8.313287700899e-001
0.49000000,5.099693035404e-001,5.198957774310e-001,5.610956000124e-001,6.720225776044e-001,8.278965148932e-001
0.50000000,5.098659448016e-001,5.196883885622e-001,5.601135311234e-001,6.685881786627e-001,8.244087861979e-001
0.51000000,5.097630407647e-001,5.194821673759e-001,5.591866810485e-001,6.652446792956e-001,8.208623277918e-001
0.52000000,5.096605708311e-001,5.192769904003e-001,5.583077486669e-001,6.619873409279e-001,8.172538497738e-001
0.53000000,5.095585147615e-001,5.190727595468e-001,5.574701981515e-001,6.588113067841e-001,8.135800259093e-001
0.54000000,5.094568526475e-001,5.188693944638e-001,5.566681883881e-001,6.557116135521e-001,8.098374912910e-001
0.55000000,5.093555647204e-001,5.186668268564e-001,5.558965035809e-001,6.526832020262e-001,8.060228402941e-001
0.56000000,5.092546313067e-001,5.184649964777e-001,5.551504858065e-001,6.497209277061e-001,8.021326248539e-001
0.57000000,5.091540327048e-001,5.182638481245e-001,5.544259702851e-001,6.468195705210e-001,7.981633530539e-001
0.58000000,5.090537491437e-001,5.180633294314e-001,5.537192235876e-001,6.439738434839e-001,7.941114880615e-001
0.59000000,5.089537606512e-001,5.178633890493e-001,5.530268849783e-001,6.411784007875e-001,7.899734473905e-001
0.60000000,5.088540469869e-001,5.176639751424e-001,5.523459132840e-001,6.384278448970e-001,7.857456025445e-001
0.61000000,5.087545875232e-001,5.174650339384e-001,5.516735362096e-001,6.357167328932e-001,7.814242790050e-001
0.62000000,5.086553611497e-001,5.172665082814e-001,5.510072646166e-001,6.330395825134e-001,7.770057566420e-001
0.63000000,5.085563461424e-001,5.170683361067e-001,5.503448264162e-001,6.303908774978e-001,7.724862704817e-001
0.64000000,5.084575200310e-001,5.168704490743e-001,5.496839391954e-001,6.277650843370e-001,7.678620119522e-001
0.65000000,5.083588594249e-001,5.166727752261e-001,5.490223293380e-001,6.251566823085e-001,7.631291304887e-001
0.66000000,5.082603398048e-001,5.164752318679e-001,5.483578369098e-001,6.225604446771e-001,7.582837356412e-001
0.67000000,5.081619353033e-001,5.162777149100e-001,5.476884509083e-001,6.199708784795e-001,7.533218997417e-001
0.68000000,5.080636188308e-001,5.160800967351e-001,5.470121599124e-001,6.173821962887e-001,7.482396608605e-001
0.69000000,5.079653633664e-001,5.158822273952e-001,5.463268066264e-001,6.147884460814e-001,7.430330263808e-001
0.70000000,5.078671374213e-001,5.156839306932e-001,5.456301520798e-001,6.121839452660e-001,7.376979770903e-001
0.71000000,5.077689040137e-001,5.154849880012e-001,5.449198552381e-001,6.095634090344e-001,7.322304717944e-001
0.72000000,5.076706212744e-001,5.152851251729e-001,5.441934501832e-001,6.069211900455e-001,7.266264524865e-001
0.73000000,5.075722421934e-001,5.150840011617e-001,5.434483222129e-001,6.042515354493e-001,7.208818500887e-001
0.74000000,5.074737115971e-001,5.148811912763e-001,5.426816851769e-001,6.015486434931e-001,7.149925907694e-001
0.75000000,5.073749586352e-001,5.146761668452e-001,5.418905601769e-001,5.988066769577e-001,7.089546028550e-001
0.76000000,5.072758924832e-001,5.144682706998e-001,5.410717557391e-001,5.960197631034e-001,7.027638243422e-001
