x,t=0.0025,t=0.005,t=0.015,t=0.04,Steady
0.00000000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000
0.01000000,9.460351458648e-001,9.632335801209e-001,9.788627442608e-001,9.849191650330e-001,9.855636989457e-001
0.02000000,9.015219579239e-001,9.352751940844e-001,9.649734364769e-001,9.755847872625e-001,9.766868119469e-001
0.03000000,8.581263819509e-001,9.080561007040e-001,9.518677167902e-001,9.669445757582e-001,9.684880382149e-001
0.04000000,8.173917812040e-001,8.823335956259e-001,9.400327908884e-001,9.593122642001e-001,9.612622716182e-001
0.05000000,7.801563840295e-001,8.582173016133e-001,9.293417309988e-001,9.525830452824e-001,9.549076294225e-001
0.06000000,7.465860610502e-001,8.355693542202e-001,9.195957852283e-001,9.466046639889e-001,9.492771320264e-001
0.07000000,7.167704838508e-001,8.143165755952e-001,9.106381967112e-001,9.412526110932e-001,9.442502393443e-001
0.08000000,6.906807783996e-001,7.944176120273e-001,9.023403981597e-001,9.364241067184e-001,9.397274857471e-001
0.09000000,6.681756919326e-001,7.758489216920e-001,8.945967733102e-001,9.320340303120e-001,9.356265298568e-001
0.10000000,6.490199066626e-001,7.585944525214e-001,8.873203668363e-001,9.280117930793e-001,9.318791405067e-001
0.11000000,6.329106546680e-001,7.426374778079e-001,8.804396934400e-001,9.242987650534e-001,9.284286858630e-001
0.12000000,6.195053472387e-001,7.279544036464e-001,8.738960045898e-001,9.208460256751e-001,9.252279369901e-001
0.13000000,6.084465724142e-001,7.145117136238e-001,8.676408616765e-001,9.176126688002e-001,9.222374424394e-001
0.14000000,5.993827318154e-001,7.022646543178e-001,8.616344186177e-001,9.145644329427e-001,9.194241905004e-001
0.15000000,5.919833266655e-001,6.911574216718e-001,8.558439431208e-001,9.116725592482e-001,9.167604994175e-001
0.16000000,5.859490138300e-001,6.811243754158e-001,8.502425912566e-001,9.089128544409e-001,9.142231070343e-001
0.17000000,5.810170384256e-001,6.720920282809e-001,8.448083922938e-001,9.062649210547e-001,9.117924205947e-001
0.18000000,5.769629397933e-001,6.639814499099e-001,8.395234042645e-001,9.037115183622e-001,9.094519015081e-001
0.19000000,5.735995086520e-001,6.567107454822e-001,8.343730105349e-001,9.012380483310e-001,9.071875622849e-001
0.20000000,5.707739155895e-001,6.501974359763e-001,8.293453237702e-001,8.988321214448e-001,9.049875406865e-001
0.21000000,5.683637938265e-001,6.443605649457e-001,8.244307017823e-001,8.964831860765e-001,9.028417459009e-001
0.22000000,5.662728821314e-001,6.391224507904e-001,8.196213351061e-001,8.941822346390e-001,9.007415716640e-001
0.23000000,5.644266593553e-001,6.344100389487e-001,8.149108846221e-001,8.919215553059e-001,8.986796555221e-001
0.24000000,5.627682563215e-001,6.301558528715e-001,8.102941921708e-001,8.896945253280e-001,8.966496785418e-001
0.25000000,5.612548170926e-001,6.262985723025e-001,8.057670370137e-001,8.874954382686e-001,8.946461980101e-001
0.26000000,5.598543916710e-001,6.227832848509e-001,8.013259314383e-001,8.853193593983e-001,8.926645074746e-001
0.27000000,5.585433703945e-001,6.195614688625e-001,7.969679509501e-001,8.831620044783e-001,8.907005201327e-001
0.28000000,5.573044201708e-001,6.165907673392e-001,7.926905940233e-001,8.810196383828e-001,8.887506681412e-001
0.29000000,5.561248578064e-001,6.138346097960e-001,7.884916719178e-001,8.788889898485e-001,8.868118221146e-001
0.30000000,5.549953916855e-001,6.112617339095e-001,7.843692164524e-001,8.767671832554e-001,8.848812274300e-001
0.31000000,5.539091692937e-001,6.088456512415e-001,7.803214040751e-001,8.746516851969e-001,8.829564524286e-001
0.32000000,5.528610747665e-001,6.065640929175e-001,7.763465006719e-001,8.725403315779e-001,8.810354314625e-001
0.33000000,5.518472243023e-001,6.043984628148e-001,7.724428184119e-001,8.704311119634e-001,8.791161971980e-001
0.34000000,5.508646103488e-001,6.023333179772e-001,7.686086856127e-001,8.683221403918e-001,8.771968954182e-001
0.35000000,5.499108515212e-001,6.003558892146e-001,7.648424259470e-001,8.662116773211e-001,8.752758305220e-001
0.36000000,5.489840149049e-001,5.984556494106e-001,7.611423438872e-001,8.640981963282e-001,8.733515070799e-001
0.37000000,5.480824882095e-001,5.966239328787e-001,7.575067169252e-001,8.619804013366e-001,8.714226392706e-001
0.38000000,5.472048880733e-001,5.948536058440e-001,7.539337937228e-001,8.598569953643e-001,8.694879086350e-001
0.39000000,5.463499961768e-001,5.931387856314e-001,7.504217961968e-001,8.577267297745e-001,8.675460480755e-001
0.40000000,5.455167171011e-001,5.914746045820e-001,7.469689229109e-001,8.555884119051e-001,8.655958342411e-001
0.41000000,5.447040524437e-001,5.898570140463e-001,7.435733558381e-001,8.534408928252e-001,8.636360774058e-001
0.42000000,5.439110858407e-001,5.882826235685e-001,7.402332663089e-001,8.512830544915e-001,8.616656068912e-001
0.43000000,5.431369741261e-001,5.867485703148e-001,7.369468225664e-001,8.491137959647e-001,8.596832581733e-001
0.44000000,5.423809410886e-001,5.852524139613e-001,7.337121974814e-001,8.469320210846e-001,8.576878599071e-001
0.45000000,5.416422717927e-001,5.837920526962e-001,7.305275735351e-001,8.447366258912e-001,8.556782215468e-001
0.46000000,5.409203067087e-001,5.823656565548e-001,7.273911491072e-001,8.425264863509e-001,8.536531205967e-001
0.47000000,5.402144356650e-001,5.809716148209e-001,7.243011422325e-001,8.403004460539e-001,8.516112900381e-001
0.48000000,5.395240919182e-001,5.796084946488e-001,7.212557926969e-001,8.380573037101e-001,8.495514053105e-001
0.49000000,5.388487466669e-001,5.782750085436e-001,7.182533626435e-001,8.357958002499e-001,8.474720707413e-001
0.50000000,5.381879042569e-001,5.769699888315e-001,7.152921355675e-001,8.335146048167e-001,8.453718048977e-001
0.51000000,5.375410981698e-001,5.756923676344e-001,7.123704133232e-001,8.312123002765e-001,8.432490250188e-001
0.52000000,5.369078877483e-001,5.744411611060e-001,7.094865108935e-001,8.288873672844e-001,8.411020302404e-001
0.53000000,5.362878555367e-001,5.732154568896e-001,7.066387491492e-001,8.265381675585e-001,8.389289833217e-001
0.54000000,5.356806050870e-001,5.720144039792e-001,7.038254456371e-001,8.241629246046e-001,8.367278902511e-001
0.55000000,5.350857591277e-001,5.708372044193e-001,7.010449033058e-001,8.217597033494e-001,8.344965779736e-001
0.56000000,5.345029580167e-001,5.696831064309e-001,6.982953968994e-001,8.193263867147e-001,8.322326690850e-001
0.57000000,5.339318583922e-001,5.685513985914e-001,6.955751569455e-001,8.168606511254e-001,8.299335530724e-001
0.58000000,5.333721319749e-001,5.674414047301e-001,6.928823514129e-001,8.143599375153e-001,8.275963591239e-001
0.59000000,5.328234644936e-001,5.663524792302e-001,6.902150649062e-001,8.118214206253e-001,8.252179218845e-001
0.60000000,5.322855547094e-001,5.652840024584e-001,6.875712751706e-001,8.092419721131e-001,8.227947395231e-001
0.61000000,5.317581135288e-001,5.642353760807e-001,6.849488267016e-001,8.066181223577e-001,8.203229318823e-001
0.62000000,5.312408631774e-001,5.632060180096e-001,6.823454015469e-001,8.039460204521e-001,8.177981920397e-001
0.63000000,5.307335364118e-001,5.621953567204e-001,6.797584878205e-001,8.012213811653e-001,8.152157333586e-001
0.64000000,5.302358757821e-001,5.612028246459e-001,6.771853470901e-001,7.984394305627e-001,8.125702272362e-001
0.65000000,5.297476329080e-001,5.602278502217e-001,6.746230201508e-001,7.955948443731e-001,8.098557372153e-001
0.66000000,5.292685677067e-001,5.592698480627e-001,6.720684879833e-001,7.926816806734e-001,8.070656456369e-001
0.67000000,5.287984474107e-001,5.583282065791e-001,6.695182477722e-001,7.896933026379e-001,8.041925669145e-001
0.68000000,5.283370454685e-001,5.574022725802e-001,6.669681633235e-001,7.866222941563e-001,8.012282545822e-001
0.69000000,5.278841401387e-001,5.564913296975e-001,6.644135363324e-001,7.834603690963e-001,7.981634969429e-001
0.70000000,5.274395124167e-001,5.555945746772e-001,6.618493104497e-001,7.801982611604e-001,7.949880013719e-001
