x,Qr,Qc,Qt
0.00000000,2.069598624444e+000,1.917377292953e+000,3.986975917398e+000
0.01000000,2.089630092923e+000,1.868928376849e+000,3.958558469772e+000
0.02000000,2.122329780731e+000,1.869946383608e+000,3.992276164339e+000
0.03000000,2.144999292931e+000,1.877916604546e+000,4.022915897477e+000
0.04000000,2.162538976980e+000,1.868261111564e+000,4.030800088545e+000
0.05000000,2.175372004391e+000,1.847961311346e+000,4.023333315738e+000
0.06000000,2.183922432981e+000,1.827737730822e+000,4.011660163803e+000
0.07000000,2.188582542499e+000,1.809051018800e+000,3.997633561299e+000
0.08000000,2.189711457222e+000,1.791540424955e+000,3.981251882178e+000
0.09000000,2.187638695203e+000,1.774907010380e+000,3.962545705583e+000
0.10000000,2.182667239519e+000,1.758881624953e+000,3.941548864472e+000
0.11000000,2.175076241142e+000,1.743223061023e+000,3.918299302164e+000
0.12000000,2.165121087044e+000,1.727715880181e+000,3.892836967225e+000
0.13000000,2.153037733627e+000,1.712167670812e+000,3.865205404439e+000
0.14000000,2.139049874459e+000,1.696408704460e+000,3.835458578919e+000
0.15000000,2.123364514015e+000,1.680291991147e+000,3.803656505162e+000
0.16000000,2.106170027671e+000,1.663690842823e+000,3.769860870494e+000
0.17000000,2.087640800876e+000,1.646497197645e+000,3.734137998521e+000
0.18000000,2.067938173692e+000,1.628621015470e+000,3.696559189163e+000
0.19000000,2.047210712070e+000,1.609989310648e+000,3.657200022718e+000
0.20000000,2.025594099417e+000,1.590544967890e+000,3.616139067307e+000
0.21000000,2.003216144271e+000,1.570245821563e+000,3.573461965834e+000
0.22000000,1.980195902284e+000,1.549064113354e+000,3.529260015637e+000
0.23000000,1.956639581091e+000,1.526985345445e+000,3.483624926535e+000
0.24000000,1.932644811731e+000,1.504007097177e+000,3.436651908909e+000
0.25000000,1.908301986263e+000,1.480138271319e+000,3.388440257581e+000
0.26000000,1.883692847434e+000,1.455398160077e+000,3.339091007511e+000
0.27000000,1.858891479479e+000,1.429815430992e+000,3.288706910471e+000
0.28000000,1.833965260056e+000,1.403427203241e+000,3.237392463297e+000
0.29000000,1.808974935076e+000,1.376278125438e+000,3.185253060514e+000
0.30000000,1.783975071117e+000,1.348419451614e+000,3.132394522731e+000
0.31000000,1.759014304827e+000,1.319908138640e+000,3.078922443467e+000
0.32000000,1.734135798211e+000,1.290805966909e+000,3.024941765120e+000
0.33000000,1.709377774554e+000,1.261178694140e+000,2.970556468694e+000
0.34000000,1.684773900774e+000,1.231095243870e+000,2.915869144643e+000
0.35000000,1.660353653019e+000,1.200626930385e+000,2.860980583405e+000
0.36000000,1.636142666149e+000,1.169846724231e+000,2.805989390380e+000
