x,Qr,Qc,Qt
0.00000000,1.899129051781e+000,1.871975181927e+000,3.771104233708e+000
0.01000000,1.910218077819e+000,1.926330602079e+000,3.836548679898e+000
0.02000000,1.927053484629e+000,1.954210979535e+000,3.881264464164e+000
0.03000000,1.936944707717e+000,1.973205510128e+000,3.910150217845e+000
0.04000000,1.943850728069e+000,1.974691473904e+000,3.918542201973e+000
0.05000000,1.948127292415e+000,1.962925508436e+000,3.911052800851e+000
0.06000000,1.950024002058e+000,1.948755139449e+000,3.898779141506e+000
0.07000000,1.949751846650e+000,1.934340714048e+000,3.884092560699e+000
0.08000000,1.947501525959e+000,1.919584619694e+000,3.867086145653e+000
0.09000000,1.943447580134e+000,1.904345911011e+000,3.847793491145e+000
0.10000000,1.937753618079e+000,1.888501532841e+000,3.826255150920e+000
0.11000000,1.930576254986e+000,1.871944464259e+000,3.802520719246e+000
0.12000000,1.922060946920e+000,1.854583516256e+000,3.776644463176e+000
0.13000000,1.912341764884e+000,1.836342324869e+000,3.748684089753e+000
0.14000000,1.901543747923e+000,1.817158685250e+000,3.718702433173e+000
0.15000000,1.889783339402e+000,1.796984092729e+000,3.686767432131e+000
0.16000000,1.877168791816e+000,1.775783142715e+000,3.652951934531e+000
0.17000000,1.863800401909e+000,1.753532934946e+000,3.617333336855e+000
0.18000000,1.849769559826e+000,1.730222344064e+000,3.579991903889e+000
0.19000000,1.835162562460e+000,1.705851321715e+000,3.541013884174e+000
0.20000000,1.820060439506e+000,1.680430351465e+000,3.500490790970e+000
0.21000000,1.804535989484e+000,1.653979689400e+000,3.458515678884e+000
0.22000000,1.788655214548e+000,1.626528520251e+000,3.415183734798e+000
0.23000000,1.772479002920e+000,1.598114216428e+000,3.370593219348e+000
0.24000000,1.756063850339e+000,1.568781622008e+000,3.324845472346e+000
0.25000000,1.739460097004e+000,1.538582272159e+000,3.278042369163e+000
0.26000000,1.722713570230e+000,1.507573589483e+000,3.230287159713e+000
0.27000000,1.705865939003e+000,1.475818142697e+000,3.181684081700e+000
0.28000000,1.688954428989e+000,1.443382888607e+000,3.132337317596e+000
0.29000000,1.672012626274e+000,1.410338430070e+000,3.082351056344e+000
0.30000000,1.655070456641e+000,1.376758303657e+000,3.031828760298e+000
0.31000000,1.638154597500e+000,1.342718285637e+000,2.980872883137e+000
0.32000000,1.621288633424e+000,1.308295730134e+000,2.929584363558e+000
0.33000000,1.604493351624e+000,1.273568937706e+000,2.878062289330e+000
0.34000000,1.587787015496e+000,1.238616560505e+000,2.826403576002e+000
0.35000000,1.571185590906e+000,1.203517044898e+000,2.774702635804e+000
0.36000000,1.554702959185e+000,1.168348113219e+000,2.723051072404e+000
0.37000000,1.538351116689e+000,1.133186286257e+000,2.671537402946e+000
0.38000000,1.522140360936e+000,1.098106447310e+000,2.620246808246e+000
0.39000000,1.506079463442e+000,1.063181448285e+000,2.569260911727e+000
0.40000000,1.490175829556e+000,1.028481757864e+000,2.518657587421e+000
0.41000000,1.474435645629e+000,9.940751514201e-001,2.468510797049e+000
0.42000000,1.458864013979e+000,9.600264419352e-001,2.418890455914e+000
0.43000000,1.443465076168e+000,9.263972509396e-001,2.369862327107e+000
0.44000000,1.428242125173e+000,8.932458182249e-001,2.321487943398e+000
0.45000000,1.413197707087e+000,8.606268488683e-001,2.273824555955e+000
0.46000000,1.398333712997e+000,8.285913958677e-001,2.226925108864e+000
0.47000000,1.383651461718e+000,7.971867765270e-001,2.180838238244e+000
0.48000000,1.369151774020e+000,7.664565206391e-001,2.135608294659e+000
0.49000000,1.354835039022e+000,7.364403484286e-001,2.091275387451e+000
0.50000000,1.340701273379e+000,7.071741761251e-001,2.047875449504e+000
0.51000000,1.326750173912e+000,6.786901469852e-001,2.005440320897e+000
0.52000000,1.312981164270e+000,6.510166855677e-001,1.963997849838e+000
0.53000000,1.299393436211e+000,6.241785730897e-001,1.923572009301e+000
0.54000000,1.285985986006e+000,5.981970417013e-001,1.884183027707e+000
0.55000000,1.272757646475e+000,5.730898855440e-001,1.845847532019e+000
0.56000000,1.259707115090e+000,5.488715865058e-001,1.808578701596e+000
0.57000000,1.246832978603e+000,5.255534526580e-001,1.772386431261e+000
0.58000000,1.234133734551e+000,5.031437674325e-001,1.737277501983e+000
0.59000000,1.221607810068e+000,4.816479476820e-001,1.703255757750e+000
0.60000000,1.209253578228e+000,4.610687088431e-001,1.670322287071e+000
0.61000000,1.197069372310e+000,4.414062355262e-001,1.638475607836e+000
0.62000000,1.185053497927e+000,4.226583559565e-001,1.607711853884e+000
0.63000000,1.173204243126e+000,4.048207187563e-001,1.578024961882e+000
0.64000000,1.161519884889e+000,3.878869707187e-001,1.549406855608e+000
0.65000000,1.149998688010e+000,3.718489336145e-001,1.521847621624e+000
0.66000000,1.138638879439e+000,3.566967829724e-001,1.495335662411e+000
0.67000000,1.127438761504e+000,3.424192283447e-001,1.469857989849e+000
0.68000000,1.116396741613e+000,3.290036722872e-001,1.445400413900e+000
0.69000000,1.105511169943e+000,3.164363721322e-001,1.421947542075e+000
0.70000000,1.094780421032e+000,3.047026130065e-001,1.399483034039e+000
0.71000000,1.084202910774e+000,2.937868604003e-001,1.377989771174e+000
0.72000000,1.073777082795e+000,2.836729091090e-001,1.357449991904e+000
0.73000000,1.063501429058e+000,2.743440272360e-001,1.337845456294e+000
0.74000000,1.053374477621e+000,2.657830919586e-001,1.319157569580e+000
0.75000000,1.043394808454e+000,2.579727193000e-001,1.301367527754e+000
0.76000000,1.033561046361e+000,2.508953856680e-001,1.284456432029e+000
0.77000000,1.023871871273e+000,2.445335427162e-001,1.268405413989e+000
0.78000000,1.014326016418e+000,2.388697234660e-001,1.253195739884e+000
0.79000000,1.004922273762e+000,2.338866420794e-001,1.238808915841e+000
0.80000000,9.956594972915e-001,2.295672733966e-001,1.225226770688e+000
0.81000000,9.865366037156e-001,2.258949207480e-001,1.212431524464e+000
0.82000000,9.775525817762e-001,2.228530639545e-001,1.200405645731e+000
0.83000000,9.687064866627e-001,2.204248701271e-001,1.189131356790e+000
0.84000000,9.599974581986e-001,2.185881808832e-001,1.178585639082e+000
0.85000000,9.514247029568e-001,2.173122100639e-001,1.168736913021e+000
0.86000000,9.429875275775e-001,2.165919048763e-001,1.159579432454e+000
0.87000000,9.346853183390e-001,2.164457344007e-001,1.151131052740e+000
0.88000000,9.265175990225e-001,2.168657272321e-001,1.143383326255e+000
0.89000000,9.184839265981e-001,2.178168824378e-001,1.136300809036e+000
0.90000000,9.105840699892e-001,2.192678502200e-001,1.129851920209e+000
0.91000000,9.028177623974e-001,2.212166583795e-001,1.124034420777e+000
0.92000000,8.951851220910e-001,2.236695400285e-001,1.118854662120e+000
0.93000000,8.876859659018e-001,2.266206490518e-001,1.114306614954e+000
0.94000000,8.803210089948e-001,2.300631688970e-001,1.110384177892e+000
0.95000000,8.730894660827e-001,2.339935059041e-001,1.107082971987e+000
0.96000000,8.659920321194e-001,2.382338565098e-001,1.104225888629e+000
0.97000000,8.590097318669e-001,2.412600098569e-001,1.100269741724e+000
0.98000000,8.520918999714e-001,2.417124830402e-001,1.093804383012e+000
0.99000000,8.440159059038e-001,2.441961962927e-001,1.088212102197e+000
1.00000000,8.393899278330e-001,2.596961639976e-001,1.099086091831e+000
