y,phi=4,phi=8,phi=12,phi=16
0.00000000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000
0.02500000,9.467820243507e-001,9.437787849364e-001,9.426799530497e-001,9.420980543484e-001
0.05000000,9.287030228100e-001,9.231508670603e-001,9.208731491182e-001,9.197405404219e-001
0.07500000,9.123661487240e-001,9.038224471757e-001,9.002377443880e-001,8.986974474029e-001
0.10000000,8.987630222848e-001,8.866901710538e-001,8.819442981440e-001,8.803555722749e-001
0.12500000,8.871574134585e-001,8.710691200026e-001,8.656809679200e-001,8.644606417013e-001
0.15000000,8.768177279219e-001,8.563800221941e-001,8.511146103609e-001,8.505371711776e-001
0.17500000,8.672219793045e-001,8.423735878678e-001,8.380432717097e-001,8.381564233225e-001
0.20000000,8.579561238214e-001,8.290131791166e-001,8.262776366537e-001,8.269290577974e-001
0.22500000,8.487106308757e-001,8.163659755398e-001,8.156041457526e-001,8.165300504450e-001
0.25000000,8.392416147470e-001,8.045192782886e-001,8.057944669540e-001,8.067150597255e-001
0.27500000,8.293794720335e-001,7.935297654774e-001,7.966291975379e-001,7.973188858954e-001
0.30000000,8.190233906073e-001,7.834032921763e-001,7.879177223305e-001,7.882413274735e-001
0.32500000,8.081111566230e-001,7.740957898470e-001,7.795085383290e-001,7.794282947357e-001
0.35000000,7.966205365089e-001,7.655265152158e-001,7.712910026604e-001,7.708537337129e-001
0.37500000,7.845705449914e-001,7.575940580476e-001,7.631915704101e-001,7.625051237433e-001
0.40000000,7.720171644625e-001,7.501903436306e-001,7.551673224548e-001,7.543733639252e-001
0.42500000,7.590464242693e-001,7.432102533090e-001,7.471985968358e-001,7.464467365506e-001
0.45000000,7.457721071047e-001,7.365569439829e-001,7.392817663063e-001,7.387081341042e-001
0.47500000,7.323234837007e-001,7.301447362425e-001,7.314226284571e-001,7.311345066799e-001
0.50000000,7.188176969114e-001,7.238987836494e-001,7.236307556647e-001,7.236978083182e-001
0.52500000,7.053776525481e-001,7.177598017570e-001,7.159166551608e-001,7.163683161436e-001
0.55000000,6.921096374351e-001,7.116597659540e-001,7.082824951401e-001,7.091113305663e-001
0.57500000,6.791179606871e-001,7.055431722928e-001,7.007247422162e-001,7.018900606919e-001
0.60000000,6.664793452780e-001,6.993499619210e-001,6.932329805636e-001,6.946626322411e-001
0.62500000,6.542408410918e-001,6.930290233126e-001,6.857820210696e-001,6.873844740167e-001
0.65000000,6.424307165563e-001,6.865232013185e-001,6.783321280724e-001,6.800089937028e-001
0.67500000,6.310617921548e-001,6.797670379812e-001,6.708280607913e-001,6.724845505633e-001
0.70000000,6.201236179717e-001,6.726851288476e-001,6.632015380417e-001,6.647484513445e-001
0.72500000,6.095884580226e-001,6.651894168798e-001,6.553696646199e-001,6.567252074904e-001
0.75000000,5.994150093461e-001,6.571754747299e-001,6.472270116399e-001,6.483230457580e-001
0.77500000,5.895458339647e-001,6.485180904038e-001,6.386445560819e-001,6.394299773566e-001
0.80000000,5.799181520909e-001,6.390660823774e-001,6.294661042597e-001,6.299091731126e-001
0.82500000,5.704596341916e-001,6.286363227644e-001,6.195039189385e-001,6.195939568128e-001
0.85000000,5.610778027041e-001,6.170070003768e-001,6.085335240453e-001,6.082824477129e-001
0.87500000,5.516618997430e-001,6.039103953474e-001,5.962879750812e-001,5.957320623541e-001
0.90000000,5.420915831033e-001,5.890257944384e-001,5.824517597893e-001,5.816542183415e-001
0.92500000,5.322653941543e-001,5.719736946192e-001,5.666550828506e-001,5.657094899485e-001
0.95000000,5.222836012278e-001,5.528431146265e-001,5.489590392303e-001,5.479942247057e-001
0.97500000,5.122365283654e-001,5.323958196946e-001,5.300554316639e-001,5.291695399181e-001
1.00000000,5.000000000000e-001,5.000000000000e-001,5.000000000000e-001,5.000000000000e-001
