y,phi=4,phi=8,phi=12,phi=16
0.00000000,1.704083110340e+001,1.749983498167e+001,1.760679533905e+001,1.764003629649e+001
0.02500000,1.713320900335e+001,1.759189753366e+001,1.767390488551e+001,1.769210479147e+001
0.05000000,1.725503645946e+001,1.768508177160e+001,1.769828110158e+001,1.769149797950e+001
0.07500000,1.727704924982e+001,1.760843204847e+001,1.753083443118e+001,1.752462489032e+001
0.10000000,1.722263460047e+001,1.736004221377e+001,1.721356775937e+001,1.725304161568e+001
0.12500000,1.711013141009e+001,1.695164569516e+001,1.680899249097e+001,1.693125342538e+001
0.15000000,1.694807647604e+001,1.641217908775e+001,1.637510803500e+001,1.658729805785e+001
0.17500000,1.673705861851e+001,1.578643616358e+001,1.595031957075e+001,1.622646527424e+001
0.20000000,1.647178837504e+001,1.512591971061e+001,1.555011690755e+001,1.584340581157e+001
0.22500000,1.614314780391e+001,1.447751357264e+001,1.517237833329e+001,1.543249082784e+001
0.25000000,1.574056129787e+001,1.387537763007e+001,1.480571966824e+001,1.499303672981e+001
0.27500000,1.525447883406e+001,1.333812857283e+001,1.443664798335e+001,1.453006422488e+001
0.30000000,1.467874559057e+001,1.287052582454e+001,1.405396916913e+001,1.405258014549e+001
0.32500000,1.401235746282e+001,1.246757614322e+001,1.365070593096e+001,1.357109969720e+001
0.35000000,1.326035859496e+001,1.211904147945e+001,1.322439251215e+001,1.309544373721e+001
0.37500000,1.243386117092e+001,1.181308741491e+001,1.277652285328e+001,1.263326745959e+001
0.40000000,1.154922597384e+001,1.153862084962e+001,1.231164230809e+001,1.218940139893e+001
0.42500000,1.062659028723e+001,1.128641988766e+001,1.183633999912e+001,1.176587618000e+001
0.45000000,9.688040992521e+000,1.104940444006e+001,1.135827107632e+001,1.136241048874e+001
0.47500000,8.755720932165e+000,1.082242174209e+001,1.088528301958e+001,1.097712979902e+001
0.50000000,7.850092236039e+000,1.060183496784e+001,1.042469607524e+001,1.060732112587e+001
0.52500000,6.989974458388e+000,1.038515086514e+001,9.983329469150e+000,1.025032752503e+001
0.55000000,6.188022038229e+000,1.017043837226e+001,9.565639459089e+000,9.903232748940e+000
0.57500000,5.453355854608e+000,9.956338729164e+000,9.174837857295e+000,9.564105010581e+000
0.60000000,4.791019348778e+000,9.741740721494e+000,8.812618219514e+000,9.231728427676e+000
0.62500000,4.202372242732e+000,9.525679976303e+000,8.479294293985e+000,8.905571487169e+000
0.65000000,3.685703598861e+000,9.307288766579e+000,8.174008024052e+000,8.585672149923e+000
0.67500000,3.236947895383e+000,9.085753815226e+000,7.894975334302e+000,8.272474470626e+000
0.70000000,2.850399643300e+000,8.860289908460e+000,7.639737484638e+000,7.966642204861e+000
0.72500000,2.519364589158e+000,8.630119396961e+000,7.405392458367e+000,7.668874255721e+000
0.75000000,2.236715898267e+000,8.394448428369e+000,7.188778299008e+000,7.379743212639e+000
0.77500000,1.995328166961e+000,8.152435800169e+000,6.986606795331e+000,7.099564390355e+000
0.80000000,1.788394318250e+000,7.903154776404e+000,6.795551227797e+000,6.828298404433e+000
0.82500000,1.609636722313e+000,7.645552460307e+000,6.612289286835e+000,6.565485941764e+000
0.85000000,1.453408744479e+000,7.378415547071e+000,6.433509477347e+000,6.310211235119e+000
0.87500000,1.314716584512e+000,7.100355051345e+000,6.255894902741e+000,6.061090315976e+000
0.90000000,1.189198898437e+000,6.809824999363e+000,6.076105145806e+000,5.816282992315e+000
0.92500000,1.073095949714e+000,6.505174670394e+000,5.890771056872e+000,5.573521707854e+000
0.95000000,9.633468337309e-001,6.185163977064e+000,5.696907011523e+000,5.330545968653e+000
0.97500000,8.575328802815e-001,5.849726295769e+000,5.492600527014e+000,5.085761218425e+000
1.00000000,8.040720511523e-001,5.673867511593e+000,5.384973459393e+000,4.959727557525e+000
