y,phi=4,phi=8,phi=12,phi=16
0.00000000,3.600727996927e+000,3.746550835191e+000,3.791046668589e+000,3.815221907200e+000
0.02500000,1.180059941306e+000,1.286742672923e+000,1.332166243049e+000,1.354672400253e+000
0.05000000,6.889228430754e-001,7.996907932149e-001,8.494359911940e-001,8.686517292786e-001
0.07500000,5.984754505399e-001,7.289372984053e-001,7.783891929671e-001,7.875341836868e-001
0.10000000,5.037733641757e-001,6.547258429410e-001,6.908277289718e-001,6.843771708133e-001
0.12500000,4.385979277300e-001,6.059872877695e-001,6.163323575497e-001,5.960235791001e-001
0.15000000,3.984879983915e-001,5.737764798406e-001,5.524951976426e-001,5.257582180807e-001
0.17500000,3.770750125101e-001,5.472347669561e-001,4.964712345262e-001,4.718730372473e-001
0.20000000,3.701509507367e-001,5.200403151747e-001,4.485148489718e-001,4.322888445553e-001
0.22500000,3.742734640388e-001,4.897304639347e-001,4.094142551874e-001,4.040939169803e-001
0.25000000,3.866750021998e-001,4.565331097342e-001,3.792836354938e-001,3.840820617287e-001
0.27500000,4.044682083342e-001,4.220913957027e-001,3.573614500427e-001,3.693657097239e-001
0.30000000,4.255079922992e-001,3.884283124465e-001,3.422824108884e-001,3.577222860223e-001
0.32500000,4.482316950315e-001,3.572784934797e-001,3.324417124821e-001,3.476711748403e-001
0.35000000,4.710077123398e-001,3.297866918434e-001,3.262771467200e-001,3.383845025754e-001
0.37500000,4.922692671129e-001,3.064957544028e-001,3.224330947990e-001,3.295267999499e-001
0.40000000,5.106750853417e-001,2.874755880670e-001,3.198320882628e-001,3.210850361292e-001
0.42500000,5.250699224067e-001,2.724981027907e-001,3.176893664717e-001,3.132215208946e-001
0.45000000,5.345872904573e-001,2.611721445398e-001,3.154973563431e-001,3.061641744611e-001
0.47500000,5.391642871665e-001,2.530559464405e-001,3.129940197298e-001,3.001322987921e-001
0.50000000,5.390208386991e-001,2.476409279334e-001,3.101253539398e-001,2.952945687733e-001
0.52500000,5.342849238939e-001,2.447741494986e-001,3.070000255328e-001,2.917466020636e-001
0.55000000,5.253450345411e-001,2.443003456832e-001,3.038672693123e-001,2.895632709445e-001
0.57500000,5.127680929041e-001,2.461452590586e-001,3.010077525694e-001,2.889540525019e-001
0.60000000,4.977060994817e-001,2.502133398006e-001,2.988559074989e-001,2.900751699813e-001
0.62500000,4.811315257300e-001,2.564463444181e-001,2.979984484202e-001,2.930201843684e-001
0.65000000,4.637256411720e-001,2.651312805299e-001,2.990386388579e-001,2.979281821544e-001
0.67500000,4.462670383686e-001,2.766329341783e-001,3.025483613404e-001,3.051217460374e-001
0.70000000,4.295703284843e-001,2.914029695742e-001,3.090779430229e-001,3.150775162973e-001
0.72500000,4.142501100878e-001,3.100216773448e-001,3.193724365728e-001,3.283770869170e-001
0.75000000,4.009072437433e-001,3.332321596178e-001,3.343548456381e-001,3.457505467409e-001
0.77500000,3.899705006720e-001,3.619697571270e-001,3.550412245423e-001,3.680994458063e-001
0.80000000,3.817331060951e-001,3.973933758734e-001,3.826067484186e-001,3.965183058152e-001
0.82500000,3.767923962160e-001,4.409166721595e-001,4.184183568307e-001,4.323093794964e-001
0.85000000,3.759193332138e-001,4.942332024034e-001,4.640618511791e-001,4.769925478787e-001
0.87500000,3.796765266283e-001,5.593236034612e-001,5.213602678299e-001,5.323042202235e-001
0.90000000,3.878879672444e-001,6.384271994765e-001,5.923736687613e-001,6.001840521877e-001
0.92500000,3.962297133875e-001,7.236928353425e-001,6.698866061123e-001,6.732505221451e-001
0.95000000,4.005208378709e-001,7.916652113642e-001,7.320935276785e-001,7.308763230695e-001
0.97500000,4.310384401900e-001,9.766459501298e-001,9.042390452195e-001,8.904696711633e-001
1.00000000,5.773070949484e-001,1.777244678090e+000,1.651947199473e+000,1.583381842472e+000
