y,t=0.005,t=0.015,t=0.04,Steady
0.00000000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000
0.02500000,8.865640746556e-001,9.416283200957e-001,9.526677015026e-001,9.544848681018e-001
0.05000000,8.203246226055e-001,9.070939031567e-001,9.282376826449e-001,9.314312112052e-001
0.07500000,7.582099772299e-001,8.731944212050e-001,9.049061153304e-001,9.095470107439e-001
0.10000000,7.058630267696e-001,8.413877588518e-001,8.838295156287e-001,8.899446472301e-001
0.12500000,6.646534691501e-001,8.122837880859e-001,8.650430679588e-001,8.726407012584e-001
0.15000000,6.331821814905e-001,7.857352079026e-001,8.481340009720e-001,8.572313181161e-001
0.17500000,6.097281160456e-001,7.616185056779e-001,8.327402889440e-001,8.433560793365e-001
0.20000000,5.925301544233e-001,7.397954890401e-001,8.185414744597e-001,8.306921951049e-001
0.22500000,5.799906614684e-001,7.201152108807e-001,8.052715082241e-001,8.189679638269e-001
0.25000000,5.707861070491e-001,7.024216734779e-001,7.927265455135e-001,8.079709980957e-001
0.27500000,5.638979126569e-001,6.865583880810e-001,7.807622494295e-001,7.975459503305e-001
0.30000000,5.585857771991e-001,6.723697175876e-001,7.692836536808e-001,7.875848080147e-001
0.32500000,5.543332770992e-001,6.597010695271e-001,7.582321751782e-001,7.780143756525e-001
0.35000000,5.507912808748e-001,6.483994105027e-001,7.475730824652e-001,7.687842521392e-001
0.37500000,5.477312081019e-001,6.383145952413e-001,7.372851401253e-001,7.598569763552e-001
0.40000000,5.450089471779e-001,6.293013854811e-001,7.273529968615e-001,7.512008977878e-001
0.42500000,5.425367817918e-001,6.212217844317e-001,7.177621973998e-001,7.427855674154e-001
0.45000000,5.402618428583e-001,6.139472801485e-001,7.084963483419e-001,7.345793201200e-001
0.47500000,5.381508151764e-001,6.073606606769e-001,6.995358413574e-001,7.265481195374e-001
0.50000000,5.361804175845e-001,6.013571744818e-001,6.908575422544e-001,7.186561406201e-001
0.52500000,5.343349524329e-001,5.958547323053e-001,6.824403552920e-001,7.108674140305e-001
0.55000000,5.325959459595e-001,5.907609581015e-001,6.742478293372e-001,7.031452188501e-001
0.57500000,5.309505168440e-001,5.860085357023e-001,6.662474291317e-001,6.954412927502e-001
0.60000000,5.293879419631e-001,5.815397599572e-001,6.584039314770e-001,6.877131080680e-001
0.62500000,5.278995305107e-001,5.773044883124e-001,6.506805331042e-001,6.799080228437e-001
0.65000000,5.264783030721e-001,5.732578534413e-001,6.430396982934e-001,6.719811663756e-001
0.67500000,5.251184281001e-001,5.693583816466e-001,6.354349313422e-001,6.638780368320e-001
0.70000000,5.238144247595e-001,5.655671446268e-001,6.278082507151e-001,6.555377710549e-001
0.72500000,5.225602267100e-001,5.618459805549e-001,6.200967315054e-001,6.468912407021e-001
0.75000000,5.213485433751e-001,5.581404399994e-001,6.122300152970e-001,6.378602272975e-001
0.77500000,5.201697418786e-001,5.543929451148e-001,6.041317513118e-001,6.283556827735e-001
0.80000000,5.190067318465e-001,5.505287714173e-001,5.957096054883e-001,6.182762789422e-001
0.82500000,5.178307242885e-001,5.464696647678e-001,5.868571920515e-001,6.075069750325e-001
0.85000000,5.165981263947e-001,5.421156586858e-001,5.774522885923e-001,5.959179024193e-001
0.87500000,5.152449883489e-001,5.373452230922e-001,5.673558973987e-001,5.833636843379e-001
0.90000000,5.136799635912e-001,5.320135291187e-001,5.564113497747e-001,5.696835005573e-001
0.92500000,5.117728256781e-001,5.259491457385e-001,5.444427577694e-001,5.547039727349e-001
0.95000000,5.093877741729e-001,5.191367445262e-001,5.316202130979e-001,5.386987301001e-001
0.97500000,5.066699045612e-001,5.118740897646e-001,5.183297677751e-001,5.221315030834e-001
1.00000000,5.000000000000e-001,5.000000000000e-001,5.000000000000e-001,5.000000000000e-001
