y,t=0.005,t=0.015,t=0.04,Steady
0.00000000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000
0.02500000,8.760987267652e-001,9.462539756438e-001,9.656352980451e-001,9.719262850499e-001
0.05000000,7.953765955593e-001,8.975587346670e-001,9.363143759903e-001,9.492515153445e-001
0.07500000,7.220087125291e-001,8.496424121159e-001,9.071820752509e-001,9.268999758628e-001
0.10000000,6.621527278202e-001,8.036082317877e-001,8.786414379441e-001,9.052861973844e-001
0.12500000,6.168172464555e-001,7.612860149895e-001,8.514016082280e-001,8.849030160470e-001
0.15000000,5.836198054152e-001,7.232905794701e-001,8.255487108710e-001,8.656990165095e-001
0.17500000,5.600636583870e-001,6.897768172783e-001,8.010692845121e-001,8.475778429315e-001
0.20000000,5.438204442254e-001,6.607041025302e-001,7.779521053618e-001,8.304469330750e-001
0.22500000,5.328944673297e-001,6.358695129566e-001,7.561881151760e-001,8.142214533464e-001
0.25000000,5.256878711619e-001,6.149516588626e-001,7.357699970824e-001,7.988269447115e-001
0.27500000,5.209942826520e-001,5.975539895968e-001,7.166899196268e-001,7.841994185419e-001
0.30000000,5.179455248614e-001,5.832430248566e-001,6.989362297025e-001,7.702836985151e-001
0.32500000,5.159393865435e-001,5.715794080932e-001,6.824902040951e-001,7.570310353303e-001
0.35000000,5.145712841337e-001,5.621411750289e-001,6.673235861656e-001,7.443967561722e-001
0.37500000,5.135794618093e-001,5.545395930572e-001,6.533972294614e-001,7.323383566453e-001
0.40000000,5.128029529190e-001,5.484284976122e-001,6.406608572853e-001,7.208141724502e-001
0.42500000,5.121488356245e-001,5.435083620444e-001,6.290538439559e-001,7.097826099529e-001
0.45000000,5.115669559009e-001,5.395264239623e-001,6.185066408555e-001,6.992018335290e-001
0.47500000,5.110316870173e-001,5.362740797263e-001,6.089426545210e-001,6.890297688540e-001
0.50000000,5.105301278267e-001,5.335825747280e-001,6.002803677747e-001,6.792242969260e-001
0.52500000,5.100559245622e-001,5.313254708070e-001,5.924528819808e-001,6.697502383234e-001
0.55000000,5.096041813559e-001,5.293864182042e-001,5.853535929198e-001,6.605574896419e-001
0.57500000,5.091719569158e-001,5.276856469824e-001,5.788980689603e-001,6.516052095069e-001
0.60000000,5.087569720513e-001,5.261619235698e-001,5.730038796799e-001,6.428533520464e-001
0.62500000,5.083574050957e-001,5.247682626621e-001,5.675914354077e-001,6.342624911945e-001
0.65000000,5.079717546723e-001,5.234682762146e-001,5.625845165894e-001,6.257945905246e-001
0.67500000,5.075986842395e-001,5.222333745146e-001,5.579105428072e-001,6.174130169626e-001
0.70000000,5.072368323283e-001,5.210407459895e-001,5.535006410634e-001,6.090845296247e-001
0.72500000,5.068846376711e-001,5.198695749063e-001,5.492901122156e-001,6.007650996213e-001
0.75000000,5.065401783032e-001,5.186968934000e-001,5.452195356031e-001,5.924176612349e-001
0.77500000,5.062003287424e-001,5.175003884482e-001,5.412337024647e-001,5.839989666519e-001
0.80000000,5.058593667296e-001,5.162555376249e-001,5.372684130685e-001,5.754754828726e-001
0.82500000,5.055085921693e-001,5.149362841376e-001,5.332673148188e-001,5.668075840622e-001
0.85000000,5.051345507114e-001,5.135105732855e-001,5.291704059563e-001,5.579550533215e-001
0.87500000,5.047177536241e-001,5.119412218097e-001,5.249309011596e-001,5.488765543336e-001
0.90000000,5.042298063118e-001,5.101854932688e-001,5.204953502073e-001,5.395311436721e-001
0.92500000,5.036308594518e-001,5.081948524453e-001,5.158199080547e-001,5.299283571006e-001
0.95000000,5.028809927550e-001,5.059771527525e-001,5.109786451319e-001,5.202525889121e-001
0.97500000,5.020259255999e-001,5.036265845859e-001,5.060606923795e-001,5.105683609648e-001
1.00000000,5.000000000000e-001,5.000000000000e-001,5.000000000000e-001,5.000000000000e-001
