y,t=0.005,t=0.015,t=0.04,Steady
0.00000000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000,1.000000000000e+000
0.02500000,8.874346750803e-001,9.310299540202e-001,9.404401227449e-001,9.420980570152e-001
0.05000000,8.318693254767e-001,9.017699188575e-001,9.172534080899e-001,9.197405442856e-001
0.07500000,7.784929950922e-001,8.734946610611e-001,8.953527148688e-001,8.986974524038e-001
0.10000000,7.323847104167e-001,8.479052763701e-001,8.762013270666e-001,8.803555782886e-001
0.12500000,6.948129773949e-001,8.249108339954e-001,8.595337200267e-001,8.644606486074e-001
0.15000000,6.650121255009e-001,8.040914097719e-001,8.448593835139e-001,8.505371788774e-001
0.17500000,6.418307321235e-001,7.850961041179e-001,8.317398216619e-001,8.381564317342e-001
0.20000000,6.239610423761e-001,7.676145280923e-001,8.197783580370e-001,8.269290668533e-001
0.22500000,6.101445796990e-001,7.513926564001e-001,8.086446617797e-001,8.165300600900e-001
0.25000000,5.993042103386e-001,7.362448048689e-001,7.980910181079e-001,8.067150699149e-001
0.27500000,5.905975644428e-001,7.220500281840e-001,7.879507461204e-001,7.973188965936e-001
0.30000000,5.834085131730e-001,7.087372416644e-001,7.781239636133e-001,7.882413386523e-001
0.32500000,5.773058822412e-001,6.962665666710e-001,7.685585472526e-001,7.794283063725e-001
0.35000000,5.719960872377e-001,6.846123611124e-001,7.592318534609e-001,7.708537457898e-001
0.37500000,5.672832621195e-001,6.737506028090e-001,7.501359937644e-001,7.625051362454e-001
0.40000000,5.630388062563e-001,6.636512510089e-001,7.412675054261e-001,7.543733768395e-001
0.42500000,5.591781467973e-001,6.542750371843e-001,7.326211312211e-001,7.464467498652e-001
0.45000000,5.556432736615e-001,6.455735862345e-001,7.241868754496e-001,7.387081478068e-001
0.47500000,5.523907392499e-001,6.374916198045e-001,7.159493259940e-001,7.311345207571e-001
0.50000000,5.493846715427e-001,6.299700928646e-001,7.078882736023e-001,7.236978227548e-001
0.52500000,5.465980905071e-001,6.229599031432e-001,6.999828836579e-001,7.163683309209e-001
0.55000000,5.439975963442e-001,6.163902931694e-001,6.922025238673e-001,7.091113456675e-001
0.57500000,5.415594190649e-001,6.102074526835e-001,6.845195791639e-001,7.018900760799e-001
0.60000000,5.392638503077e-001,6.043617452493e-001,6.769064961714e-001,6.946626478808e-001
0.62500000,5.370951770383e-001,5.988072215398e-001,6.693344000619e-001,6.873844898528e-001
0.65000000,5.350411865057e-001,5.935004538549e-001,6.617641606294e-001,6.800090096810e-001
0.67500000,5.330922576024e-001,5.883987838621e-001,6.541543378172e-001,6.724845666111e-001
0.70000000,5.312400782563e-001,5.834595636021e-001,6.464527989041e-001,6.647484673740e-001
0.72500000,5.294760826130e-001,5.786391713239e-001,6.386017612403e-001,6.567252233949e-001
0.75000000,5.277899433063e-001,5.738848783630e-001,6.305277003728e-001,6.483230614106e-001
0.77500000,5.261688634703e-001,5.691213763483e-001,6.221386760478e-001,6.394299926076e-001
0.80000000,5.245930224413e-001,5.642638607763e-001,6.133204034545e-001,6.299091877873e-001
0.82500000,5.230252968713e-001,5.592025088423e-001,6.039318289518e-001,6.195939707085e-001
0.85000000,5.214110302243e-001,5.538126189898e-001,5.938000681840e-001,6.082824605968e-001
0.87500000,5.196658712997e-001,5.479313847145e-001,5.827149125007e-001,5.957320739614e-001
0.90000000,5.176723909923e-001,5.413573075684e-001,5.704230798103e-001,5.816542283735e-001
0.92500000,5.152614879098e-001,5.338432796339e-001,5.566204762496e-001,5.657094980722e-001
0.95000000,5.122477403884e-001,5.253085231490e-001,5.413629389470e-001,5.479942306231e-001
0.97500000,5.088147422713e-001,5.161406503583e-001,5.252128057633e-001,5.291695434285e-001
1.00000000,5.000000000000e-001,5.000000000000e-001,5.000000000000e-001,5.000000000000e-001
