x,0.005,0.015,0.05,ss,ss-1,ss-2,ss-3,ss-4
-0.00362,1.01011,1.00753,1.00133,1.00277,1.04733,1.0197,1.0109,1.00896
-0.00145,1.00044,1.00255,0.99876,1.00044,1.0371,1.01377,1.0062,1.00624
-0.00072,0.99722,1.00089,0.9979,0.99967,1.03344,1.0116,1.00456,1.00533
-0.00072,0.99719,1.00087,0.99789,0.99966,1.0334,1.01158,1.00455,1.00532
0.00145,0.98756,0.99591,0.99532,0.99735,1.01328,1.00387,0.99956,1.00261
0.00212,0.98457,0.99436,0.99452,0.99663,1.00616,1.0013,0.99799,1.00177
0.0029,0.98113,0.99258,0.9936,0.9958,0.99955,0.99816,0.9962,1.0008
0.00936,0.95293,0.97769,0.98584,0.98886,0.95208,0.97914,0.98265,0.99272
0.0108,0.94675,0.97433,0.98407,0.9873,0.94567,0.97564,0.98007,0.99092
0.01213,0.94109,0.9712,0.98244,0.98585,0.93993,0.9725,0.97783,0.98926
0.0159,0.92546,0.96228,0.97773,0.9817,0.92441,0.96394,0.97216,0.98457
0.01664,0.92247,0.9605,0.9768,0.98088,0.92146,0.9623,0.97115,0.98365
0.02099,0.90542,0.94993,0.97114,0.97594,0.90455,0.95283,0.96565,0.97825
0.02606,0.88676,0.93751,0.96423,0.96981,0.88566,0.94209,0.95981,0.97197
0.02666,0.88463,0.93604,0.96339,0.96903,0.88348,0.94084,0.95914,0.97123
0.03107,0.86939,0.92544,0.95718,0.96273,0.86773,0.93172,0.95427,0.96581
0.04126,0.83493,0.90199,0.94304,0.9485,0.8331,0.91115,0.94298,0.95343
0.04415,0.82486,0.89555,0.93918,0.94506,0.82368,0.90542,0.9397,0.94996
0.04687,0.81495,0.88957,0.93561,0.94192,0.81495,0.90006,0.93658,0.9467
0.04857,0.8084,0.88586,0.93341,0.93999,0.80957,0.89673,0.93461,0.94468
0.04914,0.80611,0.88461,0.93267,0.93934,0.80776,0.8956,0.93394,0.94399
0.04922,0.80583,0.88445,0.93257,0.93926,0.80754,0.89546,0.93385,0.94391
0.05285,0.79071,0.87662,0.92793,0.93524,0.79626,0.88839,0.92957,0.93962
0.05985,0.76392,0.86173,0.91914,0.92769,0.77523,0.87492,0.92119,0.93145
0.06939,0.73657,0.84155,0.90734,0.91773,0.74799,0.85689,0.90965,0.92056
0.07674,0.71663,0.82598,0.89831,0.91031,0.72811,0.84326,0.90077,0.91236
0.0779,0.71333,0.82354,0.89688,0.90916,0.72504,0.84112,0.89937,0.91107
0.07817,0.71256,0.82298,0.89656,0.9089,0.72435,0.84063,0.89905,0.91078
0.09035,0.6752,0.7985,0.88164,0.89727,0.69383,0.81861,0.88455,0.89757
0.09306,0.66762,0.79336,0.87835,0.89475,0.6874,0.8138,0.88137,0.89468
0.1057,0.63821,0.7705,0.86328,0.88278,0.65921,0.79182,0.86685,0.88147
