x,0.005,0.015,0.05,SS,SS-1,SS-2,SS-3,SS-4
-0.00192,1.005708,1.007814,1.004391,1.000709,1.012432,1.005577,1.001659,1.002426
-0.00074,1.000795,1.004589,1.002962,0.99922,1.006621,1.003307,1.000495,1.000891
-0.00074,1.000793,1.004588,1.002961,0.99922,1.006619,1.003306,1.000495,1.000891
-6e-05,0.997968,1.002734,1.002144,0.998364,1.003172,1.002011,0.999827,1.000007
3e-06,0.997707,1.002563,1.002069,0.998285,1.002852,1.001892,0.999765,0.999926
0.00023,0.99676,1.001942,1.001795,0.997998,1.001688,1.001459,0.99954,0.99963
0.00071,0.994759,1.000633,1.001217,0.997393,0.999235,1.000544,0.999064,0.999006
0.00077,0.994515,1.000473,1.001146,0.997319,0.998937,1.000432,0.999005,0.99893
0.00648,0.970103,0.984848,0.99392,0.990134,0.972279,0.988954,0.992677,0.991517
0.0092,0.95801,0.977298,0.990143,0.986729,0.960552,0.983047,0.989129,0.988005
0.0113,0.948709,0.971365,0.987066,0.984095,0.951629,0.978321,0.986162,0.985293
0.01381,0.938021,0.964452,0.98326,0.980968,0.941134,0.972569,0.982419,0.982078
0.01426,0.936169,0.963248,0.982562,0.980408,0.939266,0.971526,0.981728,0.981503
0.01515,0.932559,0.96089,0.981164,0.979295,0.935563,0.969442,0.980335,0.980362
0.01517,0.93246,0.960825,0.981125,0.979265,0.935461,0.969385,0.980296,0.98033
0.01763,0.922997,0.954595,0.97722,0.976222,0.925392,0.963632,0.976399,0.977216
0.02382,0.897995,0.939807,0.967133,0.968604,0.900503,0.949049,0.96644,0.969495
0.02995,0.86702,0.925681,0.957119,0.961223,0.876646,0.934767,0.956844,0.962252
0.03104,0.862834,0.923185,0.955348,0.959932,0.872476,0.932248,0.955179,0.961039
0.03119,0.862301,0.922839,0.955104,0.959754,0.871901,0.9319,0.95495,0.960875
0.03219,0.858976,0.920543,0.95348,0.958573,0.868084,0.92959,0.953431,0.959797
0.04165,0.831847,0.898957,0.938616,0.947819,0.833066,0.908198,0.939759,0.951022
0.04258,0.828485,0.896832,0.937208,0.946794,0.829699,0.906124,0.93847,0.95016
0.04744,0.807148,0.885836,0.930135,0.94157,0.81248,0.895473,0.931955,0.945394
0.0481,0.804037,0.88433,0.929193,0.940862,0.810146,0.894023,0.931082,0.944705
0.04831,0.803107,0.883875,0.92891,0.940649,0.809443,0.893586,0.930819,0.944495
0.04852,0.802146,0.883403,0.928616,0.940427,0.808712,0.893132,0.930546,0.944276
0.05056,0.79326,0.878812,0.925792,0.938278,0.80164,0.888725,0.927914,0.942111
0.05145,0.789704,0.876814,0.924577,0.937343,0.798574,0.88681,0.926777,0.941147
0.05248,0.785816,0.874521,0.923191,0.936267,0.79506,0.88461,0.925476,0.940023
0.06068,0.758995,0.856778,0.912601,0.927688,0.767885,0.867389,0.915409,0.93078
0.06156,0.756312,0.85495,0.911508,0.926766,0.765078,0.865585,0.914363,0.929776
0.06912,0.733073,0.839426,0.902209,0.918672,0.741561,0.85023,0.905463,0.921037
0.07065,0.728406,0.836318,0.90035,0.91701,0.736981,0.847183,0.903694,0.919265
0.07245,0.722938,0.832669,0.898173,0.91505,0.731682,0.84363,0.90163,0.917185
0.07678,0.709755,0.823815,0.89292,0.910284,0.719222,0.835153,0.896683,0.912165
0.08415,0.687356,0.808425,0.883988,0.902126,0.699108,0.821044,0.888364,0.903648
0.09079,0.667646,0.79417,0.875947,0.894792,0.682189,0.808677,0.880947,0.896033
0.09334,0.660869,0.788595,0.872853,0.891984,0.675982,0.804004,0.878106,0.893123
0.09792,0.650436,0.778616,0.867303,0.886983,0.665269,0.795738,0.873022,0.887934
0.10383,0.638685,0.766164,0.860134,0.88063,0.652235,0.785284,0.866469,0.881307
0.10484,0.636749,0.764107,0.858903,0.879557,0.650088,0.783514,0.865345,0.880178
0.10686,0.632925,0.760092,0.856447,0.877435,0.645885,0.780007,0.863103,0.877936
0.10737,0.631974,0.759106,0.855833,0.876909,0.644849,0.779134,0.862542,0.877377
0.11003,0.626994,0.754045,0.852598,0.874161,0.639506,0.774568,0.859588,0.874447
0.11054,0.626049,0.753104,0.851981,0.873642,0.638508,0.773704,0.859025,0.873892
0.11267,0.622073,0.749218,0.849381,0.871473,0.634368,0.770081,0.856651,0.871558
0.12074,0.607046,0.735477,0.83954,0.863493,0.619653,0.756652,0.847671,0.862864
0.12556,0.597968,0.727789,0.833704,0.858869,0.61154,0.748845,0.842322,0.857778
0.13133,0.586735,0.718772,0.826792,0.85341,0.602398,0.739657,0.835915,0.851764
0.13783,0.574794,0.708714,0.819239,0.847365,0.59286,0.729575,0.828747,0.84513
0.14376,0.566718,0.69943,0.812599,0.841897,0.584799,0.720597,0.822248,0.839189
0.14516,0.565144,0.697194,0.811065,0.840609,0.582978,0.718505,0.820718,0.8378
0.15319,0.557298,0.684052,0.802496,0.833254,0.573166,0.706756,0.812023,0.829966
0.16353,0.548516,0.668296,0.791776,0.823803,0.561979,0.692197,0.801,0.820161
0.17912,0.536877,0.649208,0.775819,0.809535,0.548,0.671504,0.784853,0.805981
0.1847,0.533186,0.642602,0.770076,0.804396,0.543791,0.66447,0.779225,0.801072
0.18745,0.531471,0.639285,0.76724,0.801849,0.541861,0.661071,0.776478,0.79868
0.18772,0.531305,0.638953,0.766959,0.801596,0.541675,0.660736,0.776206,0.798443
0.18792,0.531186,0.638714,0.766757,0.801414,0.541542,0.660496,0.776011,0.798274
0.18797,0.531157,0.638655,0.766707,0.801369,0.541509,0.660437,0.775963,0.798232
0.18797,0.531155,0.638652,0.766705,0.801367,0.541507,0.660434,0.775961,0.79823
0.18895,0.530565,0.63745,0.765692,0.800453,0.540847,0.659233,0.774984,0.79738
0.21844,0.517373,0.603206,0.736532,0.773361,0.525981,0.626216,0.746963,0.77301
0.21929,0.517116,0.602387,0.735736,0.772618,0.525673,0.62535,0.74619,0.772336
0.22058,0.516739,0.601173,0.734536,0.7715,0.525216,0.624047,0.745022,0.771318
0.24312,0.512249,0.583602,0.714262,0.753407,0.519022,0.602972,0.72526,0.753999
0.25063,0.511379,0.578485,0.707744,0.74799,0.517575,0.596677,0.718961,0.748431
0.26621,0.510039,0.567749,0.694533,0.73736,0.515256,0.584758,0.706357,0.737192
0.27546,0.509414,0.561549,0.686875,0.731282,0.514192,0.578385,0.699162,0.730705
0.28162,0.509042,0.557638,0.681865,0.727293,0.513567,0.574426,0.694491,0.726462
0.2817,0.509038,0.557591,0.681803,0.727243,0.513559,0.574378,0.694434,0.726409
