x,0.005,0.015,0.05,SS,SS-1,SS-2,SS-3,SS-4
-0.00184,1.007047,1.001876,1.000189,1.000215,1.015913,1.004295,1.004477,1.004043
-0.00132,1.004727,1.000515,0.999396,0.999536,1.013124,1.003056,1.003569,1.003304
-0.00131,1.004725,1.000513,0.999396,0.999535,1.013122,1.003055,1.003568,1.003303
-0.00079,1.002411,0.999154,0.998605,0.998858,1.010255,1.00182,1.002661,1.002562
-0.00033,1.000411,0.99798,0.997921,0.998273,1.007708,1.000752,1.001876,1.001921
-0.00026,1.000093,0.997792,0.997812,0.998179,1.007296,1.000581,1.001751,1.001819
0.00027,0.997772,0.996429,0.997019,0.9975,1.004254,0.999341,1.00084,1.001075
0.0008,0.995454,0.995068,0.996227,0.996821,1.001166,0.998099,0.99993,1.000333
0.01138,0.947519,0.967892,0.98034,0.983214,0.949266,0.972143,0.982104,0.98638
0.01166,0.946125,0.967162,0.979909,0.982846,0.948006,0.97142,0.981642,0.986028
0.01242,0.94238,0.96523,0.97877,0.981871,0.944683,0.969499,0.980424,0.985098
0.01453,0.931748,0.959894,0.97561,0.979166,0.935571,0.96416,0.977099,0.982552
0.01823,0.913958,0.950604,0.970055,0.974413,0.919885,0.954801,0.971453,0.978163
0.01876,0.911656,0.949294,0.969264,0.973737,0.917685,0.953478,0.97067,0.977544
0.02035,0.905048,0.945342,0.966866,0.971687,0.911056,0.949478,0.968326,0.975671
0.021,0.902531,0.943762,0.9659,0.970861,0.908405,0.947876,0.967393,0.974919
0.02404,0.891393,0.936371,0.961331,0.966972,0.896013,0.940361,0.963061,0.971366
0.03499,0.853177,0.910437,0.944888,0.953332,0.853244,0.914326,0.948099,0.958557
0.03568,0.850512,0.908778,0.943848,0.952495,0.85063,0.912735,0.94717,0.957743
0.04199,0.823091,0.893243,0.934335,0.944999,0.827213,0.898488,0.93872,0.950262
0.04498,0.810406,0.88579,0.929822,0.941544,0.816407,0.891921,0.93473,0.946694
