x,0.005,0.015,SS,SS-1,SS-2,SS-3
4.85425e-07,1.000386,1.007663,1.007811,1.049469,1.016485,1.012614
0.00195,0.992352,0.998405,0.999798,1.025913,1.008517,1.000843
0.00218,0.99139,0.997311,0.998852,1.021886,1.007608,0.999424
0.00218,0.991382,0.997302,0.998844,1.021854,1.0076,0.999412
0.00368,0.985005,0.990191,0.992692,1.000377,1.001819,0.990359
0.00432,0.982185,0.98714,0.99005,0.977132,0.999382,0.986644
0.00874,0.960584,0.966123,0.971792,0.942669,0.981859,0.964115
0.01057,0.950222,0.957407,0.964156,0.93229,0.973944,0.955874
0.0116,0.944149,0.952531,0.959853,0.926822,0.969377,0.951441
0.01375,0.93104,0.942283,0.950674,0.915839,0.959506,0.942419
0.01508,0.922896,0.936008,0.944863,0.90932,0.953264,0.937012
0.01613,0.916517,0.931098,0.940135,0.904276,0.94826,0.932813
0.0181,0.904939,0.922102,0.930892,0.895082,0.938817,0.925153
0.02151,0.886327,0.907138,0.913926,0.879726,0.922564,0.912405
0.02152,0.886283,0.907102,0.913885,0.879689,0.922525,0.912374
0.02871,0.851998,0.878509,0.884667,0.849301,0.890363,0.887587
0.03045,0.844411,0.872238,0.87892,0.842272,0.883098,0.881966
0.03541,0.823797,0.855916,0.863935,0.822885,0.863588,0.866713
0.03933,0.808331,0.844553,0.852895,0.808142,0.84934,0.855374
0.04652,0.782053,0.8255,0.833816,0.782464,0.82586,0.836178
0.04784,0.777278,0.82205,0.830457,0.777947,0.821913,0.832875
0.04827,0.77571,0.820912,0.829365,0.77648,0.820643,0.831807
0.04842,0.775172,0.820521,0.828992,0.775979,0.820211,0.831443
0.04843,0.775121,0.820483,0.828956,0.775931,0.82017,0.831408
0.05131,0.764647,0.812668,0.821808,0.766306,0.81199,0.824459
0.05809,0.740318,0.792572,0.806084,0.744623,0.794279,0.809079
0.06571,0.715126,0.771566,0.790445,0.721951,0.776489,0.793252
0.06872,0.706301,0.764489,0.784752,0.713477,0.769963,0.787371
0.07154,0.698581,0.758323,0.779598,0.705762,0.764058,0.782021
0.08809,0.658293,0.727088,0.751849,0.664973,0.732962,0.753586
0.08845,0.657423,0.726464,0.751282,0.664166,0.732342,0.753017
0.0991,0.632303,0.708706,0.735139,0.641764,0.71491,0.737062
0.10106,0.628612,0.705585,0.732297,0.637935,0.711872,0.734294
0.10753,0.617548,0.695651,0.723244,0.625942,0.702199,0.725529
0.10841,0.61606,0.694334,0.722045,0.624374,0.700914,0.724371
0.10923,0.614677,0.693125,0.720945,0.622938,0.699732,0.723308
0.11257,0.608921,0.688294,0.716556,0.617234,0.694993,0.719059
0.11894,0.597479,0.67954,0.708629,0.606998,0.686297,0.711324
0.12887,0.58148,0.667069,0.697435,0.592572,0.673566,0.700138
0.1379,0.572024,0.656623,0.688427,0.580928,0.6628,0.690801
0.14958,0.562346,0.643726,0.678154,0.567735,0.649905,0.679759
0.15329,0.559183,0.639658,0.675137,0.563946,0.646026,0.676467
0.18621,0.533721,0.60846,0.651606,0.537981,0.615725,0.651192
0.18735,0.533026,0.6076,0.65086,0.537308,0.614793,0.650426
0.18745,0.532968,0.607527,0.650797,0.537251,0.614714,0.650361
0.18907,0.532008,0.606319,0.649736,0.536312,0.613394,0.649278
0.18942,0.531805,0.60606,0.649507,0.536113,0.61311,0.649046
0.20558,0.52435,0.595168,0.639308,0.528228,0.600731,0.638953
0.23809,0.516716,0.576952,0.620715,0.518208,0.579342,0.621578
0.24599,0.515536,0.572972,0.616621,0.516612,0.574785,0.61783
0.28392,0.511367,0.555736,0.599436,0.51154,0.556257,0.601857
0.28466,0.511306,0.555432,0.59914,0.511468,0.555952,0.601575
0.28477,0.511297,0.555385,0.599094,0.511457,0.555905,0.601532
0.30435,0.509929,0.547753,0.591694,0.509716,0.548537,0.594374
0.30679,0.50979,0.54687,0.590836,0.509522,0.547715,0.593527
0.31171,0.509529,0.545138,0.589146,0.509144,0.546117,0.591845
0.37307,0.507597,0.530384,0.573329,0.505771,0.532048,0.574091
0.38255,0.507387,0.529113,0.571445,0.50543,0.530624,0.571841
0.38757,0.507274,0.528511,0.570473,0.505266,0.529928,0.570699
0.3892,0.507237,0.528324,0.570161,0.505214,0.529709,0.570334
0.39307,0.507148,0.527897,0.569425,0.505097,0.529205,0.569483
0.41888,0.506566,0.525468,0.564703,0.504463,0.526322,0.564271
0.46358,0.50581,0.522069,0.557043,0.503841,0.522774,0.556691
0.47675,0.505709,0.521179,0.554888,0.503736,0.521975,0.554712
0.49991,0.505618,0.51971,0.551227,0.503596,0.52075,0.551422
