y,z,theta
0.00000000,0.00000000,7.500000000000e-01
0.01612903,0.00000000,5.000000000000e-01
0.04838710,0.00000000,5.000000000000e-01
0.08064516,0.00000000,5.000000000000e-01
0.11290323,0.00000000,5.000000000000e-01
0.14516129,0.00000000,5.000000000000e-01
0.17741935,0.00000000,5.000000000000e-01
0.20967742,0.00000000,5.000000000000e-01
0.24193548,0.00000000,5.000000000000e-01
0.27419355,0.00000000,5.000000000000e-01
0.30645161,0.00000000,5.000000000000e-01
0.33870968,0.00000000,5.000000000000e-01
0.37096774,0.00000000,5.000000000000e-01
0.40322581,0.00000000,5.000000000000e-01
0.43548387,0.00000000,5.000000000000e-01
0.46774194,0.00000000,5.000000000000e-01
0.50000000,0.00000000,5.000000000000e-01
0.53225806,0.00000000,5.000000000000e-01
0.56451613,0.00000000,5.000000000000e-01
0.59677419,0.00000000,5.000000000000e-01
0.62903226,0.00000000,5.000000000000e-01
0.66129032,0.00000000,5.000000000000e-01
0.69354839,0.00000000,5.000000000000e-01
0.72580645,0.00000000,5.000000000000e-01
0.75806452,0.00000000,5.000000000000e-01
0.79032258,0.00000000,5.000000000000e-01
0.82258065,0.00000000,5.000000000000e-01
0.85483871,0.00000000,5.000000000000e-01
0.88709677,0.00000000,5.000000000000e-01
0.91935484,0.00000000,5.000000000000e-01
0.95161290,0.00000000,5.000000000000e-01
0.98387097,0.00000000,5.000000000000e-01
1.00000000,0.00000000,5.000000000000e-01
0.00000000,0.01612903,1.000000000000e+00
0.01612903,0.01612903,7.590384138805e-01
0.04838710,0.01612903,6.879268927932e-01
0.08064516,0.01612903,6.410699209713e-01
0.11290323,0.01612903,6.109512490658e-01
0.14516129,0.01612903,5.910050800649e-01
0.17741935,0.01612903,5.772714191863e-01
0.20967742,0.01612903,5.673792794599e-01
0.24193548,0.01612903,5.599021580860e-01
0.27419355,0.01612903,5.539807985649e-01
0.30645161,0.01612903,5.490972270476e-01
0.33870968,0.01612903,5.449372433066e-01
0.37096774,0.01612903,5.413068621539e-01
0.40322581,0.01612903,5.380823397321e-01
0.43548387,0.01612903,5.351809888729e-01
0.46774194,0.01612903,5.325445452201e-01
0.50000000,0.01612903,5.301298273126e-01
0.53225806,0.01612903,5.279034392436e-01
0.56451613,0.01612903,5.258385985077e-01
0.59677419,0.01612903,5.239130190598e-01
0.62903226,0.01612903,5.221073259592e-01
0.66129032,0.01612903,5.204036700541e-01
0.69354839,0.01612903,5.187847463432e-01
0.72580645,0.01612903,5.172323305778e-01
0.75806452,0.01612903,5.157277704865e-01
0.79032258,0.01612903,5.142464615803e-01
0.82258065,0.01612903,5.127574184038e-01
0.85483871,0.01612903,5.112259680600e-01
0.88709677,0.01612903,5.096069398450e-01
0.91935484,0.01612903,5.078433512688e-01
0.95161290,0.01612903,5.058969754319e-01
0.98387097,0.01612903,5.037829740699e-01
1.00000000,0.01612903,5.000000000000e-01
0.00000000,0.04838710,1.000000000000e+00
0.01612903,0.04838710,8.318803746716e-01
0.04838710,0.04838710,7.632339826502e-01
0.08064516,0.04838710,7.077199901560e-01
0.11290323,0.04838710,6.713456257111e-01
0.14516129,0.04838710,6.462427223844e-01
0.17741935,0.04838710,6.280198612703e-01
0.20967742,0.04838710,6.141458585622e-01
0.24193548,0.04838710,6.030984520646e-01
0.27419355,0.04838710,5.939487561214e-01
0.30645161,0.04838710,5.861263429836e-01
0.33870968,0.04838710,5.792771780911e-01
0.37096774,0.04838710,5.731762921422e-01
0.40322581,0.04838710,5.676748447904e-01
0.43548387,0.04838710,5.626689219977e-01
0.46774194,0.04838710,5.580816786064e-01
0.50000000,0.04838710,5.538532871869e-01
0.53225806,0.04838710,5.499351764537e-01
0.56451613,0.04838710,5.462864628181e-01
0.59677419,0.04838710,5.428713821119e-01
0.62903226,0.04838710,5.396572167525e-01
0.66129032,0.04838710,5.366121586762e-01
0.69354839,0.04838710,5.337040804021e-01
0.72580645,0.04838710,5.308977323991e-01
0.75806452,0.04838710,5.281596546588e-01
0.79032258,0.04838710,5.254435280626e-01
0.82258065,0.04838710,5.226811546300e-01
0.85483871,0.04838710,5.198060896831e-01
0.88709677,0.04838710,5.167205062047e-01
0.91935484,0.04838710,5.132893601366e-01
0.95161290,0.04838710,5.095081531472e-01
0.98387097,0.04838710,5.056994561709e-01
1.00000000,0.04838710,5.000000000000e-01
0.00000000,0.08064516,1.000000000000e+00
0.01612903,0.08064516,8.756479242782e-01
0.04838710,0.08064516,8.195322669771e-01
0.08064516,0.08064516,7.661123116173e-01
0.11290323,0.08064516,7.268771869664e-01
0.14516129,0.08064516,6.979188975589e-01
0.17741935,0.08064516,6.758273229491e-01
0.20967742,0.08064516,6.583484885988e-01
0.24193548,0.08064516,6.440171257172e-01
0.27419355,0.08064516,6.318876082978e-01
0.30645161,0.08064516,6.213528435620e-01
0.33870968,0.08064516,6.120217962110e-01
0.37096774,0.08064516,6.036379372227e-01
0.40322581,0.08064516,5.960268070241e-01
0.43548387,0.08064516,5.890636966220e-01
0.46774194,0.08064516,5.826544807083e-01
0.50000000,0.08064516,5.767244854153e-01
0.53225806,0.08064516,5.712119054344e-01
0.56451613,0.08064516,5.660635895442e-01
0.59677419,0.08064516,5.612319119692e-01
0.62903226,0.08064516,5.566721802892e-01
0.66129032,0.08064516,5.523399010251e-01
0.69354839,0.08064516,5.481893259257e-01
0.72580645,0.08064516,5.441695906842e-01
0.75806452,0.08064516,5.402342975093e-01
0.79032258,0.08064516,5.363102702119e-01
0.82258065,0.08064516,5.323043074288e-01
0.85483871,0.08064516,5.281183850306e-01
0.88709677,0.08064516,5.236112210387e-01
0.91935484,0.08064516,5.185887971462e-01
0.95161290,0.08064516,5.130856952848e-01
0.98387097,0.08064516,5.074577184580e-01
1.00000000,0.08064516,5.000000000000e-01
