y,z,theta
0.00000000,0.00000000,7.500000000000e-01
0.01612903,0.00000000,5.000000000000e-01
0.04838710,0.00000000,5.000000000000e-01
0.08064516,0.00000000,5.000000000000e-01
0.11290323,0.00000000,5.000000000000e-01
0.14516129,0.00000000,5.000000000000e-01
0.17741935,0.00000000,5.000000000000e-01
0.20967742,0.00000000,5.000000000000e-01
0.24193548,0.00000000,5.000000000000e-01
0.27419355,0.00000000,5.000000000000e-01
0.30645161,0.00000000,5.000000000000e-01
0.33870968,0.00000000,5.000000000000e-01
0.37096774,0.00000000,5.000000000000e-01
0.40322581,0.00000000,5.000000000000e-01
0.43548387,0.00000000,5.000000000000e-01
0.46774194,0.00000000,5.000000000000e-01
0.50000000,0.00000000,5.000000000000e-01
0.53225806,0.00000000,5.000000000000e-01
0.56451613,0.00000000,5.000000000000e-01
0.59677419,0.00000000,5.000000000000e-01
0.62903226,0.00000000,5.000000000000e-01
0.66129032,0.00000000,5.000000000000e-01
0.69354839,0.00000000,5.000000000000e-01
0.72580645,0.00000000,5.000000000000e-01
0.75806452,0.00000000,5.000000000000e-01
0.79032258,0.00000000,5.000000000000e-01
0.82258065,0.00000000,5.000000000000e-01
0.85483871,0.00000000,5.000000000000e-01
0.88709677,0.00000000,5.000000000000e-01
0.91935484,0.00000000,5.000000000000e-01
0.95161290,0.00000000,5.000000000000e-01
0.98387097,0.00000000,5.000000000000e-01
1.00000000,0.00000000,5.000000000000e-01
0.00000000,0.01612903,1.000000000000e+00
0.01612903,0.01612903,7.580433514472e-01
0.04838710,0.01612903,6.862181352677e-01
0.08064516,0.01612903,6.383355716824e-01
0.11290323,0.01612903,6.072325409512e-01
0.14516129,0.01612903,5.863684167681e-01
0.17741935,0.01612903,5.718089804704e-01
0.20967742,0.01612903,5.612058084980e-01
0.24193548,0.01612903,5.531473804361e-01
0.27419355,0.01612903,5.467804257775e-01
0.30645161,0.01612903,5.415845604447e-01
0.33870968,0.01612903,5.372365784097e-01
0.37096774,0.01612903,5.335291747988e-01
0.40322581,0.01612903,5.303231958443e-01
0.43548387,0.01612903,5.275202938222e-01
0.46774194,0.01612903,5.250476142909e-01
0.50000000,0.01612903,5.228492646645e-01
0.53225806,0.01612903,5.208813991400e-01
0.56451613,0.01612903,5.191091185328e-01
0.59677419,0.01612903,5.175042314341e-01
0.62903226,0.01612903,5.160434176218e-01
0.66129032,0.01612903,5.147065946998e-01
0.69354839,0.01612903,5.134754059807e-01
0.72580645,0.01612903,5.123318405423e-01
0.75806452,0.01612903,5.112569191295e-01
0.79032258,0.01612903,5.102296319945e-01
0.82258065,0.01612903,5.092244392168e-01
0.85483871,0.01612903,5.082035454153e-01
0.88709677,0.01612903,5.071251532181e-01
0.91935484,0.01612903,5.059321716102e-01
0.95161290,0.01612903,5.045671132638e-01
0.98387097,0.01612903,5.030346993829e-01
1.00000000,0.01612903,5.000000000000e-01
0.00000000,0.04838710,1.000000000000e+00
0.01612903,0.04838710,8.301489578668e-01
0.04838710,0.04838710,7.600124248842e-01
0.08064516,0.04838710,7.024084471376e-01
0.11290323,0.04838710,6.641434645761e-01
0.14516129,0.04838710,6.372060778772e-01
0.17741935,0.04838710,6.172890255491e-01
0.20967742,0.04838710,6.019267692064e-01
0.24193548,0.04838710,5.896416837908e-01
0.27419355,0.04838710,5.795266569452e-01
0.30645161,0.04838710,5.710123107887e-01
0.33870968,0.04838710,5.637294772465e-01
0.37096774,0.04838710,5.574273412311e-01
0.40322581,0.04838710,5.519257559431e-01
0.43548387,0.04838710,5.470883595605e-01
0.46774194,0.04838710,5.428078143514e-01
0.50000000,0.04838710,5.389976549031e-01
0.53225806,0.04838710,5.355874400877e-01
0.56451613,0.04838710,5.325193862231e-01
0.59677419,0.04838710,5.297455751409e-01
0.62903226,0.04838710,5.272253499167e-01
0.66129032,0.04838710,5.249227551577e-01
0.69354839,0.04838710,5.228039624015e-01
0.72580645,0.04838710,5.208348544825e-01
0.75806452,0.04838710,5.189788097694e-01
0.79032258,0.04838710,5.171976778347e-01
0.82258065,0.04838710,5.154467961952e-01
0.85483871,0.04838710,5.136415231758e-01
0.88709677,0.04838710,5.117031151975e-01
0.91935484,0.04838710,5.095040404814e-01
0.95161290,0.04838710,5.069618186993e-01
0.98387097,0.04838710,5.043803368828e-01
1.00000000,0.04838710,5.000000000000e-01
0.00000000,0.08064516,1.000000000000e+00
0.01612903,0.08064516,8.734799031223e-01
0.04838710,0.08064516,8.151985597778e-01
0.08064516,0.08064516,7.589394454803e-01
0.11290323,0.08064516,7.168303703437e-01
0.14516129,0.08064516,6.850902410193e-01
0.17741935,0.08064516,6.604129264066e-01
0.20967742,0.08064516,6.406436912342e-01
0.24193548,0.08064516,6.243878605215e-01
0.27419355,0.08064516,6.107369299624e-01
0.30645161,0.08064516,5.990895734767e-01
0.33870968,0.08064516,5.890354385034e-01
0.37096774,0.08064516,5.802816301214e-01
0.40322581,0.08064516,5.726082083203e-01
0.43548387,0.08064516,5.658425231869e-01
0.46774194,0.08064516,5.598449034946e-01
0.50000000,0.08064516,5.545005712458e-01
0.53225806,0.08064516,5.497145887748e-01
0.56451613,0.08064516,5.454080667220e-01
0.59677419,0.08064516,5.415147731589e-01
0.62903226,0.08064516,5.379777987898e-01
0.66129032,0.08064516,5.347461811677e-01
0.69354839,0.08064516,5.317713970786e-01
0.72580645,0.08064516,5.290041994425e-01
0.75806452,0.08064516,5.263913408748e-01
0.79032258,0.08064516,5.238788057519e-01
0.82258065,0.08064516,5.213995872738e-01
0.85483871,0.08064516,5.188340440250e-01
0.88709677,0.08064516,5.160692507204e-01
0.91935484,0.08064516,5.129237018465e-01
0.95161290,0.08064516,5.093133801688e-01
0.98387097,0.08064516,5.055675079183e-01
1.00000000,0.08064516,5.000000000000e-01
