y,0.005,0.015,0.05,ss
0.00000000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.02500000,8.667855709425e-01,9.290070347315e-01,9.541859210521e-01,9.574473045914e-01
0.05000000,7.914276389674e-01,8.836590930572e-01,9.259601158001e-01,9.316064294013e-01
0.07500000,7.202559144994e-01,8.378190206990e-01,8.970307176125e-01,9.051873392600e-01
0.10000000,6.614812478440e-01,7.932367759533e-01,8.684024886926e-01,8.791308313963e-01
0.12500000,6.149118680504e-01,7.514845763439e-01,8.407583231763e-01,8.540620896629e-01
0.15000000,5.801224855590e-01,7.134387244224e-01,8.144409277967e-01,8.302807040033e-01
0.17500000,5.562409659019e-01,6.798885267599e-01,7.896685307994e-01,8.079432443574e-01
0.20000000,5.408224427014e-01,6.513624309730e-01,7.665842844501e-01,7.871356688377e-01
0.22500000,5.299908762549e-01,6.265864835187e-01,7.448000283677e-01,7.674745078144e-01
0.25000000,5.226470545164e-01,6.053525916372e-01,7.242969073003e-01,7.489230348991e-01
0.27500000,5.178125650666e-01,5.874266599749e-01,7.050555820669e-01,7.314449523002e-01
0.30000000,5.149636325684e-01,5.733879226150e-01,6.874857016618e-01,7.153513202177e-01
0.32500000,5.129439966824e-01,5.618014568487e-01,6.711494797823e-01,7.002545665612e-01
0.35000000,5.114801343849e-01,5.522539025204e-01,6.559583867465e-01,6.860710311909e-01
0.37500000,5.103912002705e-01,5.444727015775e-01,6.418779645666e-01,6.727628861351e-01
0.40000000,5.095639414775e-01,5.383881274781e-01,6.290518114094e-01,6.604298669990e-01
0.42500000,5.088844875705e-01,5.336248158867e-01,6.174400536304e-01,6.490281469084e-01
0.45000000,5.082847850143e-01,5.297030038349e-01,6.067541016979e-01,6.383307857208e-01
0.47500000,5.077458506615e-01,5.264800416416e-01,5.969463585680e-01,6.282987144900e-01
0.50000000,5.072533229133e-01,5.238253390624e-01,5.879685203494e-01,6.188929868520e-01
0.52500000,5.068088999755e-01,5.217397875307e-01,5.800424889185e-01,6.102791642302e-01
0.55000000,5.063918999708e-01,5.199393016171e-01,5.727796610087e-01,6.021652166349e-01
0.57500000,5.059998824235e-01,5.183741626704e-01,5.661319147067e-01,5.945159827983e-01
0.60000000,5.056306381367e-01,5.169992377144e-01,5.600516644109e-01,5.872967976714e-01
0.62500000,5.052864730388e-01,5.157985956960e-01,5.545890747890e-01,5.805483905109e-01
0.65000000,5.049638553703e-01,5.147168866264e-01,5.496329188800e-01,5.741893658880e-01
0.67500000,5.046579853069e-01,5.137125837163e-01,5.450506303581e-01,5.681197977273e-01
0.70000000,5.043677022039e-01,5.127706250880e-01,5.408019647121e-01,5.623098673829e-01
0.72500000,5.040923900994e-01,5.118787879663e-01,5.368578665632e-01,5.567383574077e-01
0.75000000,5.038333325405e-01,5.110258035509e-01,5.332254522407e-01,5.514120153796e-01
0.77500000,5.035831232567e-01,5.101891039763e-01,5.297658424507e-01,5.462214566356e-01
0.80000000,5.033397478226e-01,5.093540988407e-01,5.264460782832e-01,5.411395434136e-01
0.82500000,5.031004333989e-01,5.085066481853e-01,5.232344128672e-01,5.361403161528e-01
0.85000000,5.028564854710e-01,5.076234827317e-01,5.201079824708e-01,5.312052886174e-01
0.87500000,5.025934660740e-01,5.066815805978e-01,5.170044137769e-01,5.262734416325e-01
0.90000000,5.022991890852e-01,5.056670049204e-01,5.138851421151e-01,5.213330889783e-01
0.92500000,5.019606584096e-01,5.045777908205e-01,5.107676751333e-01,5.164290008802e-01
0.95000000,5.015561593626e-01,5.034209559376e-01,5.077245056219e-01,5.116790416214e-01
0.97500000,5.011247696962e-01,5.022415775345e-01,5.047468421517e-01,5.070589241979e-01
1.00000000,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01
