y,0.005,0.015,0.05,ss
0.00000000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.02500000,8.652906428159e-01,9.274719414083e-01,9.533687453016e-01,9.571549382438e-01
0.05000000,7.892127580061e-01,8.810511753933e-01,9.243640361195e-01,9.308753057667e-01
0.07500000,7.173963944547e-01,8.341246578083e-01,8.945567884868e-01,9.039200840728e-01
0.10000000,6.581423460061e-01,7.884956267054e-01,8.649854583473e-01,8.772532307257e-01
0.12500000,6.112319671537e-01,7.457851363911e-01,8.363505862607e-01,8.515060070270e-01
0.15000000,5.762237253883e-01,7.068990840875e-01,8.090161461827e-01,8.269922228260e-01
0.17500000,5.522314502659e-01,6.726588246891e-01,7.832439559899e-01,8.039043378045e-01
0.20000000,5.367847298891e-01,6.436113310817e-01,7.592106321201e-01,7.823541594247e-01
0.22500000,5.259705544450e-01,6.184381917604e-01,7.365337934761e-01,7.619718178606e-01
0.25000000,5.186796552248e-01,5.969229170269e-01,7.152034852955e-01,7.427291387076e-01
0.27500000,5.139247377399e-01,5.788220897795e-01,6.952082964374e-01,7.245976362131e-01
0.30000000,5.111783457225e-01,5.647301555235e-01,6.769960395486e-01,7.079148276067e-01
0.32500000,5.092718113740e-01,5.531649103678e-01,6.601076599032e-01,6.922850543423e-01
0.35000000,5.079283272507e-01,5.436992289058e-01,6.444513323743e-01,6.776247608853e-01
0.37500000,5.069647594582e-01,5.360512934499e-01,6.299925469600e-01,6.638980132642e-01
0.40000000,5.062660535595e-01,5.301476919766e-01,6.168890476941e-01,6.512168848892e-01
0.42500000,5.057159917521e-01,5.256004740224e-01,6.051001114852e-01,6.395406989639e-01
0.45000000,5.052452395084e-01,5.219157506783e-01,5.943143224978e-01,6.286282427368e-01
0.47500000,5.048341818664e-01,5.189462619756e-01,5.844806835394e-01,6.184396821063e-01
0.50000000,5.044679059047e-01,5.165572049494e-01,5.755473521719e-01,6.089351692923e-01
0.52500000,5.041465766201e-01,5.147470521245e-01,5.677562513914e-01,6.003011215556e-01
0.55000000,5.038500438836e-01,5.132252227357e-01,5.606864821092e-01,5.922205960932e-01
0.57500000,5.035757414082e-01,5.119406195131e-01,5.542866595842e-01,5.846572204843e-01
0.60000000,5.033213587130e-01,5.108469458691e-01,5.485060816380e-01,5.775751656402e-01
0.62500000,5.030884748744e-01,5.099272781214e-01,5.434019371572e-01,5.710250156381e-01
0.65000000,5.028737486711e-01,5.091260871089e-01,5.388563423716e-01,5.649213903136e-01
0.67500000,5.026730555998e-01,5.084026809021e-01,5.347266916348e-01,5.591549196311e-01
0.70000000,5.024854342377e-01,5.077427453382e-01,5.309715322927e-01,5.536953689509e-01
0.72500000,5.023104360119e-01,5.071350653476e-01,5.275625440346e-01,5.485232602427e-01
0.75000000,5.021495682259e-01,5.065732729832e-01,5.245194755371e-01,5.436611851292e-01
0.77500000,5.019970515465e-01,5.060320343606e-01,5.216887786777e-01,5.389816761161e-01
0.80000000,5.018513610847e-01,5.055049457246e-01,5.190390893530e-01,5.344596595483e-01
0.82500000,5.017107847462e-01,5.049845367137e-01,5.165394015853e-01,5.300696314805e-01
0.85000000,5.015725163942e-01,5.044512391880e-01,5.141734732776e-01,5.257961082020e-01
0.87500000,5.014263213848e-01,5.038920142525e-01,5.118865919950e-01,5.216034665538e-01
0.90000000,5.012650611463e-01,5.032964941365e-01,5.096356947288e-01,5.174473710923e-01
0.92500000,5.010810901822e-01,5.026622268630e-01,5.074267696956e-01,5.133604178302e-01
0.95000000,5.008615629736e-01,5.019917741279e-01,5.053070656850e-01,5.094554480516e-01
0.97500000,5.006285613881e-01,5.013112434874e-01,5.032477329433e-01,5.056781363010e-01
1.00000000,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01
