y,z,theta
0.00000000,0.00000000,7.500000000000e-01
0.01612903,0.00000000,5.000000000000e-01
0.04838710,0.00000000,5.000000000000e-01
0.08064516,0.00000000,5.000000000000e-01
0.11290323,0.00000000,5.000000000000e-01
0.14516129,0.00000000,5.000000000000e-01
0.17741935,0.00000000,5.000000000000e-01
0.20967742,0.00000000,5.000000000000e-01
0.24193548,0.00000000,5.000000000000e-01
0.27419355,0.00000000,5.000000000000e-01
0.30645161,0.00000000,5.000000000000e-01
0.33870968,0.00000000,5.000000000000e-01
0.37096774,0.00000000,5.000000000000e-01
0.40322581,0.00000000,5.000000000000e-01
0.43548387,0.00000000,5.000000000000e-01
0.46774194,0.00000000,5.000000000000e-01
0.50000000,0.00000000,5.000000000000e-01
0.53225806,0.00000000,5.000000000000e-01
0.56451613,0.00000000,5.000000000000e-01
0.59677419,0.00000000,5.000000000000e-01
0.62903226,0.00000000,5.000000000000e-01
0.66129032,0.00000000,5.000000000000e-01
0.69354839,0.00000000,5.000000000000e-01
0.72580645,0.00000000,5.000000000000e-01
0.75806452,0.00000000,5.000000000000e-01
0.79032258,0.00000000,5.000000000000e-01
0.82258065,0.00000000,5.000000000000e-01
0.85483871,0.00000000,5.000000000000e-01
0.88709677,0.00000000,5.000000000000e-01
0.91935484,0.00000000,5.000000000000e-01
0.95161290,0.00000000,5.000000000000e-01
0.98387097,0.00000000,5.000000000000e-01
1.00000000,0.00000000,5.000000000000e-01
0.00000000,0.01612903,1.000000000000e+00
0.01612903,0.01612903,7.590188629366e-01
0.04838710,0.01612903,6.879629146496e-01
0.08064516,0.01612903,6.410522159064e-01
0.11290323,0.01612903,6.109005245030e-01
0.14516129,0.01612903,5.909307254241e-01
0.17741935,0.01612903,5.771782864056e-01
0.20967742,0.01612903,5.672697499297e-01
0.24193548,0.01612903,5.597773086941e-01
0.27419355,0.01612903,5.538410612482e-01
0.30645161,0.01612903,5.489427706011e-01
0.33870968,0.01612903,5.447682077363e-01
0.37096774,0.01612903,5.411235119808e-01
0.40322581,0.01612903,5.378851681120e-01
0.43548387,0.01612903,5.349707879939e-01
0.46774194,0.01612903,5.323224506882e-01
0.50000000,0.01612903,5.298973419343e-01
0.53225806,0.01612903,5.276624377842e-01
0.56451613,0.01612903,5.255913194709e-01
0.59677419,0.01612903,5.236620383232e-01
0.62903226,0.01612903,5.218555303614e-01
0.66129032,0.01612903,5.201542086531e-01
0.69354839,0.01612903,5.185409553063e-01
0.72580645,0.01612903,5.169977224519e-01
0.75806452,0.01612903,5.155054810932e-01
0.79032258,0.01612903,5.140409260949e-01
0.82258065,0.01612903,5.125721164977e-01
0.85483871,0.01612903,5.110643764648e-01
0.88709677,0.01612903,5.094723998873e-01
0.91935484,0.01612903,5.077388422232e-01
0.95161290,0.01612903,5.058235592486e-01
0.98387097,0.01612903,5.037432281391e-01
1.00000000,0.01612903,5.000000000000e-01
0.00000000,0.04838710,1.000000000000e+00
0.01612903,0.04838710,8.317814837827e-01
0.04838710,0.04838710,7.631713340615e-01
0.08064516,0.04838710,7.075527441416e-01
0.11290323,0.04838710,6.711772926238e-01
0.14516129,0.04838710,6.460633837665e-01
0.17741935,0.04838710,6.278241187766e-01
0.20967742,0.04838710,6.139293274530e-01
0.24193548,0.04838710,6.028576990873e-01
0.27419355,0.04838710,5.936811660541e-01
0.30645161,0.04838710,5.858300345699e-01
0.33870968,0.04838710,5.789509834365e-01
0.37096774,0.04838710,5.728197798997e-01
0.40322581,0.04838710,5.672883637285e-01
0.43548387,0.04838710,5.622536467495e-01
0.46774194,0.04838710,5.576396441528e-01
0.50000000,0.04838710,5.533874071754e-01
0.53225806,0.04838710,5.494492360259e-01
0.56451613,0.04838710,5.457850962764e-01
0.59677419,0.04838710,5.423600098859e-01
0.62903226,0.04838710,5.391419912681e-01
0.66129032,0.04838710,5.360998529058e-01
0.69354839,0.04838710,5.332019110513e-01
0.72580645,0.04838710,5.304133280644e-01
0.75806452,0.04838710,5.276991026604e-01
0.79032258,0.04838710,5.250174272873e-01
0.82258065,0.04838710,5.222972386587e-01
0.85483871,0.04838710,5.194717728040e-01
0.88709677,0.04838710,5.164437818282e-01
0.91935484,0.04838710,5.130771787636e-01
0.95161290,0.04838710,5.093614794725e-01
0.98387097,0.04838710,5.056247478857e-01
1.00000000,0.04838710,5.000000000000e-01
0.00000000,0.08064516,1.000000000000e+00
0.01612903,0.08064516,8.755913694056e-01
0.04838710,0.08064516,8.195600404756e-01
0.08064516,0.08064516,7.660233006635e-01
0.11290323,0.08064516,7.267423459751e-01
0.14516129,0.08064516,6.977459372829e-01
0.17741935,0.08064516,6.756148521344e-01
0.20967742,0.08064516,6.580941717598e-01
0.24193548,0.08064516,6.437184649998e-01
0.27419355,0.08064516,6.315423082732e-01
0.30645161,0.08064516,6.209590696192e-01
0.33870968,0.08064516,6.115783933177e-01
0.37096774,0.08064516,6.031446225743e-01
0.40322581,0.08064516,5.954843338632e-01
0.43548387,0.08064516,5.884739850915e-01
0.46774194,0.08064516,5.820207103327e-01
0.50000000,0.08064516,5.760511512372e-01
0.53225806,0.08064516,5.705048275576e-01
0.56451613,0.08064516,5.653298980220e-01
0.59677419,0.08064516,5.604799579910e-01
0.62903226,0.08064516,5.559114710031e-01
0.66129032,0.08064516,5.515808734899e-01
0.69354839,0.08064516,5.474431610697e-01
0.72580645,0.08064516,5.434479874878e-01
0.75806452,0.08064516,5.395469484324e-01
0.79032258,0.08064516,5.356745538013e-01
0.82258065,0.08064516,5.317301861865e-01
0.85483871,0.08064516,5.276186680231e-01
0.88709677,0.08064516,5.231986130032e-01
0.91935484,0.08064516,5.182744416329e-01
0.95161290,0.08064516,5.128721044827e-01
0.98387097,0.08064516,5.073504617441e-01
1.00000000,0.08064516,5.000000000000e-01
