y,0.005,0.015,0.05,ss
0.00000000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.02500000,8.622608623127e-01,9.260547286971e-01,9.548617480868e-01,9.603437600884e-01
0.05000000,7.833790775370e-01,8.761697955855e-01,9.239689278187e-01,9.333481333840e-01
0.07500000,7.094013124187e-01,8.258428557031e-01,8.918512294889e-01,9.052164691939e-01
0.10000000,6.487949284355e-01,7.769651890275e-01,8.596018232941e-01,8.769359887150e-01
0.12500000,6.011689479341e-01,7.313464568366e-01,8.279707676516e-01,8.491369541012e-01
0.15000000,5.659662333536e-01,6.900288712615e-01,7.974355253126e-01,8.222167095842e-01
0.17500000,5.421697164778e-01,6.540272641433e-01,7.685472146439e-01,7.966254210654e-01
0.20000000,5.271447857925e-01,6.239220193362e-01,7.416597506291e-01,7.726298066906e-01
0.22500000,5.168428511728e-01,5.981702620561e-01,7.164067824527e-01,7.499258695833e-01
0.25000000,5.101150014165e-01,5.764965648025e-01,6.928092433928e-01,7.285234173388e-01
0.27500000,5.059415104768e-01,5.585960652555e-01,6.708796231399e-01,7.084260284271e-01
0.30000000,5.037623083845e-01,5.450595690847e-01,6.512013367122e-01,6.900795409667e-01
0.32500000,5.023965423134e-01,5.342272017379e-01,6.331940325258e-01,6.730272323603e-01
0.35000000,5.015645751431e-01,5.256174502284e-01,6.167341361257e-01,6.571722239102e-01
0.37500000,5.010806603638e-01,5.189092806909e-01,6.017697979546e-01,6.424740650026e-01
0.40000000,5.008225870528e-01,5.139941118929e-01,5.884815213642e-01,6.290737988954e-01
0.42500000,5.006740142973e-01,5.104382982161e-01,5.767944311807e-01,6.169193685206e-01
0.45000000,5.005748901067e-01,5.077267882144e-01,5.663129040589e-01,6.057094091614e-01
0.47500000,5.005073084750e-01,5.057016891939e-01,5.569642843651e-01,5.953928129056e-01
0.50000000,5.004581721699e-01,5.042194560834e-01,5.486754373068e-01,5.859184364022e-01
0.52500000,5.004213303270e-01,5.032528894593e-01,5.417075049172e-01,5.775117806884e-01
0.55000000,5.003890617521e-01,5.025275379840e-01,5.355591886742e-01,5.697820134777e-01
0.57500000,5.003603208133e-01,5.019929287396e-01,5.301649095534e-01,5.626840905914e-01
0.60000000,5.003342407370e-01,5.016037639966e-01,5.254606103780e-01,5.561739071216e-01
0.62500000,5.003106372081e-01,5.013359118130e-01,5.215000710382e-01,5.503136839412e-01
0.65000000,5.002889600886e-01,5.011410462247e-01,5.181454250341e-01,5.450016482454e-01
0.67500000,5.002687352151e-01,5.009896422785e-01,5.152387810155e-01,5.401067651366e-01
0.70000000,5.002498463905e-01,5.008708899277e-01,5.127341451506e-01,5.355950885712e-01
0.72500000,5.002322374272e-01,5.007763411025e-01,5.106004455238e-01,5.314470596618e-01
0.75000000,5.002160551185e-01,5.007006225299e-01,5.088620617941e-01,5.277043915513e-01
0.77500000,5.002007145734e-01,5.006329655859e-01,5.073595028542e-01,5.242139119222e-01
0.80000000,5.001860616360e-01,5.005710760462e-01,5.060638774431e-01,5.209511678257e-01
0.82500000,5.001719232886e-01,5.005128661913e-01,5.049473862276e-01,5.178917734569e-01
0.85000000,5.001580153417e-01,5.004560836484e-01,5.040115758266e-01,5.150444598401e-01
0.87500000,5.001433056427e-01,5.003973230546e-01,5.032008036170e-01,5.123620608605e-01
0.90000000,5.001270757924e-01,5.003354438321e-01,5.024735580111e-01,5.097915040151e-01
0.92500000,5.001085589541e-01,5.002701479827e-01,5.018221349333e-01,5.073473943955e-01
0.95000000,5.000864687207e-01,5.002016362225e-01,5.012586544730e-01,5.051045454099e-01
0.97500000,5.000630255142e-01,5.001323257642e-01,5.007342261991e-01,5.029737438646e-01
1.00000000,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01
