x,t=0.0025,t=0.005,t=0.015,t=0.04,Steady
0.00000000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.01000000,9.475062364384e-01,9.655368858249e-01,9.819745304776e-01,9.883798270911e-01,9.894707150544e-01
0.02000000,8.989247785217e-01,9.346127152102e-01,9.674971140595e-01,9.798338965576e-01,9.818567266116e-01
0.03000000,8.514070788898e-01,9.039620702481e-01,9.533642737047e-01,9.716734858335e-01,9.746186023139e-01
0.04000000,8.065259908446e-01,8.742478310798e-01,9.399239065461e-01,9.641298572841e-01,9.679680473091e-01
0.05000000,7.655059328098e-01,8.459397490909e-01,9.272359611394e-01,9.572099381938e-01,9.619059053114e-01
0.06000000,7.286931346329e-01,8.191033339137e-01,9.151994241850e-01,9.508333760946e-01,9.563570360643e-01
0.07000000,6.962389764808e-01,7.938195489952e-01,9.037380656010e-01,9.449317313250e-01,9.512569672457e-01
0.08000000,6.681152361787e-01,7.701632270003e-01,8.927888202828e-01,9.394457454184e-01,9.465498389799e-01
0.09000000,6.441393734938e-01,7.481932175207e-01,8.822998322487e-01,9.343239597808e-01,9.421870913329e-01
0.10000000,6.240117155418e-01,7.279457035154e-01,8.722286903361e-01,9.295216054972e-01,9.381264630638e-01
0.11000000,6.073547160595e-01,7.094304911497e-01,8.625408398007e-01,9.249996703552e-01,9.343311063235e-01
0.12000000,5.937494345310e-01,6.926299526111e-01,8.532083259203e-01,9.207240985194e-01,9.307688356119e-01
0.13000000,5.827664349842e-01,6.775000851556e-01,8.442086673321e-01,9.166651116210e-01,9.274114893977e-01
0.14000000,5.739897212895e-01,6.639732153989e-01,8.355238763625e-01,9.127966308455e-01,9.242343858381e-01
0.15000000,5.670335547972e-01,6.519618121318e-01,8.271396053411e-01,9.090957834447e-01,9.212158572560e-01
0.16000000,5.615527957910e-01,6.413629839481e-01,8.190444031688e-01,9.055424801692e-01,9.183368513005e-01
0.17000000,5.572478428792e-01,6.320631867034e-01,8.112290703715e-01,9.021190527313e-01,9.155805864652e-01
0.18000000,5.538654084721e-01,6.239427855079e-01,8.036860996275e-01,8.988099407246e-01,9.129322598307e-01
0.19000000,5.511963471669e-01,6.168802234706e-01,7.964092010561e-01,8.956014242345e-01,9.103787926417e-01
0.20000000,5.490716142531e-01,6.107556114122e-01,7.893929023797e-01,8.924813924322e-01,9.079086062093e-01
0.21000000,5.473572347485e-01,6.054536498177e-01,7.826322059960e-01,8.894391393950e-01,9.055114318291e-01
0.22000000,5.459489474924e-01,6.008658546342e-01,7.761223101773e-01,8.864651888369e-01,9.031781450224e-01
0.23000000,5.447669868032e-01,5.968921125569e-01,7.698583909023e-01,8.835511424982e-01,9.009006211582e-01
0.24000000,5.437512945895e-01,5.934416276036e-01,7.638354320650e-01,8.806895474686e-01,8.986716096210e-01
0.25000000,5.428573226582e-01,5.904333437216e-01,7.580481019219e-01,8.778737802556e-01,8.964846238538e-01
0.26000000,5.420524857857e-01,5.877959388893e-01,7.524906720352e-01,8.750979452562e-01,8.943338451216e-01
0.27000000,5.413132559696e-01,5.854674879098e-01,7.471569688738e-01,8.723567856663e-01,8.922140380525e-01
0.28000000,5.406228436196e-01,5.833948855965e-01,7.420403555854e-01,8.696456051405e-01,8.901204766737e-01
0.29000000,5.399693888267e-01,5.815331120020e-01,7.371337417121e-01,8.669601987225e-01,8.880488780505e-01
0.30000000,5.393445797272e-01,5.798444090314e-01,7.324296141460e-01,8.642967917884e-01,8.859953452006e-01
0.31000000,5.387426186667e-01,5.782974244404e-01,7.279200838271e-01,8.616519858938e-01,8.839563167766e-01
0.32000000,5.381594647115e-01,5.768663661840e-01,7.235969438223e-01,8.590227105876e-01,8.819285264006e-01
0.33000000,5.375922899381e-01,5.755301981533e-01,7.194517372864e-01,8.564061805240e-01,8.799089722602e-01
0.34000000,5.370390961338e-01,5.742718979392e-01,7.154758301370e-01,8.537998572788e-01,8.778949915835e-01
0.35000000,5.364984481929e-01,5.730777886417e-01,7.116604852250e-01,8.512014177005e-01,8.758839972000e-01
0.36000000,5.359692903280e-01,5.719369499551e-01,7.079969361266e-01,8.486087330980e-01,8.738734442665e-01
0.37000000,5.354508203148e-01,5.708407086616e-01,7.044764578476e-01,8.460199069030e-01,8.718608678391e-01
0.38000000,5.349424044059e-01,5.697822050691e-01,7.010904328691e-01,8.434331285662e-01,8.698440106760e-01
0.39000000,5.344435208761e-01,5.687560295378e-01,6.978304112132e-01,8.408466016992e-01,8.678208576835e-01
0.40000000,5.339537236431e-01,5.677579218828e-01,6.946881632996e-01,8.382585767235e-01,8.657893202002e-01
0.41000000,5.334726196456e-01,5.667845258736e-01,6.916557252620e-01,8.356674372995e-01,8.637473064780e-01
0.42000000,5.329998552041e-01,5.658331910597e-01,6.887254361767e-01,8.330717136175e-01,8.616927315344e-01
0.43000000,5.325351078379e-01,5.649018145296e-01,6.858899671663e-01,8.304699016580e-01,8.596235065266e-01
0.44000000,5.320780811030e-01,5.639887158262e-01,6.831423426053e-01,8.278604661607e-01,8.575375213032e-01
0.45000000,5.316285009549e-01,5.630925389896e-01,6.804759537191e-01,8.252418575459e-01,8.554326267088e-01
0.46000000,5.311861128477e-01,5.622121765078e-01,6.778845650285e-01,8.226124979244e-01,8.533066164810e-01
0.47000000,5.307506792338e-01,5.613467107357e-01,6.753623141736e-01,8.199707657845e-01,8.511572091478e-01
0.48000000,5.303219773559e-01,5.604953690784e-01,6.729037057598e-01,8.173149780737e-01,8.489820297682e-01
0.49000000,5.298997973160e-01,5.596574899068e-01,6.705035998910e-01,8.146433747458e-01,8.467785911791e-01
0.50000000,5.294839404241e-01,5.588324967692e-01,6.681571960151e-01,8.119541016979e-01,8.445442748869e-01
0.51000000,5.290742178193e-01,5.580198789561e-01,6.658600126833e-01,8.092451926542e-01,8.422763108811e-01
0.52000000,5.286704493281e-01,5.572191768698e-01,6.636078638193e-01,8.065145516155e-01,8.399717572383e-01
0.53000000,5.282724625178e-01,5.564299709807e-01,6.613968320487e-01,8.037599336601e-01,8.376274777896e-01
0.54000000,5.278800918962e-01,5.556518734282e-01,6.592232395618e-01,8.009789258845e-01,8.352401199086e-01
