x,t=0.0025,t=0.005,t=0.015,t=0.04,Steady
0.00000000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.01000000,9.460351458648e-01,9.632335801209e-01,9.788627442608e-01,9.849191650330e-01,9.855636989457e-01
0.02000000,9.015219579239e-01,9.352751940844e-01,9.649734364769e-01,9.755847872625e-01,9.766868119469e-01
0.03000000,8.581263819509e-01,9.080561007040e-01,9.518677167902e-01,9.669445757582e-01,9.684880382149e-01
0.04000000,8.173917812040e-01,8.823335956259e-01,9.400327908885e-01,9.593122642001e-01,9.612622716182e-01
0.05000000,7.801563840295e-01,8.582173016133e-01,9.293417309988e-01,9.525830452824e-01,9.549076294225e-01
0.06000000,7.465860610502e-01,8.355693542202e-01,9.195957852283e-01,9.466046639889e-01,9.492771320264e-01
0.07000000,7.167704838508e-01,8.143165755952e-01,9.106381967112e-01,9.412526110932e-01,9.442502393443e-01
0.08000000,6.906807783996e-01,7.944176120273e-01,9.023403981597e-01,9.364241067184e-01,9.397274857471e-01
0.09000000,6.681756919326e-01,7.758489216920e-01,8.945967733102e-01,9.320340303120e-01,9.356265298568e-01
0.10000000,6.490199066627e-01,7.585944525214e-01,8.873203668363e-01,9.280117930793e-01,9.318791405067e-01
0.11000000,6.329106546680e-01,7.426374778079e-01,8.804396934400e-01,9.242987650534e-01,9.284286858630e-01
0.12000000,6.195053472387e-01,7.279544036464e-01,8.738960045898e-01,9.208460256752e-01,9.252279369901e-01
0.13000000,6.084465724142e-01,7.145117136238e-01,8.676408616766e-01,9.176126688002e-01,9.222374424395e-01
0.14000000,5.993827318154e-01,7.022646543178e-01,8.616344186177e-01,9.145644329427e-01,9.194241905004e-01
0.15000000,5.919833266655e-01,6.911574216718e-01,8.558439431208e-01,9.116725592482e-01,9.167604994176e-01
0.16000000,5.859490138300e-01,6.811243754158e-01,8.502425912566e-01,9.089128544409e-01,9.142231070343e-01
0.17000000,5.810170384256e-01,6.720920282810e-01,8.448083922938e-01,9.062649210548e-01,9.117924205947e-01
0.18000000,5.769629397933e-01,6.639814499099e-01,8.395234042645e-01,9.037115183622e-01,9.094519015081e-01
0.19000000,5.735995086520e-01,6.567107454822e-01,8.343730105349e-01,9.012380483310e-01,9.071875622849e-01
0.20000000,5.707739155895e-01,6.501974359763e-01,8.293453237702e-01,8.988321214448e-01,9.049875406865e-01
0.21000000,5.683637938265e-01,6.443605649457e-01,8.244307017824e-01,8.964831860765e-01,9.028417459009e-01
0.22000000,5.662728821314e-01,6.391224507904e-01,8.196213351061e-01,8.941822346390e-01,9.007415716640e-01
0.23000000,5.644266593553e-01,6.344100389487e-01,8.149108846221e-01,8.919215553059e-01,8.986796555221e-01
0.24000000,5.627682563215e-01,6.301558528715e-01,8.102941921709e-01,8.896945253280e-01,8.966496785418e-01
0.25000000,5.612548170926e-01,6.262985723025e-01,8.057670370137e-01,8.874954382686e-01,8.946461980101e-01
0.26000000,5.598543916710e-01,6.227832848509e-01,8.013259314384e-01,8.853193593983e-01,8.926645074747e-01
0.27000000,5.585433703945e-01,6.195614688625e-01,7.969679509502e-01,8.831620044784e-01,8.907005201327e-01
0.28000000,5.573044201708e-01,6.165907673392e-01,7.926905940233e-01,8.810196383829e-01,8.887506681412e-01
0.29000000,5.561248578064e-01,6.138346097960e-01,7.884916719178e-01,8.788889898485e-01,8.868118221146e-01
0.30000000,5.549953916855e-01,6.112617339095e-01,7.843692164524e-01,8.767671832555e-01,8.848812274300e-01
0.31000000,5.539091692937e-01,6.088456512415e-01,7.803214040751e-01,8.746516851969e-01,8.829564524287e-01
0.32000000,5.528610747665e-01,6.065640929175e-01,7.763465006719e-01,8.725403315780e-01,8.810354314625e-01
0.33000000,5.518472243023e-01,6.043984628148e-01,7.724428184119e-01,8.704311119634e-01,8.791161971980e-01
0.34000000,5.508646103488e-01,6.023333179773e-01,7.686086856127e-01,8.683221403919e-01,8.771968954183e-01
0.35000000,5.499108515212e-01,6.003558892146e-01,7.648424259470e-01,8.662116773211e-01,8.752758305220e-01
0.36000000,5.489840149049e-01,5.984556494106e-01,7.611423438872e-01,8.640981963283e-01,8.733515070799e-01
0.37000000,5.480824882095e-01,5.966239328787e-01,7.575067169252e-01,8.619804013366e-01,8.714226392706e-01
0.38000000,5.472048880733e-01,5.948536058440e-01,7.539337937228e-01,8.598569953643e-01,8.694879086350e-01
0.39000000,5.463499961768e-01,5.931387856314e-01,7.504217961968e-01,8.577267297745e-01,8.675460480755e-01
0.40000000,5.455167171011e-01,5.914746045820e-01,7.469689229110e-01,8.555884119052e-01,8.655958342411e-01
0.41000000,5.447040524437e-01,5.898570140463e-01,7.435733558381e-01,8.534408928252e-01,8.636360774058e-01
0.42000000,5.439110858407e-01,5.882826235685e-01,7.402332663090e-01,8.512830544915e-01,8.616656068912e-01
0.43000000,5.431369741261e-01,5.867485703148e-01,7.369468225664e-01,8.491137959648e-01,8.596832581733e-01
0.44000000,5.423809410886e-01,5.852524139613e-01,7.337121974814e-01,8.469320210846e-01,8.576878599071e-01
0.45000000,5.416422717927e-01,5.837920526962e-01,7.305275735351e-01,8.447366258912e-01,8.556782215469e-01
0.46000000,5.409203067087e-01,5.823656565548e-01,7.273911491072e-01,8.425264863509e-01,8.536531205967e-01
0.47000000,5.402144356650e-01,5.809716148209e-01,7.243011422326e-01,8.403004460540e-01,8.516112900381e-01
