x,t=0.0025,t=0.005,t=0.015,t=0.04,Steady
0.00000000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.01000000,9.445795229168e-01,9.624210800405e-01,9.787663037277e-01,9.870804021820e-01,9.953350317993e-01
0.02000000,8.885343303612e-01,9.234358775038e-01,9.565580622602e-01,9.736321365807e-01,9.905146989877e-01
0.03000000,8.338881927233e-01,8.845091942734e-01,9.340996058075e-01,9.599812969225e-01,9.856178169521e-01
0.04000000,7.823410002172e-01,8.462973465655e-01,9.115935217181e-01,9.462172720013e-01,9.806724558552e-01
0.05000000,7.354412582896e-01,8.096101272116e-01,8.893463027145e-01,9.325036980117e-01,9.757333598304e-01
0.06000000,6.936988581460e-01,7.748433793659e-01,8.674784975469e-01,9.188851088257e-01,9.708094571692e-01
0.07000000,6.572590274174e-01,7.422356815724e-01,8.460552729516e-01,9.053802087945e-01,9.659013212335e-01
0.08000000,6.260305164088e-01,7.119674317609e-01,8.251359173719e-01,8.920025299592e-01,9.610078452360e-01
0.09000000,5.997344021356e-01,6.841552562670e-01,8.047756040551e-01,8.787654555630e-01,9.561279778051e-01
0.10000000,5.779602401377e-01,6.588542722733e-01,7.850245763376e-01,8.656820921289e-01,9.512607080132e-01
0.11000000,5.602181739498e-01,6.360627889102e-01,7.659277295139e-01,8.527652077325e-01,9.464050633321e-01
0.12000000,5.459835196711e-01,6.157288970035e-01,7.475242902051e-01,8.400271731177e-01,9.415601076524e-01
0.13000000,5.347321608543e-01,5.977583139282e-01,7.298475853879e-01,8.274799064609e-01,9.367249394455e-01
0.14000000,5.259664675980e-01,5.820228773469e-01,7.129249003401e-01,8.151348208226e-01,9.318986900557e-01
0.15000000,5.192324277455e-01,5.683691482032e-01,6.967774358715e-01,8.030027784991e-01,9.270805221107e-01
0.16000000,5.141292616960e-01,5.566266689367e-01,6.814203524737e-01,7.910940477204e-01,9.222696280415e-01
0.17000000,5.103130563963e-01,5.466155258815e-01,6.668628980102e-01,7.794182615663e-01,9.174652287030e-01
0.18000000,5.074959798378e-01,5.381529732812e-01,6.531086121341e-01,7.679843845437e-01,9.126665720848e-01
0.19000000,5.054425047551e-01,5.310589780994e-01,6.401555982547e-01,7.568006830423e-01,9.078729321131e-01
0.20000000,5.039638485493e-01,5.251606344774e-01,6.279968554193e-01,7.458747005101e-01,9.030836075201e-01
0.21000000,5.029115798731e-01,5.202954704117e-01,6.166206602799e-01,7.352132374556e-01,8.982979208816e-01
0.22000000,5.021710888901e-01,5.163137250001e-01,6.060109884974e-01,7.248223360884e-01,8.935152175558e-01
0.23000000,5.016553918074e-01,5.130797127274e-01,5.961479659656e-01,7.147072700987e-01,8.887348664250e-01
0.24000000,5.012995530255e-01,5.104724133354e-01,5.870083396297e-01,7.048725389515e-01,8.839562613326e-01
0.25000000,5.010558636535e-01,5.083854342241e-01,5.785659584321e-01,6.953218663474e-01,8.791788479096e-01
0.26000000,5.008898109947e-01,5.067264899162e-01,5.707922553220e-01,6.860582034250e-01,8.744020621396e-01
0.27000000,5.007768044696e-01,5.054165327980e-01,5.636567221025e-01,6.770837362507e-01,8.696253345843e-01
0.28000000,5.006995825234e-01,5.043886538470e-01,5.571273697151e-01,6.683998973452e-01,8.648481022814e-01
0.29000000,5.006462054121e-01,5.035868537450e-01,5.511711675498e-01,6.600073808656e-01,8.600698492448e-01
0.30000000,5.006085340400e-01,5.029647655718e-01,5.457544564056e-01,6.519061614216e-01,8.552901172586e-01
0.31000000,5.005810998590e-01,5.024843916409e-01,5.408433307721e-01,6.440955162278e-01,8.505084262349e-01
0.32000000,5.005602810652e-01,5.021148999786e-01,5.364039871525e-01,6.365740501999e-01,8.457243062901e-01
0.33000000,5.005437129337e-01,5.018315110677e-01,5.324030361623e-01,6.293397237989e-01,8.409373007092e-01
0.34000000,5.005298731390e-01,5.016144930796e-01,5.288077770911e-01,6.223898832712e-01,8.361469672099e-01
0.35000000,5.005177951028e-01,5.014482739235e-01,5.255864345023e-01,6.157212929955e-01,8.313528775740e-01
0.36000000,5.005068731524e-01,5.013206709220e-01,5.227083572300e-01,6.093301696158e-01,8.265546172879e-01
0.37000000,5.004967322796e-01,5.012222335241e-01,5.201441808286e-01,6.032122176591e-01,8.217517851169e-01
0.38000000,5.004871425356e-01,5.011456908662e-01,5.178659551113e-01,5.973626663233e-01,8.169439927025e-01
0.39000000,5.004779637269e-01,5.010854938679e-01,5.158472388929e-01,5.917763071352e-01,8.121308641748e-01
0.40000000,5.004691103199e-01,5.010374405660e-01,5.140631644193e-01,5.864475321854e-01,8.073120357822e-01
0.41000000,5.004605295755e-01,5.009983732581e-01,5.124904742350e-01,5.813703726574e-01,8.024871555312e-01
0.42000000,5.004521881797e-01,5.009659364892e-01,5.111075334083e-01,5.765385373817e-01,7.976558828519e-01
0.43000000,5.004440642184e-01,5.009383857637e-01,5.098943201189e-01,5.719454511581e-01,7.928178883112e-01
0.44000000,5.004361424433e-01,5.009144379229e-01,5.088323976169e-01,5.675842926073e-01,7.879728532805e-01
0.45000000,5.004284115217e-01,5.008931552860e-01,5.079048705005e-01,5.634480313280e-01,7.831204696123e-01
0.46000000,5.004208624575e-01,5.008738568003e-01,5.070963281435e-01,5.595294641551e-01,7.782604393737e-01
0.47000000,5.004134876934e-01,5.008560505414e-01,5.063927779385e-01,5.558212503326e-01,7.733924745715e-01
