x,Qr,Qc,Qt
0.00000000,2.069598624444e+00,1.917377292953e+00,3.986975917397e+00
0.01000000,2.089630092923e+00,1.868928376848e+00,3.958558469771e+00
0.02000000,2.122329780731e+00,1.869946383607e+00,3.992276164339e+00
0.03000000,2.144999292931e+00,1.877916604546e+00,4.022915897477e+00
0.04000000,2.162538976980e+00,1.868261111564e+00,4.030800088544e+00
0.05000000,2.175372004391e+00,1.847961311346e+00,4.023333315737e+00
0.06000000,2.183922432981e+00,1.827737730822e+00,4.011660163802e+00
0.07000000,2.188582542499e+00,1.809051018800e+00,3.997633561299e+00
0.08000000,2.189711457222e+00,1.791540424955e+00,3.981251882178e+00
0.09000000,2.187638695203e+00,1.774907010380e+00,3.962545705583e+00
0.10000000,2.182667239519e+00,1.758881624953e+00,3.941548864472e+00
0.11000000,2.175076241142e+00,1.743223061023e+00,3.918299302164e+00
0.12000000,2.165121087044e+00,1.727715880181e+00,3.892836967224e+00
0.13000000,2.153037733627e+00,1.712167670812e+00,3.865205404439e+00
0.14000000,2.139049874459e+00,1.696408704460e+00,3.835458578918e+00
0.15000000,2.123364514015e+00,1.680291991147e+00,3.803656505162e+00
0.16000000,2.106170027671e+00,1.663690842823e+00,3.769860870493e+00
0.17000000,2.087640800876e+00,1.646497197645e+00,3.734137998521e+00
0.18000000,2.067938173692e+00,1.628621015470e+00,3.696559189163e+00
0.19000000,2.047210712070e+00,1.609989310648e+00,3.657200022717e+00
0.20000000,2.025594099417e+00,1.590544967890e+00,3.616139067307e+00
0.21000000,2.003216144271e+00,1.570245821563e+00,3.573461965834e+00
0.22000000,1.980195902284e+00,1.549064113354e+00,3.529260015637e+00
0.23000000,1.956639581091e+00,1.526985345445e+00,3.483624926535e+00
0.24000000,1.932644811731e+00,1.504007097177e+00,3.436651908909e+00
0.25000000,1.908301986263e+00,1.480138271319e+00,3.388440257582e+00
0.26000000,1.883692847434e+00,1.455398160077e+00,3.339091007512e+00
0.27000000,1.858891479479e+00,1.429815430992e+00,3.288706910471e+00
0.28000000,1.833965260056e+00,1.403427203241e+00,3.237392463297e+00
0.29000000,1.808974935076e+00,1.376278125438e+00,3.185253060514e+00
0.30000000,1.783975071117e+00,1.348419451614e+00,3.132394522731e+00
0.31000000,1.759014304827e+00,1.319908138640e+00,3.078922443467e+00
0.32000000,1.734135798211e+00,1.290805966909e+00,3.024941765120e+00
0.33000000,1.709377774554e+00,1.261178694140e+00,2.970556468694e+00
0.34000000,1.684773900774e+00,1.231095243870e+00,2.915869144644e+00
0.35000000,1.660353653019e+00,1.200626930385e+00,2.860980583405e+00
0.36000000,1.636142666149e+00,1.169846724231e+00,2.805989390380e+00
0.37000000,1.612163066436e+00,1.138828561938e+00,2.750991628374e+00
