x,Qr,Qc,Qt
0.00000000,1.899129051781e+00,1.871975181927e+00,3.771104233708e+00
0.01000000,1.910218077819e+00,1.926330602079e+00,3.836548679898e+00
0.02000000,1.927053484629e+00,1.954210979535e+00,3.881264464164e+00
0.03000000,1.936944707717e+00,1.973205510128e+00,3.910150217844e+00
0.04000000,1.943850728069e+00,1.974691473904e+00,3.918542201972e+00
0.05000000,1.948127292415e+00,1.962925508436e+00,3.911052800851e+00
0.06000000,1.950024002058e+00,1.948755139448e+00,3.898779141506e+00
0.07000000,1.949751846650e+00,1.934340714048e+00,3.884092560699e+00
0.08000000,1.947501525959e+00,1.919584619693e+00,3.867086145653e+00
0.09000000,1.943447580134e+00,1.904345911011e+00,3.847793491145e+00
0.10000000,1.937753618079e+00,1.888501532841e+00,3.826255150920e+00
0.11000000,1.930576254986e+00,1.871944464259e+00,3.802520719246e+00
0.12000000,1.922060946920e+00,1.854583516256e+00,3.776644463176e+00
0.13000000,1.912341764884e+00,1.836342324869e+00,3.748684089753e+00
0.14000000,1.901543747923e+00,1.817158685250e+00,3.718702433173e+00
0.15000000,1.889783339402e+00,1.796984092729e+00,3.686767432131e+00
0.16000000,1.877168791816e+00,1.775783142715e+00,3.652951934531e+00
0.17000000,1.863800401909e+00,1.753532934946e+00,3.617333336855e+00
0.18000000,1.849769559826e+00,1.730222344064e+00,3.579991903889e+00
0.19000000,1.835162562460e+00,1.705851321715e+00,3.541013884174e+00
0.20000000,1.820060439506e+00,1.680430351464e+00,3.500490790970e+00
0.21000000,1.804535989484e+00,1.653979689400e+00,3.458515678884e+00
0.22000000,1.788655214548e+00,1.626528520251e+00,3.415183734798e+00
0.23000000,1.772479002920e+00,1.598114216428e+00,3.370593219348e+00
0.24000000,1.756063850339e+00,1.568781622008e+00,3.324845472346e+00
0.25000000,1.739460097004e+00,1.538582272159e+00,3.278042369163e+00
0.26000000,1.722713570230e+00,1.507573589483e+00,3.230287159713e+00
0.27000000,1.705865939003e+00,1.475818142697e+00,3.181684081700e+00
0.28000000,1.688954428989e+00,1.443382888607e+00,3.132337317596e+00
0.29000000,1.672012626274e+00,1.410338430070e+00,3.082351056344e+00
0.30000000,1.655070456641e+00,1.376758303657e+00,3.031828760298e+00
0.31000000,1.638154597500e+00,1.342718285637e+00,2.980872883137e+00
0.32000000,1.621288633424e+00,1.308295730134e+00,2.929584363558e+00
0.33000000,1.604493351624e+00,1.273568937706e+00,2.878062289330e+00
0.34000000,1.587787015496e+00,1.238616560505e+00,2.826403576002e+00
0.35000000,1.571185590906e+00,1.203517044898e+00,2.774702635804e+00
0.36000000,1.554702959185e+00,1.168348113219e+00,2.723051072404e+00
0.37000000,1.538351116689e+00,1.133186286257e+00,2.671537402946e+00
0.38000000,1.522140360936e+00,1.098106447310e+00,2.620246808246e+00
0.39000000,1.506079463442e+00,1.063181448285e+00,2.569260911727e+00
0.40000000,1.490175829556e+00,1.028481757864e+00,2.518657587421e+00
0.41000000,1.474435645629e+00,9.940751514202e-01,2.468510797049e+00
0.42000000,1.458864013979e+00,9.600264419352e-01,2.418890455914e+00
0.43000000,1.443465076168e+00,9.263972509397e-01,2.369862327107e+00
0.44000000,1.428242125173e+00,8.932458182249e-01,2.321487943398e+00
0.45000000,1.413197707087e+00,8.606268488683e-01,2.273824555955e+00
0.46000000,1.398333712997e+00,8.285913958677e-01,2.226925108865e+00
0.47000000,1.383651461718e+00,7.971867765270e-01,2.180838238245e+00
0.48000000,1.369151774020e+00,7.664565206392e-01,2.135608294659e+00
0.49000000,1.354835039022e+00,7.364403484287e-01,2.091275387451e+00
0.50000000,1.340701273379e+00,7.071741761252e-01,2.047875449504e+00
0.51000000,1.326750173912e+00,6.786901469852e-01,2.005440320897e+00
0.52000000,1.312981164270e+00,6.510166855677e-01,1.963997849838e+00
0.53000000,1.299393436211e+00,6.241785730898e-01,1.923572009301e+00
0.54000000,1.285985986006e+00,5.981970417014e-01,1.884183027707e+00
0.55000000,1.272757646475e+00,5.730898855440e-01,1.845847532019e+00
0.56000000,1.259707115090e+00,5.488715865059e-01,1.808578701596e+00
0.57000000,1.246832978603e+00,5.255534526580e-01,1.772386431261e+00
0.58000000,1.234133734551e+00,5.031437674325e-01,1.737277501984e+00
0.59000000,1.221607810068e+00,4.816479476821e-01,1.703255757750e+00
0.60000000,1.209253578228e+00,4.610687088431e-01,1.670322287071e+00
0.61000000,1.197069372310e+00,4.414062355263e-01,1.638475607836e+00
0.62000000,1.185053497927e+00,4.226583559565e-01,1.607711853884e+00
0.63000000,1.173204243126e+00,4.048207187563e-01,1.578024961882e+00
0.64000000,1.161519884890e+00,3.878869707188e-01,1.549406855608e+00
0.65000000,1.149998688010e+00,3.718489336145e-01,1.521847621625e+00
0.66000000,1.138638879439e+00,3.566967829724e-01,1.495335662411e+00
0.67000000,1.127438761504e+00,3.424192283448e-01,1.469857989849e+00
0.68000000,1.116396741613e+00,3.290036722872e-01,1.445400413900e+00
0.69000000,1.105511169943e+00,3.164363721322e-01,1.421947542075e+00
0.70000000,1.094780421032e+00,3.047026130066e-01,1.399483034039e+00
0.71000000,1.084202910774e+00,2.937868604003e-01,1.377989771174e+00
0.72000000,1.073777082795e+00,2.836729091090e-01,1.357449991904e+00
0.73000000,1.063501429058e+00,2.743440272361e-01,1.337845456294e+00
0.74000000,1.053374477621e+00,2.657830919586e-01,1.319157569580e+00
0.75000000,1.043394808454e+00,2.579727193000e-01,1.301367527754e+00
0.76000000,1.033561046361e+00,2.508953856681e-01,1.284456432029e+00
0.77000000,1.023871871273e+00,2.445335427162e-01,1.268405413990e+00
0.78000000,1.014326016418e+00,2.388697234661e-01,1.253195739884e+00
0.79000000,1.004922273762e+00,2.338866420795e-01,1.238808915841e+00
0.80000000,9.956594972915e-01,2.295672733966e-01,1.225226770688e+00
0.81000000,9.865366037156e-01,2.258949207480e-01,1.212431524464e+00
0.82000000,9.775525817762e-01,2.228530639545e-01,1.200405645731e+00
0.83000000,9.687064866627e-01,2.204248701271e-01,1.189131356790e+00
0.84000000,9.599974581986e-01,2.185881808833e-01,1.178585639082e+00
0.85000000,9.514247029568e-01,2.173122100639e-01,1.168736913021e+00
0.86000000,9.429875275775e-01,2.165919048763e-01,1.159579432454e+00
0.87000000,9.346853183390e-01,2.164457344007e-01,1.151131052740e+00
0.88000000,9.265175990225e-01,2.168657272322e-01,1.143383326255e+00
0.89000000,9.184839265981e-01,2.178168824379e-01,1.136300809036e+00
0.90000000,9.105840699893e-01,2.192678502201e-01,1.129851920209e+00
0.91000000,9.028177623974e-01,2.212166583796e-01,1.124034420777e+00
0.92000000,8.951851220910e-01,2.236695400286e-01,1.118854662120e+00
0.93000000,8.876859659018e-01,2.266206490519e-01,1.114306614954e+00
0.94000000,8.803210089948e-01,2.300631688971e-01,1.110384177892e+00
0.95000000,8.730894660827e-01,2.339935059042e-01,1.107082971987e+00
0.96000000,8.659920321195e-01,2.382338565099e-01,1.104225888629e+00
0.97000000,8.590097318669e-01,2.412600098570e-01,1.100269741724e+00
0.98000000,8.520918999714e-01,2.417124830403e-01,1.093804383012e+00
0.99000000,8.440159059038e-01,2.441961962928e-01,1.088212102197e+00
1.00000000,8.393899278330e-01,2.596961639977e-01,1.099086091831e+00
