x,Qr,Qc,Qt
0.00000000,1.372163712562e+00,2.001166664855e+00,3.373330377417e+00
0.01000000,1.374777570410e+00,2.158754110291e+00,3.533531680701e+00
0.02000000,1.377700397481e+00,2.214465730869e+00,3.592166128351e+00
0.03000000,1.378077100162e+00,2.244697088919e+00,3.622774189081e+00
0.04000000,1.378156260371e+00,2.254702036373e+00,3.632858296744e+00
0.05000000,1.378169912202e+00,2.248021839860e+00,3.626191752062e+00
0.06000000,1.378173526118e+00,2.236336925503e+00,3.614510451621e+00
0.07000000,1.378176050755e+00,2.221886109424e+00,3.600062160179e+00
0.08000000,1.378178200269e+00,2.205318164700e+00,3.583496364969e+00
0.09000000,1.378180139864e+00,2.186672954602e+00,3.564853094466e+00
0.10000000,1.378181916552e+00,2.166006080912e+00,3.544187997464e+00
0.11000000,1.378183550723e+00,2.143378690247e+00,3.521562240970e+00
0.12000000,1.378185056005e+00,2.118857207201e+00,3.497042263206e+00
0.13000000,1.378186443745e+00,2.092513008488e+00,3.470699452234e+00
0.14000000,1.378187688054e+00,2.064422076189e+00,3.442609764242e+00
0.15000000,1.378188763820e+00,2.034664632177e+00,3.412853395997e+00
0.16000000,1.378189722323e+00,2.003324756223e+00,3.381514478546e+00
0.17000000,1.378190611172e+00,1.970489990286e+00,3.348680601459e+00
0.18000000,1.378191433517e+00,1.936250931630e+00,3.314442365147e+00
0.19000000,1.378192184864e+00,1.900700817383e+00,3.278893002247e+00
0.20000000,1.378192834486e+00,1.863935103220e+00,3.242127937706e+00
0.21000000,1.378193382385e+00,1.826051038800e+00,3.204244421185e+00
0.22000000,1.378193883271e+00,1.787147242590e+00,3.165341125861e+00
0.23000000,1.378194349804e+00,1.747323278663e+00,3.125517628467e+00
0.24000000,1.378194768503e+00,1.706679237953e+00,3.084874006456e+00
0.25000000,1.378195120977e+00,1.665315326412e+00,3.043510447389e+00
0.26000000,1.378195431477e+00,1.623331462376e+00,3.001526893853e+00
0.27000000,1.378195727346e+00,1.580826885324e+00,2.959022612670e+00
0.28000000,1.378195999505e+00,1.537899778123e+00,2.916095777628e+00
0.29000000,1.378196254262e+00,1.494646904632e+00,2.872843158894e+00
0.30000000,1.378196491075e+00,1.451163264457e+00,2.829359755533e+00
0.31000000,1.378196712177e+00,1.407541766411e+00,2.785738478588e+00
0.32000000,1.378196918314e+00,1.363872922105e+00,2.742069840419e+00
0.33000000,1.378197110389e+00,1.320244560892e+00,2.698441671281e+00
0.34000000,1.378197288073e+00,1.276741567193e+00,2.654938855265e+00
0.35000000,1.378197448104e+00,1.233445641064e+00,2.611643089167e+00
0.36000000,1.378197578356e+00,1.190435082660e+00,2.568632661016e+00
0.37000000,1.378197682195e+00,1.147784601065e+00,2.525982283261e+00
0.38000000,1.378197775987e+00,1.105565147767e+00,2.483762923754e+00
0.39000000,1.378197860966e+00,1.063843774896e+00,2.442041635862e+00
0.40000000,1.378197936955e+00,1.022683518139e+00,2.400881455094e+00
0.41000000,1.378198004828e+00,9.821433040976e-01,2.360341308925e+00
0.42000000,1.378198064534e+00,9.422778816934e-01,2.320475946227e+00
0.43000000,1.378198116675e+00,9.031377770595e-01,2.281335893735e+00
0.44000000,1.378198161267e+00,8.647692712426e-01,2.242967432510e+00
0.45000000,1.378198198716e+00,8.272143998908e-01,2.205412598607e+00
0.46000000,1.378198229055e+00,7.905109739983e-01,2.168709203053e+00
0.47000000,1.378198252549e+00,7.546926206694e-01,2.132890873218e+00
0.48000000,1.378198269212e+00,7.197888427774e-01,2.097987111990e+00
0.49000000,1.378198279209e+00,6.858250963131e-01,2.064023375522e+00
0.50000000,1.378198282513e+00,6.528228841588e-01,2.031021166672e+00
0.51000000,1.378198279209e+00,6.207998649672e-01,1.998998144177e+00
0.52000000,1.378198269212e+00,5.897699757916e-01,1.967968245004e+00
0.53000000,1.378198252549e+00,5.597435670874e-01,1.937941819636e+00
0.54000000,1.378198229055e+00,5.307275486911e-01,1.908925777746e+00
0.55000000,1.378198198716e+00,5.027255453843e-01,1.880923744101e+00
0.56000000,1.378198161267e+00,4.757380606602e-01,1.853936221927e+00
0.57000000,1.378198116675e+00,4.497626473290e-01,1.827960764004e+00
0.58000000,1.378198064534e+00,4.247940836336e-01,1.802992148167e+00
0.59000000,1.378198004828e+00,4.008245535817e-01,1.779022558409e+00
0.60000000,1.378197936955e+00,3.778438302537e-01,1.756041767209e+00
0.61000000,1.378197860966e+00,3.558394608952e-01,1.734037321861e+00
0.62000000,1.378197775987e+00,3.347969526698e-01,1.712994728657e+00
0.63000000,1.378197682195e+00,3.146999580107e-01,1.692897640206e+00
0.64000000,1.378197578356e+00,2.955304585830e-01,1.673728036939e+00
0.65000000,1.378197448104e+00,2.772689469432e-01,1.655466395047e+00
0.66000000,1.378197288073e+00,2.598946050594e-01,1.638091893132e+00
0.67000000,1.378197110389e+00,2.433854789359e-01,1.621582589325e+00
0.68000000,1.378196918314e+00,2.277186486657e-01,1.605915566980e+00
0.69000000,1.378196712177e+00,2.128703933162e-01,1.591067105493e+00
0.70000000,1.378196491075e+00,1.988163501309e-01,1.577012841206e+00
0.71000000,1.378196254262e+00,1.855316676121e-01,1.563727921874e+00
0.72000000,1.378195999505e+00,1.729911521241e-01,1.551187151629e+00
0.73000000,1.378195727346e+00,1.611694077312e-01,1.539365135077e+00
0.74000000,1.378195431477e+00,1.500409690576e-01,1.528236400535e+00
0.75000000,1.378195120977e+00,1.395804270217e-01,1.517775547999e+00
0.76000000,1.378194768503e+00,1.297625473646e-01,1.507957315868e+00
0.77000000,1.378194349804e+00,1.205623819492e-01,1.498756731753e+00
0.78000000,1.378193883271e+00,1.119553728642e-01,1.490149256135e+00
0.79000000,1.378193382385e+00,1.039174494153e-01,1.482110831800e+00
0.80000000,1.378192834486e+00,9.642511813421e-02,1.474617952620e+00
0.81000000,1.378192184864e+00,8.945554597417e-02,1.467647730838e+00
0.82000000,1.378191433517e+00,8.298663689772e-02,1.461178070415e+00
0.83000000,1.378190611172e+00,7.699710209091e-02,1.455187713263e+00
0.84000000,1.378189722323e+00,7.146652406719e-02,1.449656246390e+00
0.85000000,1.378188763820e+00,6.637541493031e-02,1.444564178750e+00
0.86000000,1.378187688054e+00,6.170526913003e-02,1.439892957184e+00
0.87000000,1.378186443745e+00,5.743861084908e-02,1.435625054594e+00
0.88000000,1.378185056005e+00,5.355903690036e-02,1.431744092906e+00
0.89000000,1.378183550723e+00,5.005125283268e-02,1.428234803555e+00
0.90000000,1.378181916552e+00,4.690111087356e-02,1.425083027426e+00
0.91000000,1.378180139864e+00,4.409560856905e-02,1.422275748433e+00
0.92000000,1.378178200269e+00,4.162296764361e-02,1.419801167913e+00
0.93000000,1.378176050755e+00,3.947212558267e-02,1.417648176338e+00
0.94000000,1.378173526118e+00,3.763328592506e-02,1.415806812043e+00
0.95000000,1.378169912202e+00,3.608853523988e-02,1.414258447441e+00
0.96000000,1.378156260371e+00,3.481394863365e-02,1.412970209005e+00
0.97000000,1.378077100162e+00,3.360432736317e-02,1.411681427526e+00
0.98000000,1.377700397481e+00,3.242070022648e-02,1.410121097708e+00
0.99000000,1.374777570410e+00,3.122089984702e-02,1.405998470257e+00
1.00000000,1.372163712562e+00,2.860249911759e-02,1.400766211680e+00
