y,phi=4,phi=8,phi=12,phi=16
0.00000000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.02500000,9.467820243507e-01,9.437787849364e-01,9.426799530497e-01,9.420980543484e-01
0.05000000,9.287030228100e-01,9.231508670603e-01,9.208731491182e-01,9.197405404219e-01
0.07500000,9.123661487240e-01,9.038224471757e-01,9.002377443880e-01,8.986974474029e-01
0.10000000,8.987630222848e-01,8.866901710539e-01,8.819442981440e-01,8.803555722749e-01
0.12500000,8.871574134585e-01,8.710691200026e-01,8.656809679200e-01,8.644606417013e-01
0.15000000,8.768177279219e-01,8.563800221941e-01,8.511146103609e-01,8.505371711776e-01
0.17500000,8.672219793045e-01,8.423735878678e-01,8.380432717097e-01,8.381564233225e-01
0.20000000,8.579561238214e-01,8.290131791166e-01,8.262776366537e-01,8.269290577974e-01
0.22500000,8.487106308757e-01,8.163659755398e-01,8.156041457526e-01,8.165300504450e-01
0.25000000,8.392416147470e-01,8.045192782886e-01,8.057944669540e-01,8.067150597255e-01
0.27500000,8.293794720335e-01,7.935297654775e-01,7.966291975379e-01,7.973188858954e-01
0.30000000,8.190233906073e-01,7.834032921763e-01,7.879177223305e-01,7.882413274735e-01
0.32500000,8.081111566230e-01,7.740957898470e-01,7.795085383290e-01,7.794282947357e-01
0.35000000,7.966205365089e-01,7.655265152158e-01,7.712910026604e-01,7.708537337129e-01
0.37500000,7.845705449914e-01,7.575940580477e-01,7.631915704101e-01,7.625051237433e-01
0.40000000,7.720171644625e-01,7.501903436306e-01,7.551673224548e-01,7.543733639252e-01
0.42500000,7.590464242693e-01,7.432102533090e-01,7.471985968358e-01,7.464467365506e-01
0.45000000,7.457721071047e-01,7.365569439829e-01,7.392817663063e-01,7.387081341042e-01
0.47500000,7.323234837007e-01,7.301447362425e-01,7.314226284571e-01,7.311345066799e-01
0.50000000,7.188176969114e-01,7.238987836494e-01,7.236307556647e-01,7.236978083182e-01
0.52500000,7.053776525482e-01,7.177598017570e-01,7.159166551608e-01,7.163683161436e-01
0.55000000,6.921096374351e-01,7.116597659540e-01,7.082824951401e-01,7.091113305663e-01
0.57500000,6.791179606871e-01,7.055431722928e-01,7.007247422162e-01,7.018900606919e-01
0.60000000,6.664793452780e-01,6.993499619210e-01,6.932329805637e-01,6.946626322411e-01
0.62500000,6.542408410919e-01,6.930290233126e-01,6.857820210696e-01,6.873844740167e-01
0.65000000,6.424307165563e-01,6.865232013185e-01,6.783321280724e-01,6.800089937028e-01
0.67500000,6.310617921548e-01,6.797670379812e-01,6.708280607913e-01,6.724845505633e-01
0.70000000,6.201236179717e-01,6.726851288476e-01,6.632015380417e-01,6.647484513445e-01
0.72500000,6.095884580226e-01,6.651894168798e-01,6.553696646199e-01,6.567252074904e-01
0.75000000,5.994150093461e-01,6.571754747299e-01,6.472270116399e-01,6.483230457580e-01
0.77500000,5.895458339647e-01,6.485180904039e-01,6.386445560819e-01,6.394299773566e-01
0.80000000,5.799181520909e-01,6.390660823774e-01,6.294661042597e-01,6.299091731126e-01
0.82500000,5.704596341916e-01,6.286363227644e-01,6.195039189385e-01,6.195939568128e-01
0.85000000,5.610778027041e-01,6.170070003768e-01,6.085335240453e-01,6.082824477129e-01
0.87500000,5.516618997430e-01,6.039103953475e-01,5.962879750812e-01,5.957320623541e-01
0.90000000,5.420915831033e-01,5.890257944384e-01,5.824517597894e-01,5.816542183415e-01
0.92500000,5.322653941543e-01,5.719736946192e-01,5.666550828506e-01,5.657094899485e-01
0.95000000,5.222836012278e-01,5.528431146265e-01,5.489590392303e-01,5.479942247057e-01
0.97500000,5.122365283654e-01,5.323958196946e-01,5.300554316639e-01,5.291695399181e-01
1.00000000,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01
