y,phi=4,phi=8,phi=12,phi=16
0.00000000,3.600727996927e+00,3.746550835191e+00,3.791046668589e+00,3.815221907200e+00
0.02500000,1.180059941306e+00,1.286742672923e+00,1.332166243049e+00,1.354672400252e+00
0.05000000,6.889228430754e-01,7.996907932149e-01,8.494359911940e-01,8.686517292786e-01
0.07500000,5.984754505399e-01,7.289372984053e-01,7.783891929671e-01,7.875341836868e-01
0.10000000,5.037733641757e-01,6.547258429410e-01,6.908277289717e-01,6.843771708133e-01
0.12500000,4.385979277300e-01,6.059872877695e-01,6.163323575497e-01,5.960235791001e-01
0.15000000,3.984879983915e-01,5.737764798406e-01,5.524951976425e-01,5.257582180807e-01
0.17500000,3.770750125100e-01,5.472347669561e-01,4.964712345261e-01,4.718730372473e-01
0.20000000,3.701509507367e-01,5.200403151746e-01,4.485148489717e-01,4.322888445553e-01
0.22500000,3.742734640388e-01,4.897304639347e-01,4.094142551874e-01,4.040939169803e-01
0.25000000,3.866750021998e-01,4.565331097342e-01,3.792836354938e-01,3.840820617287e-01
0.27500000,4.044682083342e-01,4.220913957027e-01,3.573614500427e-01,3.693657097239e-01
0.30000000,4.255079922992e-01,3.884283124465e-01,3.422824108884e-01,3.577222860223e-01
0.32500000,4.482316950315e-01,3.572784934797e-01,3.324417124821e-01,3.476711748403e-01
0.35000000,4.710077123398e-01,3.297866918434e-01,3.262771467200e-01,3.383845025754e-01
0.37500000,4.922692671129e-01,3.064957544028e-01,3.224330947990e-01,3.295267999499e-01
0.40000000,5.106750853417e-01,2.874755880670e-01,3.198320882627e-01,3.210850361292e-01
0.42500000,5.250699224067e-01,2.724981027907e-01,3.176893664717e-01,3.132215208946e-01
0.45000000,5.345872904572e-01,2.611721445397e-01,3.154973563431e-01,3.061641744611e-01
0.47500000,5.391642871665e-01,2.530559464405e-01,3.129940197298e-01,3.001322987921e-01
0.50000000,5.390208386991e-01,2.476409279334e-01,3.101253539398e-01,2.952945687733e-01
0.52500000,5.342849238939e-01,2.447741494986e-01,3.070000255328e-01,2.917466020636e-01
0.55000000,5.253450345411e-01,2.443003456832e-01,3.038672693123e-01,2.895632709445e-01
0.57500000,5.127680929041e-01,2.461452590586e-01,3.010077525694e-01,2.889540525019e-01
0.60000000,4.977060994817e-01,2.502133398005e-01,2.988559074988e-01,2.900751699813e-01
0.62500000,4.811315257300e-01,2.564463444181e-01,2.979984484202e-01,2.930201843684e-01
0.65000000,4.637256411720e-01,2.651312805299e-01,2.990386388579e-01,2.979281821544e-01
0.67500000,4.462670383686e-01,2.766329341783e-01,3.025483613404e-01,3.051217460373e-01
0.70000000,4.295703284844e-01,2.914029695742e-01,3.090779430229e-01,3.150775162973e-01
0.72500000,4.142501100879e-01,3.100216773448e-01,3.193724365728e-01,3.283770869170e-01
0.75000000,4.009072437433e-01,3.332321596178e-01,3.343548456381e-01,3.457505467409e-01
0.77500000,3.899705006720e-01,3.619697571271e-01,3.550412245423e-01,3.680994458063e-01
0.80000000,3.817331060951e-01,3.973933758734e-01,3.826067484186e-01,3.965183058152e-01
0.82500000,3.767923962160e-01,4.409166721595e-01,4.184183568307e-01,4.323093794964e-01
0.85000000,3.759193332138e-01,4.942332024034e-01,4.640618511791e-01,4.769925478787e-01
0.87500000,3.796765266284e-01,5.593236034613e-01,5.213602678299e-01,5.323042202235e-01
0.90000000,3.878879672444e-01,6.384271994765e-01,5.923736687613e-01,6.001840521877e-01
0.92500000,3.962297133875e-01,7.236928353425e-01,6.698866061124e-01,6.732505221452e-01
0.95000000,4.005208378710e-01,7.916652113643e-01,7.320935276785e-01,7.308763230695e-01
0.97500000,4.310384401900e-01,9.766459501298e-01,9.042390452196e-01,8.904696711633e-01
1.00000000,5.773070949484e-01,1.777244678090e+00,1.651947199473e+00,1.583381842472e+00
