y,t=0.005,t=0.015,t=0.04,Steady
0.00000000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.02500000,8.874346750803e-01,9.310299540202e-01,9.404401227449e-01,9.420980570152e-01
0.05000000,8.318693254767e-01,9.017699188575e-01,9.172534080899e-01,9.197405442856e-01
0.07500000,7.784929950922e-01,8.734946610611e-01,8.953527148688e-01,8.986974524038e-01
0.10000000,7.323847104167e-01,8.479052763701e-01,8.762013270666e-01,8.803555782886e-01
0.12500000,6.948129773949e-01,8.249108339954e-01,8.595337200267e-01,8.644606486074e-01
0.15000000,6.650121255009e-01,8.040914097719e-01,8.448593835139e-01,8.505371788774e-01
0.17500000,6.418307321235e-01,7.850961041179e-01,8.317398216619e-01,8.381564317342e-01
0.20000000,6.239610423761e-01,7.676145280923e-01,8.197783580370e-01,8.269290668533e-01
0.22500000,6.101445796990e-01,7.513926564001e-01,8.086446617797e-01,8.165300600900e-01
0.25000000,5.993042103386e-01,7.362448048689e-01,7.980910181079e-01,8.067150699149e-01
0.27500000,5.905975644428e-01,7.220500281840e-01,7.879507461204e-01,7.973188965936e-01
0.30000000,5.834085131730e-01,7.087372416644e-01,7.781239636133e-01,7.882413386523e-01
0.32500000,5.773058822412e-01,6.962665666710e-01,7.685585472526e-01,7.794283063725e-01
0.35000000,5.719960872377e-01,6.846123611124e-01,7.592318534609e-01,7.708537457898e-01
0.37500000,5.672832621195e-01,6.737506028090e-01,7.501359937644e-01,7.625051362454e-01
0.40000000,5.630388062563e-01,6.636512510089e-01,7.412675054261e-01,7.543733768395e-01
0.42500000,5.591781467973e-01,6.542750371843e-01,7.326211312211e-01,7.464467498652e-01
0.45000000,5.556432736615e-01,6.455735862345e-01,7.241868754496e-01,7.387081478068e-01
0.47500000,5.523907392499e-01,6.374916198045e-01,7.159493259940e-01,7.311345207571e-01
0.50000000,5.493846715427e-01,6.299700928646e-01,7.078882736023e-01,7.236978227548e-01
0.52500000,5.465980905071e-01,6.229599031432e-01,6.999828836579e-01,7.163683309209e-01
0.55000000,5.439975963442e-01,6.163902931694e-01,6.922025238673e-01,7.091113456675e-01
0.57500000,5.415594190649e-01,6.102074526835e-01,6.845195791639e-01,7.018900760799e-01
0.60000000,5.392638503077e-01,6.043617452493e-01,6.769064961714e-01,6.946626478808e-01
0.62500000,5.370951770383e-01,5.988072215398e-01,6.693344000619e-01,6.873844898528e-01
0.65000000,5.350411865057e-01,5.935004538549e-01,6.617641606294e-01,6.800090096810e-01
0.67500000,5.330922576024e-01,5.883987838621e-01,6.541543378172e-01,6.724845666111e-01
0.70000000,5.312400782563e-01,5.834595636021e-01,6.464527989041e-01,6.647484673740e-01
0.72500000,5.294760826130e-01,5.786391713239e-01,6.386017612403e-01,6.567252233949e-01
0.75000000,5.277899433063e-01,5.738848783630e-01,6.305277003728e-01,6.483230614106e-01
0.77500000,5.261688634703e-01,5.691213763483e-01,6.221386760478e-01,6.394299926076e-01
0.80000000,5.245930224413e-01,5.642638607763e-01,6.133204034545e-01,6.299091877873e-01
0.82500000,5.230252968713e-01,5.592025088423e-01,6.039318289518e-01,6.195939707085e-01
0.85000000,5.214110302243e-01,5.538126189898e-01,5.938000681840e-01,6.082824605968e-01
0.87500000,5.196658712997e-01,5.479313847145e-01,5.827149125007e-01,5.957320739614e-01
0.90000000,5.176723909923e-01,5.413573075684e-01,5.704230798103e-01,5.816542283735e-01
0.92500000,5.152614879098e-01,5.338432796339e-01,5.566204762496e-01,5.657094980722e-01
0.95000000,5.122477403884e-01,5.253085231490e-01,5.413629389470e-01,5.479942306231e-01
0.97500000,5.088147422713e-01,5.161406503583e-01,5.252128057633e-01,5.291695434285e-01
1.00000000,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01
