y,t=0.005,t=0.015,t=0.04,Steady
0.00000000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.02500000,8.865640746556e-01,9.416283200957e-01,9.526677015026e-01,9.544848681018e-01
0.05000000,8.203246226055e-01,9.070939031567e-01,9.282376826449e-01,9.314312112052e-01
0.07500000,7.582099772299e-01,8.731944212050e-01,9.049061153304e-01,9.095470107439e-01
0.10000000,7.058630267696e-01,8.413877588518e-01,8.838295156287e-01,8.899446472301e-01
0.12500000,6.646534691501e-01,8.122837880859e-01,8.650430679588e-01,8.726407012584e-01
0.15000000,6.331821814905e-01,7.857352079026e-01,8.481340009720e-01,8.572313181161e-01
0.17500000,6.097281160456e-01,7.616185056779e-01,8.327402889440e-01,8.433560793365e-01
0.20000000,5.925301544233e-01,7.397954890401e-01,8.185414744597e-01,8.306921951049e-01
0.22500000,5.799906614684e-01,7.201152108807e-01,8.052715082241e-01,8.189679638269e-01
0.25000000,5.707861070491e-01,7.024216734779e-01,7.927265455135e-01,8.079709980957e-01
0.27500000,5.638979126569e-01,6.865583880810e-01,7.807622494295e-01,7.975459503305e-01
0.30000000,5.585857771991e-01,6.723697175876e-01,7.692836536809e-01,7.875848080147e-01
0.32500000,5.543332770992e-01,6.597010695271e-01,7.582321751782e-01,7.780143756525e-01
0.35000000,5.507912808748e-01,6.483994105027e-01,7.475730824652e-01,7.687842521392e-01
0.37500000,5.477312081019e-01,6.383145952413e-01,7.372851401253e-01,7.598569763552e-01
0.40000000,5.450089471779e-01,6.293013854811e-01,7.273529968615e-01,7.512008977878e-01
0.42500000,5.425367817918e-01,6.212217844317e-01,7.177621973998e-01,7.427855674155e-01
0.45000000,5.402618428583e-01,6.139472801485e-01,7.084963483419e-01,7.345793201200e-01
0.47500000,5.381508151764e-01,6.073606606769e-01,6.995358413574e-01,7.265481195374e-01
0.50000000,5.361804175845e-01,6.013571744818e-01,6.908575422544e-01,7.186561406201e-01
0.52500000,5.343349524329e-01,5.958547323053e-01,6.824403552920e-01,7.108674140305e-01
0.55000000,5.325959459595e-01,5.907609581015e-01,6.742478293372e-01,7.031452188501e-01
0.57500000,5.309505168440e-01,5.860085357023e-01,6.662474291318e-01,6.954412927502e-01
0.60000000,5.293879419631e-01,5.815397599572e-01,6.584039314770e-01,6.877131080680e-01
0.62500000,5.278995305107e-01,5.773044883124e-01,6.506805331042e-01,6.799080228437e-01
0.65000000,5.264783030721e-01,5.732578534413e-01,6.430396982934e-01,6.719811663756e-01
0.67500000,5.251184281001e-01,5.693583816466e-01,6.354349313422e-01,6.638780368320e-01
0.70000000,5.238144247595e-01,5.655671446268e-01,6.278082507151e-01,6.555377710549e-01
0.72500000,5.225602267100e-01,5.618459805549e-01,6.200967315054e-01,6.468912407021e-01
0.75000000,5.213485433751e-01,5.581404399994e-01,6.122300152970e-01,6.378602272975e-01
0.77500000,5.201697418786e-01,5.543929451148e-01,6.041317513118e-01,6.283556827735e-01
0.80000000,5.190067318465e-01,5.505287714173e-01,5.957096054883e-01,6.182762789422e-01
0.82500000,5.178307242885e-01,5.464696647678e-01,5.868571920515e-01,6.075069750325e-01
0.85000000,5.165981263947e-01,5.421156586858e-01,5.774522885923e-01,5.959179024193e-01
0.87500000,5.152449883489e-01,5.373452230922e-01,5.673558973987e-01,5.833636843379e-01
0.90000000,5.136799635912e-01,5.320135291187e-01,5.564113497747e-01,5.696835005573e-01
0.92500000,5.117728256781e-01,5.259491457385e-01,5.444427577694e-01,5.547039727349e-01
0.95000000,5.093877741729e-01,5.191367445262e-01,5.316202130979e-01,5.386987301001e-01
0.97500000,5.066699045612e-01,5.118740897646e-01,5.183297677751e-01,5.221315030834e-01
1.00000000,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01
