y,t=0.005,t=0.015,t=0.04,Steady
0.00000000,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
0.02500000,8.760987267652e-01,9.462539756438e-01,9.656352980451e-01,9.719262850499e-01
0.05000000,7.953765955593e-01,8.975587346670e-01,9.363143759903e-01,9.492515153445e-01
0.07500000,7.220087125291e-01,8.496424121159e-01,9.071820752509e-01,9.268999758628e-01
0.10000000,6.621527278202e-01,8.036082317877e-01,8.786414379441e-01,9.052861973844e-01
0.12500000,6.168172464555e-01,7.612860149895e-01,8.514016082280e-01,8.849030160470e-01
0.15000000,5.836198054152e-01,7.232905794701e-01,8.255487108710e-01,8.656990165095e-01
0.17500000,5.600636583870e-01,6.897768172783e-01,8.010692845121e-01,8.475778429315e-01
0.20000000,5.438204442254e-01,6.607041025302e-01,7.779521053618e-01,8.304469330750e-01
0.22500000,5.328944673297e-01,6.358695129566e-01,7.561881151760e-01,8.142214533464e-01
0.25000000,5.256878711619e-01,6.149516588626e-01,7.357699970824e-01,7.988269447115e-01
0.27500000,5.209942826520e-01,5.975539895968e-01,7.166899196269e-01,7.841994185419e-01
0.30000000,5.179455248614e-01,5.832430248566e-01,6.989362297025e-01,7.702836985152e-01
0.32500000,5.159393865435e-01,5.715794080932e-01,6.824902040951e-01,7.570310353303e-01
0.35000000,5.145712841337e-01,5.621411750289e-01,6.673235861656e-01,7.443967561722e-01
0.37500000,5.135794618093e-01,5.545395930572e-01,6.533972294614e-01,7.323383566453e-01
0.40000000,5.128029529190e-01,5.484284976122e-01,6.406608572853e-01,7.208141724502e-01
0.42500000,5.121488356245e-01,5.435083620444e-01,6.290538439559e-01,7.097826099529e-01
0.45000000,5.115669559009e-01,5.395264239623e-01,6.185066408555e-01,6.992018335291e-01
0.47500000,5.110316870173e-01,5.362740797263e-01,6.089426545210e-01,6.890297688541e-01
0.50000000,5.105301278267e-01,5.335825747280e-01,6.002803677747e-01,6.792242969260e-01
0.52500000,5.100559245622e-01,5.313254708070e-01,5.924528819808e-01,6.697502383234e-01
0.55000000,5.096041813559e-01,5.293864182042e-01,5.853535929198e-01,6.605574896419e-01
0.57500000,5.091719569158e-01,5.276856469824e-01,5.788980689603e-01,6.516052095069e-01
0.60000000,5.087569720513e-01,5.261619235698e-01,5.730038796799e-01,6.428533520464e-01
0.62500000,5.083574050957e-01,5.247682626621e-01,5.675914354077e-01,6.342624911945e-01
0.65000000,5.079717546723e-01,5.234682762146e-01,5.625845165894e-01,6.257945905246e-01
0.67500000,5.075986842395e-01,5.222333745146e-01,5.579105428072e-01,6.174130169627e-01
0.70000000,5.072368323283e-01,5.210407459895e-01,5.535006410634e-01,6.090845296247e-01
0.72500000,5.068846376711e-01,5.198695749063e-01,5.492901122156e-01,6.007650996213e-01
0.75000000,5.065401783032e-01,5.186968934000e-01,5.452195356031e-01,5.924176612349e-01
0.77500000,5.062003287424e-01,5.175003884482e-01,5.412337024647e-01,5.839989666519e-01
0.80000000,5.058593667296e-01,5.162555376249e-01,5.372684130685e-01,5.754754828726e-01
0.82500000,5.055085921693e-01,5.149362841376e-01,5.332673148188e-01,5.668075840622e-01
0.85000000,5.051345507114e-01,5.135105732855e-01,5.291704059563e-01,5.579550533215e-01
0.87500000,5.047177536241e-01,5.119412218097e-01,5.249309011596e-01,5.488765543336e-01
0.90000000,5.042298063118e-01,5.101854932688e-01,5.204953502073e-01,5.395311436721e-01
0.92500000,5.036308594518e-01,5.081948524453e-01,5.158199080547e-01,5.299283571006e-01
0.95000000,5.028809927550e-01,5.059771527525e-01,5.109786451319e-01,5.202525889121e-01
0.97500000,5.020259255999e-01,5.036265845859e-01,5.060606923795e-01,5.105683609648e-01
1.00000000,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01
