"MTable","ReferenceColumn","BibKey","PrimaryNumericSourcePDF","PrimaryNumericSourceLocation","SupportingOriginalPDF","SupportingOriginalLocation","LocalEvidenceImage","Notes"
"Table 1","Sutton","Sutton1986","sun2016.pdf","PDF page 3; Table 1; black-wall row Sutton [30]","sutton1986.pdf","PDF page 2; Fig. 2 reports slab temperature distributions as a function of N","evidence/sun2016_p03_table1_fig2.png; evidence/sutton1986_p02_fig2.png","The number used in M.tex Table 1 is taken from Sun and Zhang 2016 Table 1; Sutton 1986 provides the original slab benchmark figure."
"Table 1","Lin--Tsai","LinTsai1990","sun2016.pdf","PDF page 3; Table 1; black-wall row Tsai and Lin [31]","tsai1990.pdf","PDF page 3; Table 1; isotropic-scattering transient-temperature comparison","evidence/sun2016_p03_table1_fig2.png; evidence/tsai1990_p03_table1.png","The number used in M.tex Table 1 is taken from Sun and Zhang 2016 Table 1; Tsai 1990 contains the corresponding comparison table."
"Table 1","Talukdar--Mishra","Talukdar2001","sun2016.pdf","PDF page 3; Table 1; black-wall row Talukdar and Mishra [16]","10.1080@10407780118074.pdf","PDF page 8; Table 1; CDM temperature comparison at the same slab benchmark","evidence/sun2016_p03_table1_fig2.png; evidence/talukdar2001_p08_table1.png","The number used in M.tex Table 1 is taken from Sun and Zhang 2016 Table 1; Talukdar 2001 contains the direct CDM table."
"Table 1","Mishra--Roy","MishraRoy2007","sun2016.pdf","PDF page 3; Table 1; black-wall row Mishra and Roy [14]","mishra2007.pdf","PDF page 12; Table 1; FVM--FVM and LBM--FVM temperature comparison","evidence/sun2016_p03_table1_fig2.png; evidence/mishra2007_p12_table1.png","The number used in M.tex Table 1 is taken from Sun and Zhang 2016 Table 1; Mishra 2007 contains its own corresponding table."
"Table 1","Mondal--Mishra","MondalMishra2007","sun2016.pdf","PDF page 3; Table 1; black-wall row Mondal and Mishra [15]","mondal2007.pdf","PDF page 13; Table 1; FDM--DOM and LBM--DOM temperature comparison","evidence/sun2016_p03_table1_fig2.png; evidence/mondal2007_p13_table1.png","The number used in M.tex Table 1 is taken from Sun and Zhang 2016 Table 1; Mondal 2007 contains its own corresponding table."
"Table 1","Sun--Zhang","Sun2016","sun2016.pdf","PDF page 3; Table 1; black-wall row LBM--FVM (Present)","sun2016.pdf","PDF pages 3--4; Fig. 2--Fig. 4 show the related scattering/N/heat-flux cases","evidence/sun2016_p03_table1_fig2.png","The Sun--Zhang column is their own LBM--FVM result in Table 1; Figs. 2--4 support the selected 1D transient and flux cases."
"Table 2","Wu--Ou","WuOu1994","sun2016.pdf","PDF page 5; Table 2; column Wu and Ou [32]","wu1994.pdf","PDF page 6; Table 2(a,b); square-media centreline comparison","evidence/sun2016_p05_table2.png; evidence/wu1994_p06_table2.png","The number used in M.tex Table 2 is taken from Sun and Zhang 2016 Table 2; Wu 1994 contains the original two-dimensional square-media table."
"Table 2","Yuen--Takara","YuenTakara1988","sun2016.pdf","PDF page 5; Table 2; column Yuen and Takara [33]","yuen1988.pdf","PDF page 4; Table 2(a,b,c); square-enclosure centreline values","evidence/sun2016_p05_table2.png; evidence/yuen1988_p04_table2.png","The number used in M.tex Table 2 is taken from Sun and Zhang 2016 Table 2; Yuen 1988 contains the original square-enclosure table."
"Table 2","Mondal--Mishra","MondalMishra2007","sun2016.pdf","PDF page 5; Table 2; column Mondal and Mishra [15]","mondal2007.pdf","PDF page 17; continuation of Table 2; benchmark values for N=1.0, 0.1, and 0.01","evidence/sun2016_p05_table2.png; evidence/mondal2007_p17_table2.png","The number used in M.tex Table 2 is taken from Sun and Zhang 2016 Table 2; Mondal 2007 contains matching comparison data."
"Table 2","Sun--Zhang","Sun2016","sun2016.pdf","PDF page 5; Table 2; column LBM--FVM present","sun2016.pdf","PDF pages 5--6; Fig. 5--Fig. 7 show angular-resolution/scattering/N cases","evidence/sun2016_p05_table2.png","The Sun--Zhang column is their own LBM--FVM result in Table 2; Figs. 5--7 support the selected 2D centreline and parametric cases."
