x,0.005,0.015,0.05,SS,SS-1,SS-2,SS-3,SS-4
-0.00041,0.999003,0.998576,1.001398,1.001371,1.002262,1.001861,1.006326,1.002733
-0.0004,0.998982,0.998563,1.00139,1.001365,1.002247,1.001849,1.006317,1.002725
-0.0004,0.998978,0.998561,1.001388,1.001364,1.002244,1.001847,1.006316,1.002723
0.00023,0.996565,0.997102,1.000405,1.000637,1.000535,1.000471,1.005312,1.001769
0.00081,0.994346,0.995763,0.999502,0.999969,0.998951,0.999205,1.004389,1.000867
0.00121,0.992791,0.994826,0.998871,0.999502,0.997828,0.998316,1.003744,1.000222
0.00216,0.989135,0.992631,0.997392,0.998409,0.995133,0.996222,1.002231,0.998686
0.00537,0.976495,0.985179,0.992386,0.994707,0.984977,0.988973,0.997105,0.9937
0.01243,0.94668,0.968532,0.981404,0.986554,0.956948,0.972428,0.985859,0.98469
0.01302,0.944019,0.967092,0.980474,0.985861,0.954295,0.971002,0.984908,0.983991
0.01362,0.941353,0.965652,0.979548,0.985169,0.951619,0.969578,0.983962,0.983299
0.01434,0.938126,0.963911,0.978433,0.984337,0.948359,0.967863,0.982825,0.982474
0.02068,0.909299,0.948063,0.9686,0.976936,0.918732,0.952711,0.972837,0.975364
0.03166,0.861466,0.919012,0.951755,0.963907,0.868962,0.927113,0.956004,0.96318
0.03188,0.860576,0.918437,0.951424,0.963645,0.868021,0.926617,0.955678,0.962937
0.04049,0.827065,0.89665,0.938442,0.953072,0.832295,0.907313,0.943,0.953165
0.0416,0.822925,0.894041,0.936787,0.951679,0.827922,0.90488,0.941404,0.951887
0.0467,0.804033,0.882544,0.929201,0.945148,0.808442,0.893826,0.934165,0.945937
0.04893,0.795778,0.877696,0.925915,0.942258,0.800288,0.889091,0.931068,0.943309
0.04947,0.793765,0.876529,0.925121,0.941555,0.798342,0.887952,0.930324,0.942669
0.05024,0.790862,0.874855,0.923982,0.940546,0.795571,0.886323,0.929259,0.941749
0.05173,0.785225,0.871637,0.921798,0.938602,0.790308,0.883208,0.927225,0.939975
0.05967,0.753964,0.853543,0.910147,0.928229,0.763417,0.86681,0.916535,0.930355
0.05972,0.753767,0.853418,0.910073,0.928164,0.763253,0.866707,0.916468,0.930294
0.06698,0.727919,0.833581,0.899479,0.919002,0.740403,0.852007,0.906919,0.921431
0.07471,0.706918,0.812736,0.888295,0.909832,0.717639,0.836485,0.896868,0.912014
0.075,0.706183,0.812017,0.887872,0.909496,0.716802,0.835895,0.896487,0.911657
0.08227,0.687308,0.795636,0.877526,0.901465,0.696807,0.821332,0.887082,0.902898
0.09241,0.655471,0.775198,0.863491,0.890762,0.670928,0.800922,0.873932,0.890912
0.09594,0.646199,0.768473,0.858761,0.887107,0.662462,0.793783,0.86934,0.886825
0.09739,0.642859,0.765747,0.856834,0.885607,0.659055,0.790836,0.867446,0.885156
0.10736,0.623152,0.747349,0.843762,0.875246,0.636798,0.770393,0.854322,0.873897
